scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06733668341708543,-481.42925740380906
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06532663316582915,-481.2733570815365
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06331658291457287,-480.94091531427176
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06130653266331659,-480.3649581402042
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.059296482412060286,-479.478606213252
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05728643216080401,-478.21506927246236
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05527638190954773,-476.5076406268914
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05326633165829145,-474.2896916552602
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05125628140703517,-471.4946663196845
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.04924623115577889,-468.0560756927785
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.04723618090452261,-463.90749249743703
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.04522613065326633,-458.9825456586031
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.043216080402010054,-453.21491486632726
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.041206030150753775,-446.5383251494342
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.03919597989949747,-438.8865414591057
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.03718592964824119,-430.19336326170185
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.03517587939698491,-420.39261914013116
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.03316582914572863,-409.41816140309663
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.031155778894472352,-397.20386070153506
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.029145728643216073,-383.6836006515745
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.027135678391959794,-368.79127246333604
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.025125628140703515,-352.4607695749036
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.023115577889447236,-334.62598229079225
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.021105527638190957,-315.22079242424303
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.01909547738693468,-294.17906794267316
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.01708542713567837,-271.43465761561436
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.015075376884422093,-246.92138566447173
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.013065326633165814,-220.57304641342995
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.011055276381909535,-192.32339894084896
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.009045226130653256,-162.1061617304743
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.0070351758793969765,-129.85500732180085
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.0050251256281406975,-95.50355695892124
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.0030150753768844185,-58.98537523719469
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.0010050251256281395,-20.23396474706904
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.0010050251256281395,20.23396474706904
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.0030150753768844185,58.98537523719469
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.005025125628140725,95.50355695892172
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.007035175879397004,129.85500732180134
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.009045226130653283,162.10616173047472
