scenario,signal,t_s,error_est_minus_gt
Excitation-S4D-Pinn-decay-mu,v_y,0.0,-0.002148912056334676
Excitation-S4D-Pinn-decay-mu,v_y,0.165,-0.0015604233143133965
Excitation-S4D-Pinn-decay-mu,v_y,0.33,-0.00387630209594462
Excitation-S4D-Pinn-decay-mu,v_y,0.495,-0.0021924549865865867
Excitation-S4D-Pinn-decay-mu,v_y,0.66,-0.001466909399530621
Excitation-S4D-Pinn-decay-mu,v_y,0.825,-0.0036087720314650733
Excitation-S4D-Pinn-decay-mu,v_y,0.957,-0.001748432365569907
Excitation-S4D-Pinn-decay-mu,v_y,1.122,-0.0014106610064484708
Excitation-S4D-Pinn-decay-mu,v_y,1.32,-0.0019135863995846762
Excitation-S4D-Pinn-decay-mu,v_y,1.518,-0.0027886883288426555
Excitation-S4D-Pinn-decay-mu,v_y,1.683,-0.0013463791826446234
Excitation-S4D-Pinn-decay-mu,v_y,1.881,-0.002268596659675961
Excitation-S4D-Pinn-decay-mu,v_y,2.079,-0.0025172927692799774
Excitation-S4D-Pinn-decay-mu,v_y,2.211,-0.0019360017848460802
Excitation-S4D-Pinn-decay-mu,v_y,2.376,-0.0022106141097844364
Excitation-S4D-Pinn-decay-mu,v_y,2.574,-0.005464315074811061
Excitation-S4D-Pinn-decay-mu,v_y,2.739,-0.0028880676480918313
Excitation-S4D-Pinn-decay-mu,v_y,2.904,-0.0022064482224849954
Excitation-S4D-Pinn-decay-mu,v_y,3.102,-0.002592585711495579
Excitation-S4D-Pinn-decay-mu,v_y,3.267,-0.002598832163360834
Excitation-S4D-Pinn-decay-mu,v_y,3.465,-0.0017771915562475732
Excitation-S4D-Pinn-decay-mu,v_y,3.663,-0.0008211088740528935
Excitation-S4D-Pinn-decay-mu,v_y,3.861,-0.0009551553153260145
Excitation-S4D-Pinn-decay-mu,v_y,4.026,-0.0005597383736216724
Excitation-S4D-Pinn-decay-mu,v_y,4.224,-0.001453048312144073
Excitation-S4D-Pinn-decay-mu,v_y,4.422,-0.008168419818070302
Excitation-S4D-Pinn-decay-mu,v_y,4.62,-0.013448409214236484
Excitation-S4D-Pinn-decay-mu,v_y,4.818,-0.012459640127537017
Excitation-S4D-Pinn-decay-mu,v_y,5.016,-0.010802734528610997
Excitation-S4D-Pinn-decay-mu,v_y,5.181,-0.008192200665785116
Excitation-S4D-Pinn-decay-mu,v_y,5.379,-0.00591352719832753
Excitation-S4D-Pinn-decay-mu,v_y,5.577,-0.00212201050767314
Excitation-S4D-Pinn-decay-mu,v_y,5.742,-0.0014006904841592088
Excitation-S4D-Pinn-decay-mu,v_y,5.874,-0.0010147199732440382
Excitation-S4D-Pinn-decay-mu,v_y,6.039,-8.02380795809493e-05
Excitation-S4D-Pinn-decay-mu,v_y,6.237,0.0014276586925600406
Excitation-S4D-Pinn-decay-mu,v_y,6.435,0.005119561474040302
Excitation-S4D-Pinn-decay-mu,v_y,6.567,-0.00036625076769829235
Excitation-S4D-Pinn-decay-mu,v_y,6.798,-0.0016718210440005987
Excitation-S4D-Pinn-decay-mu,v_y,6.93,-0.002130521536066632
Excitation-S4D-Pinn-decay-mu,v_y,7.095,-0.0031756537091865433
Excitation-S4D-Pinn-decay-mu,v_y,7.26,-0.004851677985862127
Excitation-S4D-Pinn-decay-mu,v_y,7.458,-0.004970620819472402
Excitation-S4D-Pinn-decay-mu,v_y,7.656,-0.008093741116088071
Excitation-S4D-Pinn-decay-mu,v_y,7.821,-0.004035813470958369
Excitation-S4D-Pinn-decay-mu,v_y,8.019,-0.0029265837924953436
Excitation-S4D-Pinn-decay-mu,v_y,8.184,-0.005329357391784861
Excitation-S4D-Pinn-decay-mu,v_y,8.382,-0.0028321921965044905
Excitation-S4D-Pinn-decay-mu,v_y,8.514,-4.915374345243473e-05
Excitation-S4D-Pinn-decay-mu,v_y,8.679,0.0009058510611771597
Excitation-S4D-Pinn-decay-mu,v_y,8.844,0.001272720124918969
Excitation-S4D-Pinn-decay-mu,v_y,9.042,0.011201336744648682
Excitation-S4D-Pinn-decay-mu,v_y,9.174,0.010690616104958528
Excitation-S4D-Pinn-decay-mu,v_y,9.372,0.015463243804159255
Excitation-S4D-Pinn-decay-mu,v_y,9.504,0.011087212413083358
Excitation-S4D-Pinn-decay-mu,v_y,9.702,0.017390403777092223
Excitation-S4D-Pinn-decay-mu,v_y,9.933,0.03283453043370754
Excitation-S4D-Pinn-decay-mu,v_y,10.098,0.03427943457902494
Excitation-S4D-Pinn-decay-mu,v_y,10.23,0.014694129703194725
Excitation-S4D-Pinn-decay-mu,v_y,10.428,0.024425934819463757
Excitation-S4D-Pinn-decay-mu,v_y,10.626,0.05809959357817929
Excitation-S4D-Pinn-decay-mu,v_y,10.791,0.06519058878677453
Excitation-S4D-Pinn-decay-mu,v_y,10.956,0.02602076302332401
Excitation-S4D-Pinn-decay-mu,v_y,11.187,0.05627762539485681
Excitation-S4D-Pinn-decay-mu,v_y,11.385,0.03471738375396394
Excitation-S4D-Pinn-decay-mu,v_y,11.583,0.02259791190517335
Excitation-S4D-Pinn-decay-mu,v_y,11.748,0.021723796350891278
Excitation-S4D-Pinn-decay-mu,v_y,11.946,0.07354580669713884
Excitation-S4D-Pinn-decay-mu,v_y,12.144,0.04189341813240316
Excitation-S4D-Pinn-decay-mu,v_y,12.408,0.08007856070641495
Excitation-S4D-Pinn-decay-mu,v_y,12.672,0.031874776206993416
Excitation-S4D-Pinn-decay-mu,v_y,12.87,0.03918803021121342
Excitation-S4D-Pinn-decay-mu,v_y,13.2,0.06110773273975696
Excitation-S4D-Pinn-decay-mu,v_y,13.398,0.03300643610996777
Excitation-S4D-Pinn-decay-mu,v_y,13.596,0.030032063551417257
Excitation-S4D-Pinn-decay-mu,v_y,13.794,0.027087626133658962
Excitation-S4D-Pinn-decay-mu,v_y,14.025,0.014204366234856158
Excitation-S4D-Pinn-decay-mu,v_y,14.256,0.03586697176912888
Excitation-S4D-Pinn-decay-mu,v_y,14.454,0.04526384579350086
Excitation-S4D-Pinn-decay-mu,v_y,14.652,0.02449347855254433
Excitation-S4D-Pinn-decay-mu,v_y,14.85,0.029901153465862446
Excitation-S4D-Pinn-decay-mu,v_y,15.048,0.034575227978259016
Excitation-S4D-Pinn-decay-mu,v_y,15.246,0.02974920594342967
Excitation-S4D-Pinn-decay-mu,v_y,15.411,0.039906373008503526
Excitation-S4D-Pinn-decay-mu,v_y,15.609,0.036316993149347554
Excitation-S4D-Pinn-decay-mu,v_y,15.807,0.030664828308453074
Excitation-S4D-Pinn-decay-mu,v_y,16.038,0.04500559731379167
Excitation-S4D-Pinn-decay-mu,v_y,16.269,0.030325332733784682
Excitation-S4D-Pinn-decay-mu,v_y,16.5,0.00520965677547669
Excitation-S4D-Pinn-decay-mu,v_y,16.698,0.0002730035019131716
Excitation-S4D-Pinn-decay-mu,v_y,16.962,0.0031409497774836925
Excitation-S4D-Pinn-decay-mu,v_y,17.193,-0.0030699655019197913
Excitation-S4D-Pinn-decay-mu,v_y,17.391,-0.0032439118131988576
Excitation-S4D-Pinn-decay-mu,v_y,17.589,-0.0038274539263747354
Excitation-S4D-Pinn-decay-mu,v_y,17.787,-0.0025230266083828
Excitation-S4D-Pinn-decay-mu,v_y,17.985,-0.0005031725791912814
Excitation-S4D-Pinn-decay-mu,v_y,18.183,0.00034030855948466096
Excitation-S4D-Pinn-decay-mu,v_y,18.414,0.003132005396026095
Excitation-S4D-Pinn-decay-mu,v_y,18.612,0.005730247672238153
Excitation-S4D-Pinn-decay-mu,v_y,18.81,0.005834827431715489
Excitation-S4D-Pinn-decay-mu,v_y,19.008,0.006818228793397933
Excitation-S4D-Pinn-decay-mu,v_y,19.206,0.007436404668529621
Excitation-S4D-Pinn-decay-mu,v_y,19.47,0.0039707834434887235
Excitation-S4D-Pinn-decay-mu,v_y,19.701,0.002034424504805607
Excitation-S4D-Pinn-decay-mu,v_y,19.932,0.006481679166049331
Excitation-S4D-Pinn-decay-mu,v_y,20.13,0.01121010219580676
Excitation-S4D-Pinn-decay-mu,v_y,20.394,-0.006118565601979209
Excitation-S4D-Pinn-decay-mu,v_y,20.658,-0.0069590749169178845
Excitation-S4D-Pinn-decay-mu,v_y,20.922,-0.01588994239745084
Excitation-S4D-Pinn-decay-mu,v_y,21.252,-0.06079473384259507
Excitation-S4D-Pinn-decay-mu,v_y,21.45,-0.013173046262275834
Excitation-S4D-Pinn-decay-mu,v_y,21.648,-0.01560032035988912
Excitation-S4D-Pinn-decay-mu,v_y,21.846,-0.018150814177174235
Excitation-S4D-Pinn-decay-mu,v_y,22.176,-0.06653783123571533
Excitation-S4D-Pinn-decay-mu,v_y,22.374,-0.027395345456619036
Excitation-S4D-Pinn-decay-mu,v_y,22.572,-0.025466700473920523
Excitation-S4D-Pinn-decay-mu,v_y,22.77,-0.026473936066093606
Excitation-S4D-Pinn-decay-mu,v_y,22.968,-0.02327406795760112
Excitation-S4D-Pinn-decay-mu,v_y,23.133,-0.02151370468855046
Excitation-S4D-Pinn-decay-mu,v_y,23.298,-0.018235714139083647
Excitation-S4D-Pinn-decay-mu,v_y,23.628,-0.05614325675391291
Excitation-S4D-Pinn-decay-mu,v_y,23.793,-0.021019418056822448
Excitation-S4D-Pinn-decay-mu,v_y,23.958,-0.021819663338139395
Excitation-S4D-Pinn-decay-mu,v_y,24.09,-0.0071307400681834
Excitation-S4D-Pinn-decay-mu,v_y,24.354,-0.03602016552981757
