scenario,t_run_s,e_y_m,heading_error_rad,v_x_mps,mpc_solve_time_ms
Excitation-S4D-Pinn-decay-mu,0.0,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.03765988349914551,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.11703824996948242,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.19695496559143066,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.2773425579071045,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.356860876083374,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.43709850311279297,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.5169353485107422,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.5970196723937988,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.6772081851959229,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.7568840980529785,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.8369879722595215,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.9167683124542236,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,0.9969937801361084,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.0775926113128662,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.1570322513580322,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.2382643222808838,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.3169519901275635,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.3969130516052246,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.4771087169647217,2.627972401830128,0.010797585703745559,,
Excitation-S4D-Pinn-decay-mu,1.556833028793335,2.627972401830128,0.010797585703745559,,
