scenario,category,value
Excitation-S4D-Pinn-decay-mu,front_mu,0.209
Excitation-S4D-Pinn-decay-mu,rear_mu,0.207
Baseline-NN-MSE-decay-mu,front_mu,1.408
Baseline-NN-MSE-decay-mu,rear_mu,1.408
