scenario,category,value
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.984
Excitation-S4D-Pinn-decay-mu,rear_sum_fy,0.977
Baseline-NN-MSE-decay-mu,front_sum_fy,0.708
Baseline-NN-MSE-decay-mu,rear_sum_fy,0.647
