signal,unit,error_gt_minus_est
v_y,m/s,0.013919412796922102
v_y,m/s,0.010710059398588078
v_y,m/s,0.010416440126518095
v_y,m/s,0.0160279337733501
v_y,m/s,0.03280191725088932
v_y,m/s,0.018580947984956617
v_y,m/s,0.01266646273260488
v_y,m/s,0.013096516801330631
v_y,m/s,0.024149950038266924
v_y,m/s,0.00531235459317251
v_y,m/s,0.018395299033769366
v_y,m/s,0.01283413582237999
v_y,m/s,0.012227575485237015
v_y,m/s,0.01796805270703915
v_y,m/s,0.03581008210083125
v_y,m/s,0.006212067521603729
v_y,m/s,0.014236691716077776
v_y,m/s,0.012985051821319192
v_y,m/s,0.013128439594061965
v_y,m/s,0.011556766988449426
v_y,m/s,0.012791956389006678
v_y,m/s,0.00894256854872603
v_y,m/s,0.015569318446195511
v_y,m/s,0.004801419671721298
v_y,m/s,0.007667698016803559
v_y,m/s,0.007287394873690768
v_y,m/s,0.013851640144818742
v_y,m/s,0.019758912882410613
v_y,m/s,0.028172201322673507
v_y,m/s,0.01069286767459299
v_y,m/s,0.02356931424554121
v_y,m/s,0.004064829256391984
v_y,m/s,0.0029368412225828505
v_y,m/s,0.016557273876423497
v_y,m/s,0.01724299584969087
v_y,m/s,0.011478012829860832
v_y,m/s,0.01743779777986736
v_y,m/s,0.018185538817839807
v_y,m/s,0.018735652719865766
v_y,m/s,0.03419735695842317
v_y,m/s,0.01476549842535386
v_y,m/s,0.0192197036640808
v_y,m/s,0.020241220405446774
v_y,m/s,0.028229344908488774
v_y,m/s,0.009908018322582281
v_y,m/s,0.003966990787523851
v_y,m/s,0.003000169183572732
v_y,m/s,0.018172884725702713
v_y,m/s,0.019678137178086016
v_y,m/s,0.013111589777777384
v_y,m/s,0.018093010843532528
v_y,m/s,0.018977039981517046
v_y,m/s,0.007719955749108283
v_y,m/s,0.006560079147920414
v_y,m/s,0.015599140632218778
v_y,m/s,0.012970603243080551
v_y,m/s,0.013713085476286475
v_y,m/s,0.026870562308240385
v_y,m/s,0.029562068883698563
v_y,m/s,0.014667031917583381
v_y,m/s,0.036683401733206174
v_y,m/s,-0.0043278146955590055
v_y,m/s,-0.005055734801520849
v_y,m/s,-0.0063326294855301606
v_y,m/s,0.03072458423055054
v_y,m/s,0.016691700336086197
v_y,m/s,0.020385984354261956
v_y,m/s,0.01729964248227804
v_y,m/s,0.002064554636643498
v_y,m/s,-0.0019169377425398426
v_y,m/s,0.016454156277857828
v_y,m/s,0.030783820109328185
v_y,m/s,0.025282487832692296
v_y,m/s,0.0921859668915205
v_y,m/s,0.09477935175923674
v_y,m/s,0.027641883043713858
