t_run_s,state,v_x_mps,mpc_solve_time_ms
0.0,BOOTSTRAP_PP,0.0,0.0
0.05188584327697754,BOOTSTRAP_PP,0.0,0.0
0.13194847106933594,BOOTSTRAP_PP,0.0,0.0
0.21245241165161133,BOOTSTRAP_PP,0.0,0.0
0.2927687168121338,BOOTSTRAP_PP,0.0,0.0
0.3751800060272217,BOOTSTRAP_PP,0.0,0.0
0.45222043991088867,BOOTSTRAP_PP,0.0,0.0
0.5324203968048096,BOOTSTRAP_PP,0.0,0.0
0.611774206161499,BOOTSTRAP_PP,0.0,0.0
0.6919667720794678,BOOTSTRAP_PP,0.0,0.0
0.7720038890838623,BOOTSTRAP_PP,0.0,0.0
0.8518638610839844,BOOTSTRAP_PP,0.0,0.0
0.9319255352020264,BOOTSTRAP_PP,0.0,0.0
1.0118768215179443,BOOTSTRAP_PP,0.0,0.0
1.091933250427246,BOOTSTRAP_PP,0.0,0.0
1.1719293594360352,BOOTSTRAP_PP,0.0,0.0
1.2518231868743896,BOOTSTRAP_PP,0.0,0.0
1.3318536281585693,BOOTSTRAP_PP,0.0,0.0
1.4119517803192139,BOOTSTRAP_PP,0.0,0.0
1.4917733669281006,BOOTSTRAP_PP,0.0,0.0
1.571951150894165,BOOTSTRAP_PP,0.0,0.0
1.6521081924438477,BOOTSTRAP_PP,0.0,0.0
1.7321152687072754,BOOTSTRAP_PP,0.0,0.0
1.811966896057129,BOOTSTRAP_PP,0.0,0.0
1.8929948806762695,BOOTSTRAP_PP,0.0,0.0
1.9720654487609863,BOOTSTRAP_PP,0.0,0.0
2.0525827407836914,BOOTSTRAP_PP,0.0,0.0
2.132037401199341,BOOTSTRAP_PP,0.0,0.0
2.212357521057129,BOOTSTRAP_PP,0.0,0.0
2.2921035289764404,BOOTSTRAP_PP,0.0,0.0
2.3721818923950195,BOOTSTRAP_PP,0.0,0.0
2.454765796661377,BOOTSTRAP_PP,0.0,0.0
2.5321691036224365,BOOTSTRAP_PP,0.0,0.0
2.6119368076324463,BOOTSTRAP_PP,0.0,0.0
2.692385673522949,BOOTSTRAP_PP,0.0,0.0
2.7719123363494873,BOOTSTRAP_PP,0.0,0.0
2.852034568786621,BOOTSTRAP_PP,0.0,0.0
2.9324889183044434,BOOTSTRAP_PP,0.0,0.0
3.0120296478271484,BOOTSTRAP_PP,0.0,0.0
3.0923733711242676,BOOTSTRAP_PP,0.0,0.0
