t_run_s,state
0.0,BOOTSTRAP_PP
0.07676076889038086,BOOTSTRAP_PP
0.15673160552978516,BOOTSTRAP_PP
0.23954486846923828,BOOTSTRAP_PP
0.31650400161743164,BOOTSTRAP_PP
0.39678502082824707,BOOTSTRAP_PP
0.476733922958374,BOOTSTRAP_PP
0.5570309162139893,BOOTSTRAP_PP
0.6369543075561523,BOOTSTRAP_PP
0.7170634269714355,BOOTSTRAP_PP
0.7967557907104492,BOOTSTRAP_PP
0.8767015933990479,BOOTSTRAP_PP
0.9567914009094238,BOOTSTRAP_PP
1.036811113357544,BOOTSTRAP_PP
1.1166298389434814,BOOTSTRAP_PP
1.1968023777008057,BOOTSTRAP_PP
1.276660680770874,BOOTSTRAP_PP
1.356792688369751,BOOTSTRAP_PP
1.4366331100463867,BOOTSTRAP_PP
1.516749382019043,BOOTSTRAP_PP
1.5967814922332764,BOOTSTRAP_PP
1.6767935752868652,BOOTSTRAP_PP
1.7567052841186523,BOOTSTRAP_PP
1.836646556854248,BOOTSTRAP_PP
1.9165856838226318,BOOTSTRAP_PP
1.9970831871032715,BOOTSTRAP_PP
2.0767014026641846,BOOTSTRAP_PP
2.15664005279541,BOOTSTRAP_PP
2.2367138862609863,BOOTSTRAP_PP
2.3185298442840576,BOOTSTRAP_PP
2.3969414234161377,BOOTSTRAP_PP
2.476771116256714,BOOTSTRAP_PP
2.5567715167999268,BOOTSTRAP_PP
2.6366939544677734,BOOTSTRAP_PP
2.7166357040405273,BOOTSTRAP_PP
2.7969412803649902,BOOTSTRAP_PP
2.8767125606536865,RUNNING_PP
2.9566714763641357,RUNNING_PP
3.0367965698242188,RUNNING_PP
3.116914749145508,RUNNING_PP
3.1967456340789795,RUNNING_PP
3.2766332626342773,RUNNING_PP
3.356682777404785,RUNNING_PP
3.4367175102233887,RUNNING_PP
3.516718864440918,RUNNING_PP
3.596810817718506,RUNNING_PP
3.676680564880371,RUNNING_PP
3.756993293762207,RUNNING_PP
3.837517261505127,RUNNING_PP
3.91660213470459,RUNNING_PP
3.9967362880706787,RUNNING_PP
4.076742172241211,RUNNING_PP
4.156779766082764,RUNNING_PP
4.236678123474121,RUNNING_PP
4.3167760372161865,RUNNING_PP
4.397158145904541,RUNNING_PP
4.476874828338623,RUNNING_PP
4.556768178939819,RUNNING_PP
4.636622428894043,RUNNING_PP
4.71673846244812,RUNNING_PP
4.797039031982422,RUNNING_PP
4.876585483551025,RUNNING_PP
4.956665277481079,RUNNING_PP
5.036675930023193,RUNNING_PP
5.116965293884277,RUNNING_PP
5.196531534194946,RUNNING_PP
5.276600122451782,RUNNING_PP
5.356759071350098,RUNNING_PP
5.436619997024536,RUNNING_PP
5.516740083694458,RUNNING_PP
5.596822261810303,RUNNING_PP
5.677384614944458,RUNNING_PP
5.7567222118377686,RUNNING_PP
5.836627244949341,RUNNING_PP
5.916648626327515,RUNNING_PP
5.996514797210693,RUNNING_PP
6.076594352722168,RUNNING_PP
6.156888961791992,RUNNING_PP
6.236802577972412,RUNNING_PP
6.316653251647949,RUNNING_PP
6.3969175815582275,RUNNING_PP
6.476781129837036,RUNNING_PP
6.5567638874053955,RUNNING_PP
6.63679313659668,RUNNING_PP
6.716620445251465,RUNNING_PP
6.796557903289795,RUNNING_PP
6.87778377532959,RUNNING_PP
6.956696510314941,RUNNING_PP
7.0366740226745605,RUNNING_PP
7.117936372756958,RUNNING_PP
7.197376012802124,RUNNING_PP
7.276754140853882,RUNNING_PP
7.357416868209839,RUNNING_PP
7.436808824539185,RUNNING_PP
7.5167036056518555,RUNNING_PP
7.596843719482422,RUNNING_PP
7.677448034286499,RUNNING_PP
7.756855249404907,RUNNING_PP
7.836803674697876,RUNNING_PP
7.916934251785278,RUNNING_PP
7.9976043701171875,RUNNING_PP
8.077072381973267,RUNNING_PP
8.15672516822815,RUNNING_PP
8.236910104751587,RUNNING_PP
8.316715717315674,RUNNING_PP
8.396561861038208,RUNNING_PP
8.47675609588623,RUNNING_PP
8.556752681732178,RUNNING_PP
8.636906862258911,RUNNING_PP
8.716886281967163,RUNNING_PP
8.796351194381714,RUNNING_PP
8.876641273498535,RUNNING_PP
8.95679521560669,RUNNING_PP
9.036660194396973,RUNNING_PP
9.116748809814453,RUNNING_PP
9.196858644485474,RUNNING_PP
9.276625156402588,RUNNING_PP
9.356778860092163,RUNNING_PP
9.436783075332642,RUNNING_PP
9.51708459854126,RUNNING_PP
9.59724497795105,RUNNING_PP
9.677396774291992,RUNNING_PP
9.756977081298828,RUNNING_PP
9.83665156364441,RUNNING_PP
9.9166841506958,RUNNING_PP
9.996753215789795,RUNNING_PP
10.076777219772339,RUNNING_PP
10.156597375869751,RUNNING_PP
10.236907243728638,RUNNING_PP
10.316617488861084,RUNNING_PP
10.396791458129883,RUNNING_PP
10.476560592651367,RUNNING_PP
10.556965351104736,RUNNING_PP
10.637120246887207,RUNNING_PP
