scenario,signal,t_run_s,value
Excitation-S4D-Pinn,e_y_m,6.672438144683838,-0.003991847357794509
Excitation-S4D-Pinn,e_y_m,6.753321647644043,-0.004270807013057987
Excitation-S4D-Pinn,e_y_m,6.832556247711182,-0.004630075574615089
Excitation-S4D-Pinn,e_y_m,6.91262412071228,-0.004807821652855926
Excitation-S4D-Pinn,e_y_m,6.992724895477295,-0.004831672194831771
Excitation-S4D-Pinn,e_y_m,7.072842121124268,-0.004794009187541914
Excitation-S4D-Pinn,e_y_m,7.152622222900391,-0.004745238049065986
Excitation-S4D-Pinn,e_y_m,7.232720375061035,-0.004894993425067912
Excitation-S4D-Pinn,e_y_m,7.312484979629517,-0.004919399048555595
Excitation-S4D-Pinn,e_y_m,7.392629146575928,-0.005005377691824575
Excitation-S4D-Pinn,e_y_m,7.472691059112549,-0.005202714326678182
Excitation-S4D-Pinn,e_y_m,7.552594900131226,-0.005254796557979335
Excitation-S4D-Pinn,e_y_m,7.632576942443848,-0.0052651845810032655
Excitation-S4D-Pinn,e_y_m,7.712817192077637,-0.0051783803324859205
Excitation-S4D-Pinn,e_y_m,7.792454242706299,-0.00488448479013337
Excitation-S4D-Pinn,e_y_m,7.8726770877838135,-0.0046620140373087315
Excitation-S4D-Pinn,e_y_m,7.952597379684448,-0.00432381885639227
Excitation-S4D-Pinn,e_y_m,8.032859086990356,-0.003884127132009918
Excitation-S4D-Pinn,e_y_m,8.112444400787354,-0.003517287315085993
Excitation-S4D-Pinn,e_y_m,8.192601203918457,-0.0031636708464086727
Excitation-S4D-Pinn,e_y_m,8.272791147232056,-0.003161542956973823
Excitation-S4D-Pinn,e_y_m,8.35255217552185,-0.003349854764282678
Excitation-S4D-Pinn,e_y_m,8.432579755783081,-0.004072701254010873
Excitation-S4D-Pinn,e_y_m,8.512534618377686,-0.00497266279656669
Excitation-S4D-Pinn,e_y_m,8.59252405166626,-0.006485718686354641
