scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.06733668341708543,-824.0837226912076
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.06532663316582915,-812.525014541547
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.06331658291457287,-800.3368242496331
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.06130653266331659,-787.502699115834
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.059296482412060286,-774.0061909432876
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.05728643216080401,-759.8308546823248
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.05527638190954773,-744.9602470774283
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.05326633165829145,-729.3779253165559
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.05125628140703517,-713.0674456826528
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.04924623115577889,-696.0123622071842
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.04723618090452261,-678.196225325516
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.04522613065326633,-659.6025805339709
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.043216080402010054,-640.2149670483949
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.041206030150753775,-620.0169164640578
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.03919597989949747,-598.9919514167245
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.03718592964824119,-577.1235842447264
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.03517587939698491,-554.3953156518594
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.03316582914572863,-530.7906333709501
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.031155778894472352,-506.29301082791324
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.029145728643216073,-480.88590580613857
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.027135678391959794,-454.55275911103615
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.025125628140703515,-427.27699323457585
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.023115577889447236,-399.04201101965145
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.021105527638190957,-369.8311943241052
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.01909547738693468,-339.62790268424277
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.01708542713567837,-308.4154719776756
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.015075376884422093,-276.1772130853225
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.013065326633165814,-242.89641055240045
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.011055276381909535,-208.5563212482454
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.009045226130653256,-173.14017302479013
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.0070351758793969765,-136.63116337353463
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.0050251256281406975,-99.0124580808428
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.0030150753768844185,-60.26718988139748
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.0010050251256281395,-20.378457109647112
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.0010050251256281395,20.378457109647112
