scenario,category,value
Excitation-S4D-Pinn,Overall,16041.499568023542
Excitation-S4D-Pinn,RUNNING_PP,109.5464804380578
Excitation-S4D-Pinn,RUNNING_MPC,15925.266857710938
Baseline-NN-MSE,Overall,25501.910589003517
Baseline-NN-MSE,RUNNING_PP,106.88424270938121
Baseline-NN-MSE,RUNNING_MPC,25384.244268506485
