scenario,lap,lap_time_s
Excitation-S4D-Pinn,1,175.17833399772644
Excitation-S4D-Pinn,2,145.38026642799377
Excitation-S4D-Pinn,3,142.83937239646912
Baseline-NN-MSE,1,162.31937265396118
Baseline-NN-MSE,2,135.8192434310913
Baseline-NN-MSE,3,138.01924872398376
