scenario,t_run_s,e_y_m,heading_error_rad,v_x_mps,mpc_solve_time_ms
Excitation-S4D-Pinn,0.0,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.03287100791931152,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.11272382736206055,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.19254088401794434,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.27268099784851074,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.35268568992614746,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.4325222969055176,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.5126535892486572,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.5927135944366455,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.6727397441864014,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.752734899520874,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.8325426578521729,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.9125411510467529,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,0.9926950931549072,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.0728909969329834,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.1525764465332031,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.2325735092163086,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.3127973079681396,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.3927993774414062,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.4726829528808594,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.5526330471038818,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.6325480937957764,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.715451955795288,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.792959213256836,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.8727326393127441,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,1.9525611400604248,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,2.0326948165893555,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,2.1126034259796143,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,2.1927456855773926,2.6279028598057987,0.01079012885269337,,
Excitation-S4D-Pinn,2.2725274562835693,2.627923395821824,0.010788997009230084,,
Excitation-S4D-Pinn,2.35261869430542,2.6278931387270403,0.010780608051796368,,
Excitation-S4D-Pinn,2.4327518939971924,2.627959707468124,0.010772618568526182,,
Excitation-S4D-Pinn,2.512932777404785,2.628018835169697,0.010767625141482107,,
Excitation-S4D-Pinn,2.5926833152770996,2.628016555130449,0.010706039541274026,,
Excitation-S4D-Pinn,2.672981023788452,2.627236125524831,0.009165733745799431,,
Excitation-S4D-Pinn,2.7525534629821777,2.625735010599726,0.0068210867220938045,,
Excitation-S4D-Pinn,2.832524538040161,2.622797654710326,0.003730221960947744,,
Excitation-S4D-Pinn,2.912522792816162,2.6179674284588774,-0.01005836116196479,,
Excitation-S4D-Pinn,2.992622137069702,2.613636166477413,-0.018034462047724964,,
Excitation-S4D-Pinn,3.072650671005249,2.600394098587039,-0.038014628388962635,,
Excitation-S4D-Pinn,3.1525843143463135,2.582314489409321,-0.05905921600700037,,
Excitation-S4D-Pinn,3.233013391494751,2.555356448417233,-0.08390238107775039,,
Excitation-S4D-Pinn,3.3131766319274902,2.516474654878704,-0.1127904217911394,,
Excitation-S4D-Pinn,3.3925886154174805,2.4623274767272694,-0.1382563005037769,,
Excitation-S4D-Pinn,3.472883701324463,2.3877611530384204,-0.1791982077850283,,
Excitation-S4D-Pinn,3.5525927543640137,2.291264927547061,-0.21326895971679363,,
Excitation-S4D-Pinn,3.632883310317993,2.167084667028682,-0.24668246770007796,,
Excitation-S4D-Pinn,3.712549924850464,2.014986933677515,-0.27494732871838856,,
Excitation-S4D-Pinn,3.7925045490264893,1.872468655064886,-0.293167411895193,,
Excitation-S4D-Pinn,3.872574806213379,1.7125217650742162,-0.3063633085175085,,
Excitation-S4D-Pinn,3.952808380126953,1.4415248595935939,-0.31484720053504317,,
Excitation-S4D-Pinn,4.032547950744629,1.147782054386857,-0.30792804170690846,,
Excitation-S4D-Pinn,4.112578392028809,0.9427922877482551,-0.29274382901473983,,
