t_run_s,state,e_y_m,heading_error_rad,v_x_mps,steering_cmd_rad,speed_cmd_mps,mpc_solve_time_ms,pos_x_m,pos_y_m,lap_idx
1.0369,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.0571,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.0776,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.0970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.1169,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.1372,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.1570,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.1769,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.1970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.2178,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.2383,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.2570,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.2773,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.2971,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.3170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.3373,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.3595,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.3772,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.3969,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.4172,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.4370,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.4571,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.4771,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.4970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.5170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.5372,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.5568,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.5773,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.5969,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.6172,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.6376,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.6570,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.6770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.6969,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.7169,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.7371,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.7571,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.7770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.7969,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.8170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.8368,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.8571,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.8770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.8971,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.9171,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.9371,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.9570,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.9769,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
1.9970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.0171,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.0369,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.0569,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.0769,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.0972,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.1169,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.1369,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.1569,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.1770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.1974,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.2170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.2369,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.2570,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.2767,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.2970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.3169,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.3370,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.3571,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.3772,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.3971,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.4170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.4371,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.4570,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.4770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.4970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.5170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.5398,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.5614,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.5770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.5968,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.6171,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.6372,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.6573,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.6771,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.6970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.7170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.7370,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.7569,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.7783,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.7972,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.8171,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.8370,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.8571,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.8769,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.8968,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.9170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
2.9409,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
3.2822,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
3.2844,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
3.3006,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
3.3182,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.20918,22.0000,,-384.32117,-234.76888,0
3.3372,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.20918,22.0000,,-384.32117,-234.76888,0
3.3571,BOOTSTRAP_PP,2.62800,0.01080,-0.0002,0.20918,22.0000,,-384.32117,-234.76883,0
3.3774,BOOTSTRAP_PP,2.62800,0.01080,-0.0004,0.20918,22.0000,,-384.32114,-234.76878,0
3.3972,BOOTSTRAP_PP,2.62800,0.01080,-0.0005,0.20918,22.0000,0.9625,-384.32108,-234.76871,0
3.4169,BOOTSTRAP_PP,2.62802,0.01080,-0.0005,0.20918,22.0000,0.9625,-384.32108,-234.76866,0
3.4369,BOOTSTRAP_PP,2.62799,0.01080,-0.0006,0.20918,22.0000,0.9625,-384.32101,-234.76863,0
3.4567,BOOTSTRAP_PP,2.62797,0.01080,-0.0006,0.20918,22.0000,0.9625,-384.32095,-234.76859,0
3.4768,BOOTSTRAP_PP,2.62801,0.01080,-0.0006,0.20918,22.0000,0.9625,-384.32095,-234.76852,0
3.4971,BOOTSTRAP_PP,2.62806,0.01079,-0.0006,0.20918,22.0000,0.8202,-384.32092,-234.76839,0
3.5175,BOOTSTRAP_PP,2.62807,0.01079,-0.0006,0.20918,22.0000,0.8202,-384.32086,-234.76830,0
3.5380,BOOTSTRAP_PP,2.62807,0.01079,-0.0006,0.20918,22.0000,0.8202,-384.32080,-234.76820,0
3.5566,BOOTSTRAP_PP,2.62812,0.01079,-0.0006,0.20918,22.0000,0.8202,-384.32077,-234.76808,0
3.5768,BOOTSTRAP_PP,2.62815,0.01079,-0.0005,0.20918,22.0000,0.8202,-384.32071,-234.76796,0
3.5976,BOOTSTRAP_PP,2.62819,0.01079,-0.0002,0.20918,22.0000,1.0138,-384.32071,-234.76788,0
3.6172,BOOTSTRAP_PP,2.62818,0.01078,-0.0003,0.20918,22.0000,1.0138,-384.32065,-234.76782,0
3.6368,BOOTSTRAP_PP,2.62821,0.01078,-0.0003,0.20918,22.0000,1.0138,-384.32065,-234.76776,0
3.6568,BOOTSTRAP_PP,2.62822,0.01078,-0.0004,0.20918,22.0000,1.0138,-384.32062,-234.76772,0
3.6769,BOOTSTRAP_PP,2.62823,0.01078,-0.0004,0.20918,22.0000,1.0138,-384.32059,-234.76765,0
3.6966,BOOTSTRAP_PP,2.62822,0.01078,-0.0004,0.20918,22.0000,0.8011,-384.32053,-234.76758,0
3.7168,BOOTSTRAP_PP,2.62824,0.01079,0.0111,0.20918,22.0000,0.8011,-384.32047,-234.76747,0
3.7372,BOOTSTRAP_PP,2.62821,0.01079,0.0071,0.20918,22.0000,0.8011,-384.32047,-234.76752,0
3.7571,BOOTSTRAP_PP,2.62807,0.01081,0.0097,0.20918,22.0000,0.8011,-384.32025,-234.76746,0
3.7770,BOOTSTRAP_PP,2.62807,0.01078,0.0263,0.20918,22.0000,0.8011,-384.31992,-234.76701,0
3.7981,BOOTSTRAP_PP,2.62792,0.01108,0.0384,0.20918,22.0000,0.8011,-384.31842,-234.76521,0
3.8173,BOOTSTRAP_PP,2.62801,0.01113,0.0694,0.20918,22.0000,0.8011,-384.31732,-234.76357,0
3.8370,BOOTSTRAP_PP,2.62810,0.01124,0.0877,0.20918,22.0000,0.8011,-384.31592,-234.76151,0
3.8570,BOOTSTRAP_PP,2.62817,0.01162,0.0998,0.20918,22.0000,0.8011,-384.31409,-234.75890,0
3.8776,BOOTSTRAP_PP,2.62836,0.01188,0.1228,0.20918,22.0000,0.8011,-384.31201,-234.75575,0
3.8978,RUNNING_PP,2.62844,0.01248,0.1490,0.20918,22.0000,0.8011,-384.30933,-234.75195,0
3.9186,RUNNING_PP,2.62859,0.01248,0.1631,0.20918,22.0000,0.8011,-384.30630,-234.74757,0
3.9374,RUNNING_PP,2.62884,0.01350,0.1906,-0.26826,21.8090,0.8011,-384.30292,-234.74254,0
3.9571,RUNNING_PP,2.62919,0.01420,0.2248,-0.26861,21.7748,0.8011,-384.29910,-234.73676,0
3.9776,RUNNING_PP,2.62919,0.01420,0.2248,-0.26861,21.7748,0.8011,-384.29910,-234.73676,0
3.9973,RUNNING_PP,2.62944,0.01473,0.2502,-0.26861,21.7748,0.8011,-384.29465,-234.73026,0
4.0173,RUNNING_PP,2.62972,0.01523,0.2794,-0.26911,21.7205,0.8011,-384.28967,-234.72301,0
4.0375,RUNNING_PP,2.62990,0.01551,0.3004,-0.26924,21.6996,0.8011,-384.28409,-234.71509,0
4.0572,RUNNING_PP,2.63002,0.01543,0.3299,-0.26920,21.6701,0.8011,-384.27783,-234.70636,0
4.0774,RUNNING_PP,2.63007,0.01508,0.3803,-0.26904,21.6196,0.8011,-384.27072,-234.69659,0
4.0974,RUNNING_PP,2.63004,0.01451,0.3993,-0.26875,21.6004,0.8011,-384.26300,-234.68613,0
4.1169,RUNNING_PP,2.62990,0.01367,0.4468,-0.26834,21.5527,0.8011,-384.25439,-234.67464,0
4.1369,RUNNING_PP,2.62961,0.01254,0.4753,-0.26778,21.5240,0.8011,-384.24503,-234.66235,0
4.1573,RUNNING_PP,2.62917,0.01108,0.5250,-0.26704,21.4738,0.8011,-384.23480,-234.64917,0
4.1776,RUNNING_PP,2.62853,0.00933,0.5595,-0.26704,21.4738,0.8011,-384.22366,-234.63507,0
4.1971,RUNNING_PP,2.62774,0.00721,0.5856,-0.26508,21.4121,0.8011,-384.21179,-234.62022,0
4.2169,RUNNING_PP,2.62671,0.00453,0.6401,-0.26372,21.3568,0.8011,-384.19888,-234.60439,0
4.2375,RUNNING_PP,2.62530,0.00026,0.7169,-0.26372,21.3568,0.8011,-384.17139,-234.56929,0
4.2569,RUNNING_PP,2.62530,0.00026,0.7486,-0.26372,21.3568,0.8011,-384.15652,-234.55045,0
4.2771,RUNNING_PP,2.62330,-0.00383,0.7901,-0.25933,21.2062,0.8011,-384.14066,-234.53081,0
