scenario,signal,t_s,error_est_minus_gt
ours,v_y,30.855,-0.001347180019847849
ours,v_y,30.987,-0.002167951926021927
ours,v_y,31.152,-0.0019553876587385076
ours,v_y,31.317,-0.0059591859235080535
ours,v_y,31.449,-0.0028775698121976598
ours,v_y,31.647,-0.0026759274758852807
ours,v_y,31.779,-0.002782642965673321
ours,v_y,31.977,-0.0017135930061103824
ours,v_y,32.109,-0.0026441939734969146
ours,v_y,32.274,-0.008454368757787574
ours,v_y,32.439,-0.0019159768871497666
ours,v_y,32.604,-0.0015459538138019435
ours,v_y,32.769,-0.002801799632038364
ours,v_y,32.934,-0.00453467242901001
ours,v_y,33.099,-0.005111279031116446
ours,v_y,33.297,-1.032102566838472e-05
ours,v_y,33.429,0.0005452695740519181
ours,v_y,33.627,-6.57701754488288e-05
ours,v_y,33.759,-0.000720398337006968
ours,v_y,33.891,-0.0013292851821262094
ours,v_y,34.089,-0.001973116537024755
ours,v_y,34.221,-0.002575482487831706
ours,v_y,34.386,-0.004803952399431929
ours,v_y,34.551,-0.002513160762906419
ours,v_y,34.716,-0.003160721064534952
ours,v_y,34.881,-0.003108304302867161
ours,v_y,35.013,-0.0018315130909159587
ours,v_y,35.211,-0.0054935665527977035
ours,v_y,35.343,-0.00276797047423356
ours,v_y,35.508,-0.004966330899136983
ours,v_y,35.673,-0.0015783257071490392
ours,v_y,35.838,-0.0020839996787802434
ours,v_y,36.003,0.00031800489894081435
ours,v_y,36.168,0.0017453583956037189
ours,v_y,36.333,0.0006140198767612751
ours,v_y,36.465,0.0005573746542373581
ours,v_y,36.597,0.0001264225847309869
ours,v_y,36.795,-0.00010569109181088332
ours,v_y,36.927,-0.002340472426808838
ours,v_y,37.059,-0.0015631499750621003
ours,v_y,37.224,-0.001903156323696427
ours,v_y,37.389,-0.0021238865938441147
ours,v_y,37.554,-0.004593139018631006
ours,v_y,37.686,-0.001721674238284874
ours,v_y,37.818,-0.002395124219567968
ours,v_y,37.95,-0.001752722303381163
ours,v_y,38.148,-0.004812193685093065
ours,v_y,38.28,-0.0017981851482563507
ours,v_y,38.412,-0.0016962509752590019
ours,v_y,38.577,-0.0009582502411668095
ours,v_y,38.709,-0.00011503655910897331
ours,v_y,38.841,0.0008858005574033725
ours,v_y,39.006,0.0012366658586689672
ours,v_y,39.171,0.001460863031456594
ours,v_y,39.303,0.0003960719869362042
ours,v_y,39.468,-0.0028809527828129802
ours,v_y,39.633,0.003712466545661111
ours,v_y,39.765,0.003419136436261405
ours,v_y,39.897,0.0053617634121220226
ours,v_y,40.062,0.009074444450641705
ours,v_y,40.227,0.019981377578174975
ours,v_y,40.359,0.011122855818023941
ours,v_y,40.491,0.011890353881288673
ours,v_y,40.623,0.014848840298379906
ours,v_y,40.755,0.013690578328694858
ours,v_y,40.953,0.012501271892537413
ours,v_y,41.085,0.01567926575739459
ours,v_y,41.217,0.016359961247527754
ours,v_y,41.382,0.022601929944057964
ours,v_y,41.514,0.013131342388401107
ours,v_y,41.679,0.01529518542130881
ours,v_y,41.811,0.016643786152069434
ours,v_y,41.943,0.01630757610945832
ours,v_y,42.075,0.016930803582395626
ours,v_y,42.24,0.018326286362978228
ours,v_y,42.405,0.039079987015892825
ours,v_y,42.537,0.027557846428588717
ours,v_y,42.669,0.021532724475757326
ours,v_y,42.801,0.02331717643233816
ours,v_y,42.966,0.015200770644008932
ours,v_y,43.098,0.03005610399022096
ours,v_y,43.263,0.05978597252901097
ours,v_y,43.395,0.026193638017151688
ours,v_y,43.527,0.03020216629066841
ours,v_y,43.659,0.016261433494826116
ours,v_y,43.791,0.04177231305594864
ours,v_y,43.923,0.03221362156024454
ours,v_y,44.055,0.034250452575897095
ours,v_y,44.22,0.040853806601401144
ours,v_y,44.352,0.041278812916270224
ours,v_y,44.484,0.035644432862214304
ours,v_y,44.616,0.025632445875093446
ours,v_y,44.781,0.04121843778528811
ours,v_y,44.913,0.02118193648312383
ours,v_y,45.111,0.04322771570903283
ours,v_y,45.276,0.04588892085868507
ours,v_y,45.408,0.025126364594732442
ours,v_y,45.573,0.029415981736327868
ours,v_y,45.738,0.027953966373425843
ours,v_y,45.936,0.02728572794110773
ours,v_y,46.101,0.028992195933116194
ours,v_y,46.266,0.030954093447712938
ours,v_y,46.398,0.027652146425163115
ours,v_y,46.563,0.02329283495886625
ours,v_y,46.761,0.022702868758822548
ours,v_y,46.926,0.023473364374799965
ours,v_y,47.091,0.02231870582239115
ours,v_y,47.223,0.026613488608142277
ours,v_y,47.421,0.04494390967166506
ours,v_y,47.553,0.024206814162412382
ours,v_y,47.718,0.024173015572325318
ours,v_y,47.883,0.024406719857015313
ours,v_y,48.081,0.01972387726739111
ours,v_y,48.246,0.018807143577699248
ours,v_y,48.444,0.015787630316275003
ours,v_y,48.642,0.04492606286950063
ours,v_y,48.807,0.02691106811557817
ours,v_y,49.005,0.0028141553409582187
ours,v_y,49.203,0.0041677745314781245
ours,v_y,49.368,0.022089743709800325
ours,v_y,49.599,0.04832203751206193
ours,v_y,49.797,0.047045470440784554
ours,v_y,49.962,0.0129773597368662
ours,v_y,50.16,0.004365754024270266
ours,v_y,50.325,0.003445100112805896
ours,v_y,50.523,0.0031438862620480484
ours,v_y,50.754,0.0042615205936553935
ours,v_y,50.952,0.007066445455123749
ours,v_y,51.117,0.006298200236626611
ours,v_y,51.282,0.010551826943500708
ours,v_y,51.447,0.005571795850696629
ours,v_y,51.645,0.004842917780174483
ours,v_y,51.843,0.004159041222478371
ours,v_y,52.041,0.004822777846111959
ours,v_y,52.206,0.005553618609470956
ours,v_y,52.371,0.005682432856457864
ours,v_y,52.536,0.005823796702264655
ours,v_y,52.734,0.005727285517057812
ours,v_y,52.932,0.00524992356782869
ours,v_y,53.097,0.005347806852083359
ours,v_y,53.361,0.00892623006725507
ours,v_y,53.592,0.005991042181617917
ours,v_y,53.79,0.008582185485452545
ours,v_y,53.955,0.004076403468375719
ours,v_y,54.153,0.005760394246164632
ours,v_y,54.318,0.004363966444575429
ours,v_y,54.483,0.010525975601377302
ours,v_y,54.615,0.006497917669143205
ours,v_y,54.78,0.006491314420409289
ours,v_y,54.912,0.008300432066116747
ours,v_y,55.077,0.008436028861972089
ours,v_y,55.209,0.007785427009609047
ours,v_y,55.374,0.00414354003562846
ours,v_y,55.506,0.0027437057676082954
ours,v_y,55.671,0.0012298198621560896
ours,v_y,55.803,-0.0006095655115884099
ours,v_y,55.968,0.0004433533360066119
ours,v_y,56.1,0.0009943702249742559
ours,v_y,56.265,0.013081794422110521
ours,v_y,56.397,0.008590422409971876
ours,v_y,56.562,0.016699983171431676
ours,v_y,56.694,0.007045021705174598
ours,v_y,56.826,0.004604436896701605
ours,v_y,56.991,0.0030234262076313384
ours,v_y,57.123,0.0011998475276146989
ours,v_y,57.255,0.0007886745758307057
ours,v_y,57.387,0.0018611320824723082
ours,v_y,57.519,0.0023331668077595374
ours,v_y,57.651,0.0018839256367102486
ours,v_y,57.783,0.001994014241406425
ours,v_y,57.915,0.0025657074987580214
ours,v_y,58.047,0.0021455752360298452
ours,v_y,58.179,0.001231338820312837
ours,v_y,58.311,0.0004481533119507705
ours,v_y,58.443,0.0005402228017960878
ours,v_y,58.575,0.0010730325439073304
ours,v_y,58.707,-0.0003416980416672162
ours,v_y,58.839,-0.0015943294270422369
ours,v_y,58.971,-0.0009951776292788476
ours,v_y,59.103,0.0001242933839013735
ours,v_y,59.235,0.0005639644613884692
ours,v_y,59.367,0.0005065023953325504
ours,v_y,59.499,0.000832452332500816
ours,v_y,59.664,0.0011657455774672157
