scenario,signal,series,t_s,value
ours,v_y,ground_truth,25.575,0.2849207146034014
ours,v_y,ground_truth,25.773,0.24071754744029983
ours,v_y,ground_truth,25.905,0.23602510607892713
ours,v_y,ground_truth,26.07,0.2286982813354701
ours,v_y,ground_truth,26.235,0.21287389676797197
ours,v_y,ground_truth,26.4,0.19736215809102964
ours,v_y,ground_truth,26.565,0.17228045406671466
ours,v_y,ground_truth,26.697,0.1513550475629759
ours,v_y,ground_truth,26.895,0.12167136480611207
ours,v_y,ground_truth,27.027,0.10459888395117067
ours,v_y,ground_truth,27.225,0.09081776195861635
ours,v_y,ground_truth,27.357,0.09279468083681919
ours,v_y,ground_truth,27.489,0.10138769521168034
ours,v_y,ground_truth,27.654,0.11356077119094787
ours,v_y,ground_truth,27.786,0.11482148778600787
ours,v_y,ground_truth,27.951,0.11255922463118839
ours,v_y,ground_truth,28.083,0.10735734380874384
ours,v_y,ground_truth,28.215,0.09613787858409029
ours,v_y,ground_truth,28.38,0.07373965313646536
ours,v_y,ground_truth,28.512,0.05973778706726618
ours,v_y,ground_truth,28.677,0.03458005920165852
ours,v_y,ground_truth,28.809,0.01971525612437608
ours,v_y,ground_truth,28.941,0.0072720934221617295
ours,v_y,ground_truth,29.106,0.00038919192878483777
ours,v_y,ground_truth,29.238,0.0004249684547954491
ours,v_y,ground_truth,29.403,0.0045565082318830274
ours,v_y,ground_truth,29.535,0.006413308805838014
ours,v_y,ground_truth,29.7,0.009040035051459228
ours,v_y,ground_truth,29.832,0.010607725470910934
ours,v_y,ground_truth,29.964,0.01369376032819325
ours,v_y,ground_truth,30.129,0.020494098983506737
ours,v_y,ground_truth,30.294,0.03553880819488908
ours,v_y,ground_truth,30.426,0.041063040647272064
ours,v_y,ground_truth,30.558,0.04145705782840148
ours,v_y,ground_truth,30.723,0.04265766563117901
ours,v_y,ground_truth,30.855,0.03954161977839221
ours,v_y,ground_truth,30.987,0.034375220453020994
ours,v_y,ground_truth,31.152,0.03276861580639112
ours,v_y,ground_truth,31.317,0.03075867188943371
ours,v_y,ground_truth,31.449,0.02983664201461078
ours,v_y,ground_truth,31.647,0.02989836543089064
ours,v_y,ground_truth,31.779,0.03337380906476528
ours,v_y,ground_truth,31.977,0.028214181480293865
ours,v_y,ground_truth,32.109,0.021770860509982448
ours,v_y,ground_truth,32.274,0.013158880172071674
ours,v_y,ground_truth,32.439,0.010854061132907988
ours,v_y,ground_truth,32.604,0.008439276097447435
ours,v_y,ground_truth,32.769,0.0069521665928642395
ours,v_y,ground_truth,32.934,0.013418302286898998
ours,v_y,ground_truth,33.099,0.030633422577645897
ours,v_y,ground_truth,33.297,0.04790611433894876
ours,v_y,ground_truth,33.429,0.05559982109644901
ours,v_y,ground_truth,33.627,0.05920606067180789
ours,v_y,ground_truth,33.759,0.052835041304997166
ours,v_y,ground_truth,33.891,0.045484796626274804
ours,v_y,ground_truth,34.089,0.035956992890737505
ours,v_y,ground_truth,34.221,0.03148105165916171
ours,v_y,ground_truth,34.386,0.02869495030662872
ours,v_y,ground_truth,34.551,0.0284095265105635
ours,v_y,ground_truth,34.716,0.024465076774762284
ours,v_y,ground_truth,34.881,0.023172303094275204
ours,v_y,ground_truth,35.013,0.01921156103675159
ours,v_y,ground_truth,35.211,0.015165124164392196
ours,v_y,ground_truth,35.343,0.013701616927394022
ours,v_y,ground_truth,35.508,0.016453032251061872
ours,v_y,ground_truth,35.673,0.022708982626861163
ours,v_y,ground_truth,35.838,0.030223564615438514
ours,v_y,ground_truth,36.003,0.04026347838419886
ours,v_y,ground_truth,36.168,0.04659738185034756
ours,v_y,ground_truth,36.333,0.04794068197659063
ours,v_y,ground_truth,36.465,0.04486374474881494
ours,v_y,ground_truth,36.597,0.04037544491367906
ours,v_y,ground_truth,36.795,0.03512620856410664
ours,v_y,ground_truth,36.927,0.03340992077782401
ours,v_y,ground_truth,37.059,0.03586034578531638
ours,v_y,ground_truth,37.224,0.03217270436474906
ours,v_y,ground_truth,37.389,0.02773640317473447
ours,v_y,ground_truth,37.554,0.024270542083562496
ours,v_y,ground_truth,37.686,0.019323629468985137
ours,v_y,ground_truth,37.818,0.013590808458853632
ours,v_y,ground_truth,37.95,0.007829723821164869
ours,v_y,ground_truth,38.148,0.005882746853999921
ours,v_y,ground_truth,38.28,0.01165069077236347
ours,v_y,ground_truth,38.412,0.018866491810550334
ours,v_y,ground_truth,38.577,0.02920732887372024
ours,v_y,ground_truth,38.709,0.04104012474001939
ours,v_y,ground_truth,38.841,0.051455738974155674
ours,v_y,ground_truth,39.006,0.05995564406798426
ours,v_y,ground_truth,39.171,0.06233891746651987
ours,v_y,ground_truth,39.303,0.061593613310195305
ours,v_y,ground_truth,39.468,0.06258736104885454
ours,v_y,ground_truth,39.633,0.08665052502204751
ours,v_y,ground_truth,39.765,0.11982398622774904
ours,v_y,ground_truth,39.897,0.14493540492556645
ours,v_y,ground_truth,40.062,0.180816047258195
ours,v_y,ground_truth,40.227,0.2112368831321194
ours,v_y,ground_truth,40.359,0.23119666643447556
ours,v_y,ground_truth,40.491,0.2453754569029521
ours,v_y,ground_truth,40.623,0.2580041798709824
ours,v_y,ground_truth,40.755,0.2596046177877116
ours,v_y,ground_truth,40.953,0.2561086433800837
ours,v_y,ground_truth,41.085,0.24602749277937386
ours,v_y,ground_truth,41.217,0.23237278902323583
ours,v_y,ground_truth,41.382,0.21487468576747337
