t_run_s,state,e_y_m,heading_error_rad
0.0,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.07042145729064941,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.4733428955078125,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.4766819477081299,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.4792919158935547,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.5099284648895264,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.5897858142852783,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.6698639392852783,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.7499008178710938,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.8301365375518799,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.9098629951477051,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
0.9896578788757324,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.0700645446777344,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.14967942237854,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.2299954891204834,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.3098046779632568,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.3899095058441162,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.4697270393371582,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.5497920513153076,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.6296312808990479,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.709726095199585,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.7896008491516113,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.8693974018096924,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
1.9492957592010498,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
2.029409646987915,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
2.109788179397583,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
2.189505100250244,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
2.269296407699585,BOOTSTRAP_PP,2.627856133836743,0.010786866480357982
