axle,fz_N,nominal_source,mu,B,C,D,E,alpha_rad,fy_identified_N,fy_nominal_N
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.2,-1598.8414818211274,-1441.4377129260174
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.19798994974874373,-1598.787940963594,-1441.3394398669823
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.19597989949748745,-1598.652562905037,-1441.1968949766422
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.19396984924623117,-1598.4303228289514,-1441.001877359817
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1919597989949749,-1598.1159395574457,-1440.7462239004542
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.18994974874371862,-1597.7038649555805,-1440.421808446043
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1879396984924623,-1597.1882731988107,-1440.020540998776
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.18592964824120603,-1596.5630499466652,-1439.5343669133733
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.18391959798994975,-1595.8217814730574,-1438.955266101399
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.18190954773869347,-1594.9577438116696,-1438.2752522419767
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1798994974874372,-1593.9638919836243,-1437.4863719987673
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.17788944723618091,-1592.8328493842764,-1436.5807042430936
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.17587939698492464,-1591.5568974163712,-1435.5503592830862
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.17386934673366836,-1590.1279654680898,-1434.3874780987358
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.17185929648241208,-1588.5376213466195,-1433.0842315827356
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1698492462311558,-1586.7770622908286,-1431.6328197869957
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1678391959798995,-1584.837106700381,-1430.025471174717
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1658291457286432,-1582.7081867331294,-1428.254441877907
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.16381909547738693,-1580.380341937802,-1426.3120149602303
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.16180904522613065,-1577.8432141047406,-1424.1904996850815
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.15979899497487438,-1575.086043533612,-1421.8822307887708
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1577889447236181,-1572.097666933424,-1419.3795677587104
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.15577889447236182,-1568.866517186585,-1416.6748941165001
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.15376884422110554,-1565.3806252248826,-1413.7606167058057
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.15175879396984926,-1561.6276242808012,-1410.6291649849159
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.14974874371859298,-1557.5947567921064,-1407.2729903238846
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1477386934673367,-1553.268884250685,-1403.6845653061516
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.14572864321608042,-1548.6365002976765,-1399.8563830345404
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.14371859296482414,-1543.6837473753726,-1395.780956441525
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.14170854271356784,-1538.396437251523,-1391.4508176036816
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.13969849246231156,-1532.7600757328366,-1386.8585170602075
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.13768844221105528,-1526.7598918807735,-1381.9966231354238
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.135678391959799,-1520.3808720333827,-1376.857721265156
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.13366834170854272,-1513.6077989209946,-1371.4344133269035
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.13165829145728644,-1506.425296140163,-1365.7193169736915
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.12964824120603013,-1498.8178782184173,-1359.7050649715254
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.12763819095477386,-1490.7700064612816,-1353.3843045403403
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.12562814070351758,-1482.2661507217865,-1346.7496966983617
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.12361809045226131,-1473.2908571706985,-1339.7939156097837
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.12160804020100503,-1463.8288220723098,-1332.5096479356662
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.11959798994974874,-1453.864971485591,-1324.889592187974
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.11758793969849246,-1443.384546713715,-1316.926458086653
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.11557788944723618,-1432.373195216687,-1308.6129659196704
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.1135678391959799,-1420.817066582725,-1299.9418459059104
front,1372.8686,carla_physx,1.0499999523162842,7.076000213623047,1.3459999561309814,1.1646000146865845,-2.0,-0.11155778894472362,-1408.702913025227,-1290.9058375608615
