x_m,y_m,state
-317.9253845214844,-147.67909240722656,RUNNING_PP
-317.06671142578125,-146.50601196289062,RUNNING_PP
-315.7795104980469,-144.7452850341797,RUNNING_PP
-314.92401123046875,-143.57029724121094,RUNNING_PP
-313.85894775390625,-142.09947204589844,RUNNING_PP
-312.7987365722656,-140.6261749267578,RUNNING_PP
-312.3758850097656,-140.03636169433594,RUNNING_PP
-311.1104736328125,-138.26571655273438,RUNNING_PP
-309.8475341796875,-136.49452209472656,RUNNING_PP
-308.58441162109375,-134.72369384765625,RUNNING_PP
-307.74090576171875,-133.54339599609375,RUNNING_PP
-306.6845397949219,-132.068359375,RUNNING_PP
-305.6258544921875,-130.59356689453125,RUNNING_PP
-305.2019348144531,-130.00364685058594,RUNNING_PP
-303.5046081542969,-127.64433288574219,RUNNING_PP
-302.6559753417969,-126.46488952636719,RUNNING_PP
-301.8077087402344,-125.28550720214844,RUNNING_PP
-300.53656005859375,-123.51700592041016,RUNNING_PP
-299.4783630371094,-122.0436782836914,RUNNING_PP
-298.4206237792969,-120.57025146484375,RUNNING_PP
-297.574462890625,-119.3916244506836,RUNNING_PP
-296.3048095703125,-117.6235580444336,RUNNING_PP
-295.6697082519531,-116.73948669433594,RUNNING_PP
-294.6108093261719,-115.26628875732422,RUNNING_PP
-293.33935546875,-113.498291015625,RUNNING_PP
-292.2792663574219,-112.02470397949219,RUNNING_PP
-291.2190246582031,-110.55110168457031,RUNNING_PP
-290.3708801269531,-109.37226104736328,RUNNING_PP
-289.0990295410156,-107.60403442382812,RUNNING_PP
-288.25140380859375,-106.42530822753906,RUNNING_PP
-287.4039611816406,-105.24667358398438,RUNNING_PP
-286.1330261230469,-103.47870635986328,RUNNING_PP
-285.2860107421875,-102.30032348632812,RUNNING_PP
-284.01531982421875,-100.53240966796875,RUNNING_PP
-283.5916748046875,-99.94298553466797,RUNNING_PP
-282.3204650878906,-98.17477416992188,RUNNING_PP
-281.04931640625,-96.4068832397461,RUNNING_PP
-279.9896240234375,-94.93348693847656,RUNNING_PP
-278.92987060546875,-93.46013641357422,RUNNING_PP
-278.5058288574219,-92.87078094482422,RUNNING_PP
-277.2335205078125,-91.102783203125,RUNNING_PP
-275.9608459472656,-89.33535766601562,RUNNING_PP
-274.68804931640625,-87.56854248046875,RUNNING_PP
-273.83917236328125,-86.39080810546875,RUNNING_PP
-272.77783203125,-84.91873931884766,RUNNING_PP
-271.71624755859375,-83.4472427368164,RUNNING_PP
-270.8666687011719,-82.27002716064453,RUNNING_PP
-270.01690673828125,-81.0931167602539,RUNNING_PP
-268.74151611328125,-79.32789611816406,RUNNING_PP
-267.4651794433594,-77.56300354003906,RUNNING_PP
-266.61383056640625,-76.38655853271484,RUNNING_PP
-265.5491027832031,-74.91634368896484,RUNNING_PP
-264.4837951660156,-73.44670104980469,RUNNING_PP
-264.0575256347656,-72.85893249511719,RUNNING_PP
-262.35137939453125,-70.50907897949219,RUNNING_PP
-261.4979553222656,-69.3348159790039,RUNNING_PP
-260.64434814453125,-68.16087341308594,RUNNING_PP
-259.36346435546875,-66.40011596679688,RUNNING_PP
-258.295654296875,-64.93295288085938,RUNNING_PP
-257.2278137207031,-63.46585464477539,RUNNING_PP
-256.3735046386719,-62.29208755493164,RUNNING_PP
-255.09173583984375,-60.531166076660156,RUNNING_PP
-254.45095825195312,-59.650691986083984,RUNNING_PP
-253.16940307617188,-57.88973617553711,RUNNING_PP
-252.1015167236328,-56.42236328125,RUNNING_PP
-251.2474822998047,-55.24851608276367,RUNNING_PP
-249.9664764404297,-53.48727035522461,RUNNING_PP
-249.11248779296875,-52.313232421875,RUNNING_PP
-247.83119201660156,-50.552581787109375,RUNNING_PP
-246.97650146484375,-49.37972640991211,RUNNING_PP
-246.12069702148438,-48.20750045776367,RUNNING_PP
-244.83360290527344,-46.45083236694336,RUNNING_PP
-243.97276306152344,-45.2817268371582,RUNNING_PP
-242.67620849609375,-43.53224563598633,RUNNING_PP
-241.8074188232422,-42.36925506591797,RUNNING_PP
-240.4963836669922,-40.63064956665039,RUNNING_PP
-239.616455078125,-39.47603225708008,RUNNING_PP
-238.5092010498047,-38.03837203979492,RUNNING_PP
-237.8408660888672,-37.179039001464844,RUNNING_PP
-236.49415588378906,-35.467613220214844,RUNNING_PP
-235.1331024169922,-33.767616271972656,RUNNING_PP
-234.21743774414062,-32.64167404174805,RUNNING_PP
-232.83023071289062,-30.964567184448242,RUNNING_PP
-231.89569091796875,-29.85405731201172,RUNNING_PP
-230.7161102294922,-28.474897384643555,RUNNING_PP
-229.5233612060547,-27.107397079467773,RUNNING_PP
-228.55905151367188,-26.022666931152344,RUNNING_PP
-227.58468627929688,-24.946191787719727,RUNNING_PP
-226.10418701171875,-23.349124908447266,RUNNING_PP
-224.6015167236328,-21.774477005004883,RUNNING_PP
-223.5869140625,-20.737361907958984,RUNNING_PP
-222.56112670898438,-19.710533142089844,RUNNING_PP
-221.00083923339844,-18.191410064697266,RUNNING_PP
-220.47512817382812,-17.691051483154297,RUNNING_PP
-218.34190368652344,-15.721405982971191,RUNNING_PP
-217.25711059570312,-14.757111549377441,RUNNING_PP
-215.8840789794922,-13.572851181030273,RUNNING_PP
-215.05003356933594,-12.873806953430176,RUNNING_PP
-213.35897827148438,-11.503631591796875,RUNNING_PP
-211.63589477539062,-10.171902656555176,RUNNING_PP
-210.469970703125,-9.307206153869629,RUNNING_PP
-208.6945037841797,-8.046582221984863,RUNNING_PP
-207.79493713378906,-7.433474540710449,RUNNING_PP
-205.97186279296875,-6.243290901184082,RUNNING_PP
-204.42837524414062,-5.289331436157227,RUNNING_PP
-203.17774963378906,-4.552105903625488,RUNNING_PP
-201.27691650390625,-3.490912914276123,RUNNING_PP
-200.31549072265625,-2.9802768230438232,RUNNING_PP
-198.371826171875,-1.999330759048462,RUNNING_PP
