x_m,y_m,state
-318.2946472167969,-148.1826934814453,RUNNING_MPC
-315.29833984375,-144.0633544921875,RUNNING_MPC
-312.7911682128906,-140.62615966796875,RUNNING_MPC
-310.2852478027344,-137.17698669433594,RUNNING_MPC
-307.7850036621094,-133.7169952392578,RUNNING_MPC
-305.7893371582031,-130.9430389404297,RUNNING_MPC
-303.3002624511719,-127.4707260131836,RUNNING_MPC
-300.81793212890625,-123.99696350097656,RUNNING_MPC
-298.3415222167969,-120.52689361572266,RUNNING_MPC
-296.36328125,-117.75492858886719,RUNNING_MPC
-293.8924255371094,-114.29646301269531,RUNNING_MPC
-291.4216003417969,-110.84529876708984,RUNNING_MPC
-288.9496765136719,-107.4001235961914,RUNNING_MPC
-286.970703125,-104.64669799804688,RUNNING_MPC
-284.4952392578125,-101.20600128173828,RUNNING_MPC
-282.0169372558594,-97.76448822021484,RUNNING_MPC
-280.0330810546875,-95.0109634399414,RUNNING_MPC
-278.04937744140625,-92.2579574584961,RUNNING_MPC
-275.07818603515625,-88.13502502441406,RUNNING_MPC
-272.6129455566406,-84.71439361572266,RUNNING_MPC
-270.16552734375,-81.31846618652344,RUNNING_MPC
-268.7090148925781,-79.29727172851562,RUNNING_MPC
-265.8294372558594,-75.30224609375,RUNNING_MPC
-263.46929931640625,-72.03060150146484,RUNNING_MPC
-261.6097412109375,-69.45690155029297,RUNNING_MPC
-259.32366943359375,-66.29891204833984,RUNNING_MPC
-257.08258056640625,-63.209022521972656,RUNNING_MPC
-254.88833618164062,-60.18822479248047,RUNNING_MPC
-253.16769409179688,-57.821502685546875,RUNNING_MPC
-251.06149291992188,-54.92576217651367,RUNNING_MPC
-249.0049591064453,-52.09910202026367,RUNNING_MPC
-247.79454040527344,-50.436302185058594,RUNNING_MPC
-245.42294311523438,-47.18403244018555,RUNNING_MPC
-243.48753356933594,-44.544158935546875,RUNNING_MPC
-241.57516479492188,-41.96298599243164,RUNNING_MPC
-239.66856384277344,-39.43084716796875,RUNNING_MPC
-237.75247192382812,-36.938072204589844,RUNNING_MPC
-236.20413208007812,-34.9666633605957,RUNNING_MPC
-234.24066162109375,-32.52667999267578,RUNNING_MPC
-232.23699951171875,-30.110097885131836,RUNNING_MPC
-230.18345642089844,-27.71187973022461,RUNNING_MPC
-228.07159423828125,-25.331600189208984,RUNNING_MPC
