x_m,y_m,state
-317.0223083496094,-146.44569396972656,RUNNING_MPC
-315.40887451171875,-144.22105407714844,RUNNING_MPC
-312.17779541015625,-139.77450561523438,RUNNING_MPC
-309.4904479980469,-136.06564331054688,RUNNING_MPC
-306.813232421875,-132.35459899902344,RUNNING_MPC
-304.6798095703125,-129.38589477539062,RUNNING_MPC
-302.0256042480469,-125.67963409423828,RUNNING_MPC
-299.3887939453125,-121.9870376586914,RUNNING_MPC
-296.7731628417969,-118.31834411621094,RUNNING_MPC
-294.6981201171875,-115.4069595336914,RUNNING_MPC
-292.1278991699219,-111.80360412597656,RUNNING_MPC
-289.5844421386719,-108.24374389648438,RUNNING_MPC
-287.56884765625,-105.42771911621094,RUNNING_MPC
-285.0724792480469,-101.94608306884766,RUNNING_MPC
-282.59979248046875,-98.50371551513672,RUNNING_MPC
-280.1490783691406,-95.09783172607422,RUNNING_MPC
-277.71905517578125,-91.72514343261719,RUNNING_MPC
-275.3086242675781,-88.38381958007812,RUNNING_MPC
-272.9178161621094,-85.07308197021484,RUNNING_MPC
-271.4931640625,-83.10160827636719,RUNNING_MPC
-268.6680908203125,-79.19393920898438,RUNNING_MPC
-266.33990478515625,-75.97628021240234,RUNNING_MPC
-264.49578857421875,-73.42951202392578,RUNNING_MPC
-262.6686706542969,-70.90860748291016,RUNNING_MPC
-259.96099853515625,-67.17870330810547,RUNNING_MPC
-257.7356262207031,-64.11799621582031,RUNNING_MPC
-255.97593688964844,-61.70030212402344,RUNNING_MPC
-253.37069702148438,-58.1234016418457,RUNNING_MPC
-251.6570281982422,-55.77119827270508,RUNNING_MPC
-249.54104614257812,-52.86607360839844,RUNNING_MPC
-247.45376586914062,-49.99971008300781,RUNNING_MPC
-245.80384826660156,-47.73579406738281,RUNNING_MPC
-243.7620086669922,-44.94330978393555,RUNNING_MPC
-241.73654174804688,-42.19609451293945,RUNNING_MPC
-239.71896362304688,-39.49637222290039,RUNNING_MPC
-237.6997833251953,-36.845550537109375,RUNNING_MPC
-236.0765380859375,-34.75996780395508,RUNNING_MPC
-233.61788940429688,-31.69073486328125,RUNNING_MPC
-231.53854370117188,-29.1857967376709,RUNNING_MPC
-229.42306518554688,-26.726764678955078,RUNNING_MPC
-227.70037841796875,-24.792715072631836,RUNNING_MPC
-225.05799865722656,-21.948503494262695,RUNNING_MPC
-223.25732421875,-20.091262817382812,RUNNING_MPC
-220.9530487060547,-17.813228607177734,RUNNING_MPC
-218.58590698242188,-15.595547676086426,RUNNING_MPC
-216.154296875,-13.44467544555664,RUNNING_MPC
-213.65879821777344,-11.366774559020996,RUNNING_MPC
-211.61322021484375,-9.762557983398438,RUNNING_MPC
-208.99673461914062,-7.8361053466796875,RUNNING_MPC
-206.31114196777344,-6.00969934463501,RUNNING_MPC
-203.55625915527344,-4.289358615875244,RUNNING_MPC
-201.8707733154297,-3.313295841217041,RUNNING_MPC
-198.42440795898438,-1.4919781684875488,RUNNING_MPC
-196.0735321044922,-0.37746965885162354,RUNNING_MPC
-193.0745391845703,0.9041217565536499,RUNNING_MPC
-190.62942504882812,1.8388279676437378,RUNNING_MPC
-188.14303588867188,2.697310209274292,RUNNING_MPC
-184.97845458984375,3.673482894897461,RUNNING_MPC
-181.74696350097656,4.5480265617370605,RUNNING_MPC
-179.11683654785156,5.178569316864014,RUNNING_MPC
-175.77330017089844,5.885478496551514,RUNNING_MPC
-173.7391357421875,6.270439147949219,RUNNING_MPC
-170.30331420898438,6.848824501037598,RUNNING_MPC
-167.51705932617188,7.259479999542236,RUNNING_MPC
-165.4072265625,7.536749839782715,RUNNING_MPC
-161.13880920410156,8.01180648803711,RUNNING_MPC
-158.2592010498047,8.268770217895508,RUNNING_MPC
-154.62403869628906,8.5225248336792,RUNNING_MPC
-151.6886444091797,8.668700218200684,RUNNING_MPC
-147.98651123046875,8.780377388000488,RUNNING_MPC
-144.99813842773438,8.811264038085938,RUNNING_MPC
-141.98495483398438,8.79251480102539,RUNNING_MPC
-138.18397521972656,8.69913387298584,RUNNING_MPC
-135.11485290527344,8.572681427001953,RUNNING_MPC
-131.24224853515625,8.34933090209961,RUNNING_MPC
-127.3309326171875,8.0607271194458,RUNNING_MPC
-124.17384338378906,7.784581184387207,RUNNING_MPC
-120.19384765625,7.3908820152282715,RUNNING_MPC
-116.98358917236328,7.038060188293457,RUNNING_MPC
-113.74919891357422,6.657702445983887,RUNNING_MPC
-110.49076080322266,6.252065181732178,RUNNING_MPC
-106.38574981689453,5.716267108917236,RUNNING_MPC
-103.07418060302734,5.264281272888184,RUNNING_MPC
-98.90007781982422,4.676783561706543,RUNNING_MPC
-95.53385162353516,4.191095352172852,RUNNING_MPC
-91.29398345947266,3.568340301513672,RUNNING_MPC
-87.87832641601562,3.0617918968200684,RUNNING_MPC
-84.44497680664062,2.552058696746826,RUNNING_MPC
-80.1336441040039,1.916634440422058,RUNNING_MPC
-75.80583190917969,1.291372537612915,RUNNING_MPC
-71.46802520751953,0.685706377029419,RUNNING_MPC
-67.99441528320312,0.22215059399604797,RUNNING_MPC
-63.65110397338867,-0.32326337695121765,RUNNING_MPC
-61.04556655883789,-0.6299796104431152,RUNNING_MPC
-55.83446502685547,-1.188170075416565,RUNNING_MPC
-51.491146087646484,-1.589893102645874,RUNNING_MPC
-47.14583206176758,-1.9238486289978027,RUNNING_MPC
-44.53653335571289,-2.0875349044799805,RUNNING_MPC
-39.31202697753906,-2.3242897987365723,RUNNING_MPC
-35.823143005371094,-2.4082448482513428,RUNNING_MPC
-30.58223533630371,-2.418381929397583,RUNNING_MPC
-27.95891761779785,-2.3710145950317383,RUNNING_MPC
-24.45914649963379,-2.253376007080078,RUNNING_MPC
-20.95888328552246,-2.0732650756835938,RUNNING_MPC
-17.46048927307129,-1.827382206916809,RUNNING_MPC
-13.966269493103027,-1.5131853818893433,RUNNING_MPC
-10.4785737991333,-1.1315923929214478,RUNNING_MPC
-6.999823570251465,-0.6781257390975952,RUNNING_MPC
-3.5318477153778076,-0.15258640050888062,RUNNING_MPC
-0.9385071992874146,0.2944960296154022,RUNNING_MPC
3.36474871635437,1.1428383588790894,RUNNING_MPC
6.784087181091309,1.9211082458496094,RUNNING_MPC
10.18377685546875,2.7891478538513184,RUNNING_MPC
13.56266975402832,3.7483067512512207,RUNNING_MPC
17.7574405670166,5.074038982391357,RUNNING_MPC
21.090557098388672,6.234185695648193,RUNNING_MPC
25.232685089111328,7.802175045013428,RUNNING_MPC
28.529359817504883,9.14157772064209,RUNNING_MPC
32.629737854003906,10.913223266601562,RUNNING_MPC
36.708335876464844,12.781001091003418,RUNNING_MPC
