signal,unit,ground_truth,estimate
fl_fy,N,-8.638479232788086,-9.1892512495313
fl_fy,N,-5.5696492195129395,-5.919853679779447
fl_fy,N,-3.6330690383911133,-3.90783510931436
fl_fy,N,0.3457552194595337,0.3790687301969054
fl_fy,N,5.788278579711914,6.2977853264291035
fl_fy,N,7.5695977210998535,8.293624092979318
fl_fy,N,5.535745143890381,6.0809504287146705
fl_fy,N,4.129400730133057,4.534911606276224
fl_fy,N,3.5600759983062744,3.9154199700272843
fl_fy,N,0.7840790748596191,0.8588014858838254
fl_fy,N,0.8275408744812012,0.9073839911342477
fl_fy,N,-0.29361143708229065,-0.321283814889598
fl_fy,N,-1.0908093452453613,-1.1929760178598376
fl_fy,N,-3.052588701248169,-3.348651296867315
fl_fy,N,-3.6063809394836426,-3.983058278493707
fl_fy,N,-6.257647514343262,-6.919251824516937
fl_fy,N,-5.680419445037842,-6.30605312763855
fl_fy,N,8.448064804077148,9.562110481355875
fl_fy,N,-7.0665202140808105,-7.804042691145502
fl_fy,N,-7.619452476501465,-8.347998682181242
fl_fy,N,-1.3611587285995483,-1.4757629850976584
fl_fy,N,-2.443094491958618,-2.6237324122972825
fl_fy,N,11.409287452697754,12.024036889189242
fl_fy,N,11.823945045471191,12.380189902122938
fl_fy,N,47.3896598815918,49.91076208797419
fl_fy,N,56.564720153808594,59.18131510546927
fl_fy,N,66.32037353515625,68.76164319840434
fl_fy,N,90.63542938232422,96.18309988705808
fl_fy,N,98.35765838623047,104.76110859629333
fl_fy,N,103.79562377929688,111.20643819891534
fl_fy,N,110.69682312011719,120.08971556848398
fl_fy,N,119.4359359741211,130.62794120837862
fl_fy,N,119.60704040527344,130.7559872861726
fl_fy,N,124.38967895507812,135.08000140580504
fl_fy,N,127.03533172607422,137.9550817913449
fl_fy,N,135.22181701660156,147.120531059354
fl_fy,N,138.5781707763672,152.68180860773936
fl_fy,N,149.0178985595703,164.2398518723205
fl_fy,N,159.23138427734375,177.36156029122415
fl_fy,N,153.22732543945312,163.56994340013722
fl_fy,N,176.75222778320312,202.21556340984557
fl_fy,N,171.28683471679688,193.10363943474576
fl_fy,N,170.18434143066406,193.54617143311376
fl_fy,N,168.8157958984375,191.12376557893467
fl_fy,N,165.59107971191406,188.74199052383366
fl_fy,N,171.5821533203125,196.56135958344439
fl_fy,N,162.41465759277344,183.3637092830301
fl_fy,N,155.27781677246094,174.22042265963148
fl_fy,N,150.05947875976562,164.488505311892
fl_fy,N,166.75328063964844,182.72152451294087
fl_fy,N,161.71832275390625,177.63396291225308
fl_fy,N,177.3698272705078,192.07928510836834
fl_fy,N,176.5983428955078,194.95378760464448
fl_fy,N,191.4965057373047,210.64176704564164
fl_fy,N,202.58599853515625,224.07119336422895
fl_fy,N,216.43667602539062,242.74773074344793
fl_fy,N,229.71290588378906,263.2517778859233
fl_fy,N,255.07843017578125,304.2607672974391
fl_fy,N,267.3286437988281,319.06115882021413
fl_fy,N,281.09405517578125,337.64394452778384
fl_fy,N,279.0962829589844,332.9551015985168
fl_fy,N,289.19818115234375,347.828583340109
fl_fy,N,290.2793884277344,351.51693989376713
fl_fy,N,278.8363037109375,328.81146510382683
fl_fy,N,281.79522705078125,329.3992056266491
fl_fy,N,285.51641845703125,333.0924029381428
fl_fy,N,290.1382141113281,344.1452277931337
fl_fy,N,302.81707763671875,358.57040273689677
fl_fy,N,308.05731201171875,369.00017702360645
fl_fy,N,311.2258605957031,374.04003176119795
fl_fy,N,306.9587097167969,366.76737261743494
fl_fy,N,314.4528503417969,382.8821733272633
fl_fy,N,324.6148681640625,407.05122335560213
fl_fy,N,297.1514587402344,359.4983544720529
fl_fy,N,279.62408447265625,333.8566287346361
fl_fy,N,273.53472900390625,324.3801959431663
fl_fy,N,267.8039245605469,322.0055689443794
fl_fy,N,252.71246337890625,294.6128782204271
fl_fy,N,249.4623260498047,291.7700649032085
fl_fy,N,243.74676513671875,284.17333160774785
fl_fy,N,240.1528778076172,280.66505212038754
fl_fy,N,233.01890563964844,269.5864065140668
fl_fy,N,228.1496124267578,266.34726682931324
fl_fy,N,225.34144592285156,262.8470570895756
fl_fy,N,216.00244140625,253.164137449203
fl_fy,N,209.17889404296875,243.24871996255237
fl_fy,N,197.6813507080078,226.40202289228705
fl_fy,N,201.74636840820312,230.2928239059401
fl_fy,N,199.52713012695312,223.6374006312767
fl_fy,N,194.4683380126953,217.08172594201397
fl_fy,N,202.5861358642578,226.7382042062381
fl_fy,N,202.86119079589844,226.49942619994354
fl_fy,N,219.74374389648438,247.8814465208629
fl_fy,N,217.6737060546875,244.69996705503132
fl_fy,N,232.84751892089844,264.45133239746417
fl_fy,N,234.97259521484375,266.0841365896307
fl_fy,N,248.93807983398438,287.6429189073275
fl_fy,N,246.5824432373047,283.4373316234682
fl_fy,N,247.00454711914062,288.18728033780627
fl_fy,N,244.12306213378906,282.1258030098896
fl_fy,N,220.15744018554688,251.37041906023725
fl_fy,N,215.44503784179688,245.7781843533757
fl_fy,N,205.23910522460938,235.16974159006563
fl_fy,N,197.0244903564453,222.0098897897704
fl_fy,N,198.87017822265625,225.81523008757983
fl_fy,N,193.6275634765625,225.84781299401084
fl_fy,N,169.51141357421875,191.0007618099058
fl_fy,N,160.3624267578125,178.29334078549377
fl_fy,N,147.3997344970703,166.1724585261632
fl_fy,N,149.73779296875,168.4807163074686
fl_fy,N,157.89950561523438,179.98307290122466
fl_fy,N,142.63011169433594,159.47198617846666
fl_fy,N,157.78265380859375,181.37366013295278
fl_fy,N,147.5731201171875,166.42360347352383
fl_fy,N,168.5295867919922,194.5572250985053
fl_fy,N,159.385986328125,182.3710894949111
fl_fy,N,163.48223876953125,187.00435677814775
fl_fy,N,162.61671447753906,185.41312360990233
fl_fy,N,151.6316375732422,174.83112926594112
fl_fy,N,164.02914428710938,195.98843725500407
fl_fy,N,130.37069702148438,150.09283313808123
fl_fy,N,90.56571960449219,100.33975174170257
fl_fy,N,86.64533996582031,97.61358752098968
fl_fy,N,55.916141510009766,62.973026634407454
fl_fy,N,43.935359954833984,48.42908125444735
fl_fy,N,12.837285041809082,14.138785114507316
fl_fy,N,2.6480846405029297,2.8740310670551645
fl_fy,N,-17.171117782592773,-18.325366271158053
fl_fy,N,-31.223556518554688,-33.323907691733915
fl_fy,N,-54.67771911621094,-57.79826049285205
fl_fy,N,-85.71424102783203,-90.64137837140862
fl_fy,N,-97.38676452636719,-103.89345761690458
fl_fy,N,-119.40370178222656,-131.00473008289092
fl_fy,N,-143.17271423339844,-157.044326057388
fl_fy,N,-158.93128967285156,-176.03011427526852
fl_fy,N,-166.90769958496094,-189.85158951445678
fl_fy,N,-199.5602569580078,-228.60737972938963
fl_fy,N,-204.1771697998047,-237.31514514648376
fl_fy,N,-229.59552001953125,-267.8973565835492
fl_fy,N,-231.51980590820312,-270.5224906279916
fl_fy,N,-259.34881591796875,-308.3575700009761
fl_fy,N,-264.5893249511719,-315.6806942692366
fl_fy,N,-290.7668151855469,-353.0425252004074
fl_fy,N,-288.58642578125,-350.3241439190794
fl_fy,N,-302.5570373535156,-371.3918059616178
fl_fy,N,-318.5491638183594,-396.05088939051586
fl_fy,N,-310.5374450683594,-385.1466828960899
fl_fy,N,-314.47467041015625,-391.6574298403786
fl_fy,N,-300.70916748046875,-372.31212510777465
fl_fy,N,-295.5303649902344,-361.2837745274768
fl_fy,N,-279.1950988769531,-339.7486166783524
