axle,fz_N,nominal_source,mu,B,C,D,E,alpha_rad,fy_identified_N,fy_nominal_N
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.2,-2082.9814901176924,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.19798994974874373,-2097.261975977732,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.19597989949748745,-2111.743752131709,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.19396984924623117,-2126.4258382206285,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1919597989949749,-2141.306775067609,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.18994974874371862,-2156.38457638717,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1879396984924623,-2171.656676639535,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.18592964824120603,-2187.1198747891135,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.18391959798994975,-2202.770273721632,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.18190954773869347,-2218.603215071678,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1798994974874372,-2234.613209212398,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.17788944723618091,-2250.793860162266,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.17587939698492464,-2267.137785170973,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.17386934673366836,-2283.63652875833,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.17185929648241208,-2300.2804709976685,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1698492462311558,-2317.0587298594487,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1678391959798995,-2333.9590574629838,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1658291457286432,-2350.9677301255656,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.16381909547738693,-2368.0694321503274,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.16180904522613065,-2385.247133358493,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.15979899497487438,-2402.4819604499608,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1577889447236181,-2419.7530623703196,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.15577889447236182,-2437.037469974326,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.15376884422110554,-2454.309950407607,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.15175879396984926,-2471.542856782038,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.14974874371859298,-2488.705973897752,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.1477386934673367,-2505.7663609681495,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.14572864321608042,-2522.688192535235,-961.0080097742479
front,1372.8686,carla_physx,0.699999988079071,7.641600131988525,1.806399941444397,2.0,-3.0,-0.14371859296482414,-2539.432599022476,-961.0080097742479
