axis,D_true,v_rollout_mps,delta_sweep_rad,mu_reach,mu_realised,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
delta,1.8,15.0,0.15,2.2436,1.8296,0,0,1.9492,2.0,1,,D
delta,1.8,15.0,0.15,2.2436,1.8296,1,0,1.9388,2.0,1,,D
delta,1.8,15.0,0.15,2.2436,1.8296,1,1,1.9497,2.0,1,,D
delta,1.8,15.0,0.15,2.2436,1.8296,1,2,1.9625,2.0,1,,D
delta,1.8,15.0,0.15,2.2436,1.8296,1,3,1.96,2.0,1,,D
delta,1.8,15.0,0.15,2.2436,1.8296,1,4,1.9752,2.0,1,,D
delta,1.8,15.0,0.25,3.7394,1.8748,0,0,2.0,2.0,2,D,D
delta,1.8,15.0,0.25,3.7394,1.8748,1,0,2.0,2.0,2,D,D
delta,1.8,15.0,0.25,3.7394,1.8748,1,1,2.0,2.0,2,D,D
delta,1.8,15.0,0.25,3.7394,1.8748,1,2,2.0,2.0,2,D,D
delta,1.8,15.0,0.25,3.7394,1.8748,1,3,2.0,2.0,2,D,D
delta,1.8,15.0,0.25,3.7394,1.8748,1,4,2.0,2.0,2,D,D
delta,1.8,15.0,0.4,5.983,1.9299,0,0,1.8693,1.6835,0,,
delta,1.8,15.0,0.4,5.983,1.9299,1,0,1.8741,1.6853,0,,
delta,1.8,15.0,0.4,5.983,1.9299,1,1,1.873,1.6857,0,,
delta,1.8,15.0,0.4,5.983,1.9299,1,2,1.8728,1.6895,0,,
delta,1.8,15.0,0.4,5.983,1.9299,1,3,1.874,1.6871,0,,
delta,1.8,15.0,0.4,5.983,1.9299,1,4,1.8746,1.6871,0,,
delta,1.8,15.0,0.54,8.077,1.9725,0,0,1.866,1.6762,0,,
delta,1.8,15.0,0.54,8.077,1.9725,1,0,1.8688,1.6755,0,,
delta,1.8,15.0,0.54,8.077,1.9725,1,1,1.8779,1.6947,0,,
delta,1.8,15.0,0.54,8.077,1.9725,1,2,1.8686,1.6815,0,,
delta,1.8,15.0,0.54,8.077,1.9725,1,3,1.8709,1.6872,0,,
delta,1.8,15.0,0.54,8.077,1.9725,1,4,1.8628,1.6748,0,,
