axis,D_true,v_rollout_mps,delta_sweep_rad,mu_reach,mu_realised,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
delta,0.7,15.0,0.25,3.7394,0.9517,1,3,0.8068,0.7265,2,C,C
delta,0.7,15.0,0.25,3.7394,0.9517,1,4,0.8053,0.7257,2,C,C
delta,0.7,15.0,0.4,5.983,1.0269,0,0,0.8271,0.6733,1,,C
delta,0.7,15.0,0.4,5.983,1.0269,1,0,0.8243,0.6743,1,,C
delta,0.7,15.0,0.4,5.983,1.0269,1,1,0.8305,0.6995,1,,E
delta,0.7,15.0,0.4,5.983,1.0269,1,2,0.8276,0.6749,1,,C
delta,0.7,15.0,0.4,5.983,1.0269,1,3,0.8304,0.6912,1,,E
delta,0.7,15.0,0.4,5.983,1.0269,1,4,0.8283,0.6721,1,,C
delta,0.7,15.0,0.54,8.077,1.0765,0,0,0.8862,0.7821,1,,C
delta,0.7,15.0,0.54,8.077,1.0765,1,0,0.8834,0.7839,1,,C
delta,0.7,15.0,0.54,8.077,1.0765,1,1,0.8834,0.7837,1,,C
delta,0.7,15.0,0.54,8.077,1.0765,1,2,0.8863,0.7837,1,,C
delta,0.7,15.0,0.54,8.077,1.0765,1,3,0.8826,0.7789,1,,C
delta,0.7,15.0,0.54,8.077,1.0765,1,4,0.8937,0.787,1,,C
speed,1.05,4.0,0.4,0.4255,0.4344,0,0,0.6492,0.6937,2,C,C
speed,1.05,4.0,0.4,0.4255,0.4344,1,0,0.5905,0.566,4,C|E,C|E
speed,1.05,4.0,0.4,0.4255,0.4344,1,1,0.5973,0.5333,3,C|E,E
speed,1.05,4.0,0.4,0.4255,0.4344,1,2,0.5936,0.5074,3,C|E,E
speed,1.05,4.0,0.4,0.4255,0.4344,1,3,0.6018,0.5342,2,E,E
speed,1.05,4.0,0.4,0.4255,0.4344,1,4,0.5875,0.563,2,E,E
speed,1.05,6.0,0.4,0.9573,0.8857,0,0,1.0569,1.079,2,C,C
speed,1.05,6.0,0.4,0.9573,0.8857,1,0,1.0465,1.0408,1,C,
speed,1.05,6.0,0.4,0.9573,0.8857,1,1,1.0507,1.0649,2,C,C
speed,1.05,6.0,0.4,0.9573,0.8857,1,2,1.0537,1.0045,1,C,
speed,1.05,6.0,0.4,0.9573,0.8857,1,3,1.0599,1.0082,1,C,
speed,1.05,6.0,0.4,0.9573,0.8857,1,4,1.0665,0.9982,1,C,
speed,1.05,8.0,0.4,1.7018,1.0086,0,0,1.0498,0.9967,1,,C
speed,1.05,8.0,0.4,1.7018,1.0086,1,0,1.0496,0.9958,1,,C
speed,1.05,8.0,0.4,1.7018,1.0086,1,1,1.0506,0.9977,1,,C
speed,1.05,8.0,0.4,1.7018,1.0086,1,2,1.0509,0.9989,0,,
speed,1.05,8.0,0.4,1.7018,1.0086,1,3,1.0499,0.9969,1,,C
speed,1.05,8.0,0.4,1.7018,1.0086,1,4,1.0493,0.997,1,,C
speed,1.05,10.0,0.4,2.6591,1.0876,0,0,1.0808,0.9865,1,,C
speed,1.05,10.0,0.4,2.6591,1.0876,1,0,1.0804,0.9859,0,,
speed,1.05,10.0,0.4,2.6591,1.0876,1,1,1.0799,0.9867,0,,
speed,1.05,10.0,0.4,2.6591,1.0876,1,2,1.0819,0.988,1,,C
speed,1.05,10.0,0.4,2.6591,1.0876,1,3,1.0822,0.988,0,,
speed,1.05,10.0,0.4,2.6591,1.0876,1,4,1.0826,0.9867,1,,C
speed,1.05,13.0,0.4,4.4939,1.2119,0,0,1.1143,0.9809,0,,
speed,1.05,13.0,0.4,4.4939,1.2119,1,0,1.1197,0.9798,0,,
speed,1.05,13.0,0.4,4.4939,1.2119,1,1,1.1203,0.9811,0,,
speed,1.05,13.0,0.4,4.4939,1.2119,1,2,1.1154,0.9817,0,,
speed,1.05,13.0,0.4,4.4939,1.2119,1,3,1.1125,0.9818,0,,
speed,1.05,13.0,0.4,4.4939,1.2119,1,4,1.1157,0.9797,0,,
speed,1.05,15.0,0.4,5.983,1.2965,0,0,1.1236,0.9767,0,,
speed,1.05,15.0,0.4,5.983,1.2965,1,0,1.1245,0.9759,0,,
speed,1.05,15.0,0.4,5.983,1.2965,1,1,1.1247,0.9772,0,,
speed,1.05,15.0,0.4,5.983,1.2965,1,2,1.1218,0.9794,0,,
speed,1.05,15.0,0.4,5.983,1.2965,1,3,1.1187,0.9766,0,,
speed,1.05,15.0,0.4,5.983,1.2965,1,4,1.1219,0.9767,0,,
speed,1.05,20.0,0.4,10.6364,1.6365,0,0,1.2665,1.01,1,,C
speed,1.05,20.0,0.4,10.6364,1.6365,1,0,1.2575,1.0244,1,,E
speed,1.05,20.0,0.4,10.6364,1.6365,1,1,1.2608,1.0098,1,,C
speed,1.05,20.0,0.4,10.6364,1.6365,1,2,1.2671,1.0113,0,,
speed,1.05,20.0,0.4,10.6364,1.6365,1,3,1.2588,1.0028,0,,
speed,1.05,20.0,0.4,10.6364,1.6365,1,4,1.2622,1.0098,0,,
delta,1.05,15.0,0.03,0.4487,0.446,0,0,1.1673,1.1236,2,C,C
delta,1.05,15.0,0.03,0.4487,0.446,1,0,1.0468,1.0704,2,C,C
delta,1.05,15.0,0.03,0.4487,0.446,1,1,1.0819,1.0932,2,C,C
delta,1.05,15.0,0.03,0.4487,0.446,1,2,1.1628,1.1206,2,C,C
delta,1.05,15.0,0.03,0.4487,0.446,1,3,1.1229,1.1114,2,C,C
delta,1.05,15.0,0.03,0.4487,0.446,1,4,1.0694,1.0846,2,C,C
delta,1.05,15.0,0.06,0.8974,0.8861,0,0,1.3088,1.3022,2,C,C
delta,1.05,15.0,0.06,0.8974,0.8861,1,0,1.2936,1.2932,2,C,C
delta,1.05,15.0,0.06,0.8974,0.8861,1,1,1.2952,1.2965,2,C,C
delta,1.05,15.0,0.06,0.8974,0.8861,1,2,1.3122,1.3061,2,C,C
delta,1.05,15.0,0.06,0.8974,0.8861,1,3,1.3043,1.3012,2,C,C
delta,1.05,15.0,0.06,0.8974,0.8861,1,4,1.297,1.2962,2,C,C
delta,1.05,15.0,0.1,1.4957,1.145,0,0,1.3386,1.3483,2,C,C
delta,1.05,15.0,0.1,1.4957,1.145,1,0,1.295,1.343,2,C,C
delta,1.05,15.0,0.1,1.4957,1.145,1,1,1.3427,1.3495,2,C,C
delta,1.05,15.0,0.1,1.4957,1.145,1,2,1.3501,1.3528,2,C,C
delta,1.05,15.0,0.1,1.4957,1.145,1,3,1.3277,1.3448,2,C,C
delta,1.05,15.0,0.1,1.4957,1.145,1,4,1.3445,1.3478,2,C,C
delta,1.05,15.0,0.15,2.2436,1.1795,0,0,1.3838,1.3851,2,C,C
delta,1.05,15.0,0.15,2.2436,1.1795,1,0,1.3835,1.3867,2,C,C
delta,1.05,15.0,0.15,2.2436,1.1795,1,1,1.3795,1.3804,2,C,C
delta,1.05,15.0,0.15,2.2436,1.1795,1,2,1.3812,1.3835,2,C,C
delta,1.05,15.0,0.15,2.2436,1.1795,1,3,1.3828,1.3862,2,C,C
delta,1.05,15.0,0.15,2.2436,1.1795,1,4,1.386,1.3881,2,C,C
delta,1.05,15.0,0.25,3.7394,1.2337,0,0,1.1462,1.0831,2,B,C
delta,1.05,15.0,0.25,3.7394,1.2337,1,0,1.147,1.0814,2,B,C
delta,1.05,15.0,0.25,3.7394,1.2337,1,1,1.1478,1.0817,2,B,C
delta,1.05,15.0,0.25,3.7394,1.2337,1,2,1.1442,1.0961,2,B,C
delta,1.05,15.0,0.25,3.7394,1.2337,1,3,1.1463,1.0826,2,B,C
delta,1.05,15.0,0.25,3.7394,1.2337,1,4,1.1464,1.0935,2,B,C
delta,1.05,15.0,0.4,5.983,1.2965,0,0,1.1236,0.9767,0,,
delta,1.05,15.0,0.4,5.983,1.2965,1,0,1.1245,0.9759,0,,
delta,1.05,15.0,0.4,5.983,1.2965,1,1,1.1247,0.9772,0,,
delta,1.05,15.0,0.4,5.983,1.2965,1,2,1.1218,0.9794,0,,
delta,1.05,15.0,0.4,5.983,1.2965,1,3,1.1187,0.9766,0,,
delta,1.05,15.0,0.4,5.983,1.2965,1,4,1.1219,0.9767,0,,
delta,1.05,15.0,0.54,8.077,1.3442,0,0,1.1586,1.0013,0,,
delta,1.05,15.0,0.54,8.077,1.3442,1,0,1.1559,1.0011,0,,
delta,1.05,15.0,0.54,8.077,1.3442,1,1,1.1602,1.0017,0,,
delta,1.05,15.0,0.54,8.077,1.3442,1,2,1.1596,1.0012,0,,
delta,1.05,15.0,0.54,8.077,1.3442,1,3,1.1559,1.0008,0,,
delta,1.05,15.0,0.54,8.077,1.3442,1,4,1.1601,1.0029,0,,
speed,1.4,4.0,0.4,0.4255,0.4385,0,0,0.7279,0.7223,3,C|E,C
speed,1.4,4.0,0.4,0.4255,0.4385,1,0,0.6058,0.5737,4,C|E,C|E
speed,1.4,4.0,0.4,0.4255,0.4385,1,1,0.6184,0.5525,4,C|E,C|E
speed,1.4,4.0,0.4,0.4255,0.4385,1,2,0.6109,0.5163,3,C|E,E
speed,1.4,4.0,0.4,0.4255,0.4385,1,3,0.6324,0.5548,4,C|E,C|E
speed,1.4,4.0,0.4,0.4255,0.4385,1,4,0.6272,0.5769,4,C|E,C|E
speed,1.4,6.0,0.4,0.9573,0.9448,0,0,1.2873,1.3461,2,C,C
speed,1.4,6.0,0.4,0.9573,0.9448,1,0,1.242,1.2679,2,C,C
speed,1.4,6.0,0.4,0.9573,0.9448,1,1,1.2565,1.2904,2,C,C
speed,1.4,6.0,0.4,0.9573,0.9448,1,2,1.2583,1.1607,1,C,
speed,1.4,6.0,0.4,0.9573,0.9448,1,3,1.2846,1.1369,2,C,C
speed,1.4,6.0,0.4,0.9573,0.9448,1,4,1.1565,1.1152,2,C,C
speed,1.4,8.0,0.4,1.7018,1.2877,0,0,1.3917,1.3354,0,,
speed,1.4,8.0,0.4,1.7018,1.2877,1,0,1.3906,1.3306,0,,
speed,1.4,8.0,0.4,1.7018,1.2877,1,1,1.3889,1.332,0,,
speed,1.4,8.0,0.4,1.7018,1.2877,1,2,1.3903,1.3372,0,,
speed,1.4,8.0,0.4,1.7018,1.2877,1,3,1.3903,1.3373,0,,
speed,1.4,8.0,0.4,1.7018,1.2877,1,4,1.3894,1.3365,0,,
speed,1.4,10.0,0.4,2.6591,1.3719,0,0,1.4118,1.3254,1,,C
speed,1.4,10.0,0.4,2.6591,1.3719,1,0,1.4113,1.3226,1,,C
