t_run_s,state
0.0,BOOTSTRAP_PP
0.03765988349914551,BOOTSTRAP_PP
0.11703824996948242,BOOTSTRAP_PP
0.19695496559143066,BOOTSTRAP_PP
0.2773425579071045,BOOTSTRAP_PP
0.356860876083374,BOOTSTRAP_PP
0.43709850311279297,BOOTSTRAP_PP
0.5169353485107422,BOOTSTRAP_PP
0.5970196723937988,BOOTSTRAP_PP
0.6772081851959229,BOOTSTRAP_PP
0.7568840980529785,BOOTSTRAP_PP
0.8369879722595215,BOOTSTRAP_PP
0.9167683124542236,BOOTSTRAP_PP
0.9969937801361084,BOOTSTRAP_PP
1.0775926113128662,BOOTSTRAP_PP
1.1570322513580322,BOOTSTRAP_PP
1.2382643222808838,BOOTSTRAP_PP
1.3169519901275635,BOOTSTRAP_PP
1.3969130516052246,BOOTSTRAP_PP
1.4771087169647217,BOOTSTRAP_PP
1.556833028793335,BOOTSTRAP_PP
1.6375555992126465,BOOTSTRAP_PP
1.7168846130371094,BOOTSTRAP_PP
1.796891212463379,BOOTSTRAP_PP
1.8770039081573486,BOOTSTRAP_PP
1.9570226669311523,BOOTSTRAP_PP
2.0368881225585938,BOOTSTRAP_PP
2.116931438446045,BOOTSTRAP_PP
2.197441816329956,BOOTSTRAP_PP
2.276744842529297,BOOTSTRAP_PP
2.3571372032165527,BOOTSTRAP_PP
2.437100648880005,BOOTSTRAP_PP
2.5170323848724365,BOOTSTRAP_PP
2.5968291759490967,BOOTSTRAP_PP
2.6771457195281982,BOOTSTRAP_PP
2.7569169998168945,BOOTSTRAP_PP
2.837001085281372,BOOTSTRAP_PP
2.917025566101074,BOOTSTRAP_PP
3.3006439208984375,BOOTSTRAP_PP
3.377424955368042,BOOTSTRAP_PP
3.456705331802368,BOOTSTRAP_PP
3.5380077362060547,BOOTSTRAP_PP
3.6171529293060303,BOOTSTRAP_PP
3.696615695953369,BOOTSTRAP_PP
3.7769839763641357,BOOTSTRAP_PP
3.8570005893707275,BOOTSTRAP_PP
3.937429189682007,RUNNING_PP
4.017266035079956,RUNNING_PP
4.09735107421875,RUNNING_PP
4.1775617599487305,RUNNING_PP
4.256944894790649,RUNNING_PP
4.3367204666137695,RUNNING_PP
4.417135953903198,RUNNING_PP
4.496791362762451,RUNNING_PP
4.577442407608032,RUNNING_PP
4.656890869140625,RUNNING_PP
4.737492084503174,RUNNING_PP
4.817043781280518,RUNNING_PP
4.897237539291382,RUNNING_PP
4.977031946182251,RUNNING_PP
5.057137966156006,RUNNING_PP
5.136734485626221,RUNNING_PP
5.216799736022949,RUNNING_PP
5.296835422515869,RUNNING_PP
5.377591609954834,RUNNING_PP
5.45694375038147,RUNNING_PP
5.536742210388184,RUNNING_PP
5.617347717285156,RUNNING_PP
5.697004318237305,RUNNING_PP
5.7774152755737305,RUNNING_PP
5.857165813446045,RUNNING_PP
5.936837434768677,RUNNING_PP
6.016923427581787,RUNNING_PP
6.0968286991119385,RUNNING_PP
6.177509784698486,RUNNING_PP
6.256892681121826,RUNNING_PP
6.3367249965667725,RUNNING_PP
6.417003631591797,RUNNING_PP
6.496963739395142,RUNNING_PP
6.57750940322876,RUNNING_PP
6.656613349914551,RUNNING_PP
6.736786603927612,RUNNING_PP
6.817054510116577,RUNNING_PP
6.896870136260986,RUNNING_PP
6.977658271789551,RUNNING_PP
7.057543754577637,RUNNING_PP
7.137677192687988,RUNNING_PP
7.218087196350098,RUNNING_PP
7.297369480133057,RUNNING_PP
7.37706995010376,RUNNING_PP
7.458162069320679,RUNNING_PP
7.5375142097473145,RUNNING_PP
7.616952419281006,RUNNING_PP
7.697181701660156,RUNNING_PP
7.777597188949585,RUNNING_PP
7.857026815414429,RUNNING_PP
7.936902761459351,RUNNING_PP
8.01713514328003,RUNNING_PP
8.096599340438843,RUNNING_PP
8.176907062530518,RUNNING_PP
8.25658917427063,RUNNING_PP
8.336694240570068,RUNNING_PP
8.41680908203125,RUNNING_PP
8.497037410736084,RUNNING_PP
8.576924800872803,RUNNING_PP
8.656808614730835,RUNNING_PP
8.73690676689148,RUNNING_PP
8.817037582397461,RUNNING_PP
8.897448301315308,RUNNING_PP
8.977079391479492,RUNNING_PP
9.057073831558228,RUNNING_PP
9.137401580810547,RUNNING_PP
9.216845035552979,RUNNING_PP
9.297342300415039,RUNNING_PP
9.37693738937378,RUNNING_PP
9.457456827163696,RUNNING_PP
9.536887645721436,RUNNING_PP
9.616830825805664,RUNNING_PP
9.699435234069824,RUNNING_PP
9.777788639068604,RUNNING_PP
9.857999801635742,RUNNING_PP
9.936976194381714,RUNNING_PP
10.017317056655884,RUNNING_PP
10.096601963043213,RUNNING_PP
10.17764687538147,RUNNING_PP
10.256990432739258,RUNNING_PP
10.337299585342407,RUNNING_PP
10.41687297821045,RUNNING_PP
10.496846675872803,RUNNING_PP
10.577291488647461,RUNNING_PP
10.657024621963501,RUNNING_PP
10.737308263778687,RUNNING_PP
10.816962480545044,RUNNING_PP
10.89764952659607,RUNNING_PP
10.977810859680176,RUNNING_PP
11.056770086288452,RUNNING_PP
11.137180089950562,RUNNING_PP
11.2167489528656,RUNNING_PP
11.296961307525635,RUNNING_PP
11.376780271530151,RUNNING_PP
11.457106113433838,RUNNING_PP
11.53697681427002,RUNNING_PP
11.617413997650146,RUNNING_PP
11.697505950927734,RUNNING_PP
11.777313947677612,RUNNING_PP
11.858394145965576,RUNNING_PP
11.937078475952148,RUNNING_PP
12.017019510269165,RUNNING_PP
12.097356081008911,RUNNING_PP
12.176917791366577,RUNNING_PP
12.256824970245361,RUNNING_PP
12.336709022521973,RUNNING_PP
12.416806936264038,RUNNING_PP
12.4966561794281,RUNNING_PP
12.5767822265625,RUNNING_PP
12.656911134719849,RUNNING_PP
12.737223625183105,RUNNING_PP
12.816789388656616,RUNNING_PP
12.897095680236816,RUNNING_PP
12.977033138275146,RUNNING_PP
13.057061433792114,RUNNING_PP
13.13693380355835,RUNNING_PP
13.216801643371582,RUNNING_PP
13.2971031665802,RUNNING_PP
13.376840829849243,RUNNING_PP
13.457049369812012,RUNNING_PP
13.537628412246704,RUNNING_PP
13.616874694824219,RUNNING_PP
13.696757078170776,RUNNING_PP
13.776932954788208,RUNNING_PP
13.857100486755371,RUNNING_PP
13.937110662460327,RUNNING_PP
14.017293214797974,RUNNING_PP
14.096856117248535,RUNNING_PP
14.177346467971802,RUNNING_PP
14.25698208808899,RUNNING_PP
14.3370521068573,RUNNING_PP
14.41677975654602,RUNNING_PP
14.496869564056396,RUNNING_PP
14.577438116073608,RUNNING_PP
14.65719747543335,RUNNING_PP
14.73697543144226,RUNNING_PP
14.816969633102417,RUNNING_PP
