episode,to_state,steering_jump_rad,t_since_switch_s,v_cmd_mps
0,SWITCHING_TO_MPC,0.004261761903762817,0.0,10.999018669128418
0,SWITCHING_TO_MPC,0.004261761903762817,0.019986629486083984,10.999018669128418
0,SWITCHING_TO_MPC,0.004261761903762817,0.040009498596191406,10.999018669128418
0,SWITCHING_TO_MPC,0.004261761903762817,0.0623321533203125,11.980415344238281
0,SWITCHING_TO_MPC,0.004261761903762817,0.07982277870178223,11.980415344238281
0,SWITCHING_TO_MPC,0.004261761903762817,0.0997920036315918,12.302444458007812
0,SWITCHING_TO_MPC,0.004261761903762817,0.11960792541503906,12.623364448547363
0,SWITCHING_TO_MPC,0.004261761903762817,0.13952207565307617,12.949592590332031
0,SWITCHING_TO_MPC,0.004261761903762817,0.1596386432647705,13.263317108154297
0,SWITCHING_TO_MPC,0.004261761903762817,0.17972970008850098,13.587665557861328
0,SWITCHING_TO_MPC,0.004261761903762817,0.19965291023254395,13.925796508789062
0,SWITCHING_TO_MPC,0.004261761903762817,0.21974563598632812,14.249014854431152
0,SWITCHING_TO_MPC,0.004261761903762817,0.23958706855773926,14.575102806091309
0,SWITCHING_TO_MPC,0.004261761903762817,0.259960412979126,15.220433235168457
0,SWITCHING_TO_MPC,0.004261761903762817,0.2799868583679199,15.220433235168457
0,SWITCHING_TO_MPC,0.004261761903762817,0.3000047206878662,15.579389572143555
0,SWITCHING_TO_MPC,0.004261761903762817,0.31972837448120117,15.907039642333984
0,SWITCHING_TO_MPC,0.004261761903762817,0.34012699127197266,16.598846435546875
0,SWITCHING_TO_MPC,0.004261761903762817,0.35959935188293457,16.598846435546875
0,SWITCHING_TO_MPC,0.004261761903762817,0.3796064853668213,16.928110122680664
0,SWITCHING_TO_MPC,0.004261761903762817,0.39963388442993164,17.26797866821289
0,SWITCHING_TO_MPC,0.004261761903762817,0.41945385932922363,17.597949981689453
0,SWITCHING_TO_MPC,0.004261761903762817,0.43961381912231445,17.928743362426758
0,SWITCHING_TO_MPC,0.004261761903762817,0.4598090648651123,18.298084259033203
0,SWITCHING_TO_MPC,0.004261761903762817,0.47975802421569824,18.63127326965332
0,SWITCHING_TO_MPC,0.004261761903762817,0.5001223087310791,19.053895950317383
0,SWITCHING_TO_MPC,0.004261761903762817,0.5200273990631104,19.722694396972656
0,SWITCHING_TO_MPC,0.004261761903762817,0.5399565696716309,19.722694396972656
0,SWITCHING_TO_MPC,0.004261761903762817,0.5597827434539795,20.059267044067383
0,SWITCHING_TO_MPC,0.004261761903762817,0.5794920921325684,20.394201278686523
0,SWITCHING_TO_MPC,0.004261761903762817,0.5996155738830566,20.72966194152832
0,SWITCHING_TO_MPC,0.004261761903762817,0.6197559833526611,21.064912796020508
0,SWITCHING_TO_MPC,0.004261761903762817,0.6405308246612549,21.402376174926758
0,SWITCHING_TO_MPC,0.004261761903762817,0.6596076488494873,21.736417770385742
0,SWITCHING_TO_MPC,0.004261761903762817,0.6797356605529785,22.070533752441406
0,SWITCHING_TO_MPC,0.004261761903762817,0.6997225284576416,22.40569305419922
0,SWITCHING_TO_MPC,0.004261761903762817,0.719656229019165,22.741621017456055
0,SWITCHING_TO_MPC,0.004261761903762817,0.7398767471313477,23.078031539916992
0,SWITCHING_TO_MPC,0.004261761903762817,0.7597038745880127,23.413740158081055
0,SWITCHING_TO_MPC,0.004261761903762817,0.7798027992248535,23.747331619262695
0,SWITCHING_TO_MPC,0.004261761903762817,0.799994945526123,24.083526611328125
0,SWITCHING_TO_MPC,0.004261761903762817,0.8195936679840088,24.420368194580078
0,SWITCHING_TO_MPC,0.004261761903762817,0.8395564556121826,24.761199951171875
0,SWITCHING_TO_MPC,0.004261761903762817,0.8596463203430176,25.089147567749023
0,SWITCHING_TO_MPC,0.004261761903762817,0.8810436725616455,25.423608779907227
0,SWITCHING_TO_MPC,0.004261761903762817,0.8998215198516846,25.76177978515625
0,SWITCHING_TO_MPC,0.004261761903762817,0.9221608638763428,26.432052612304688
0,SWITCHING_TO_MPC,0.004261761903762817,0.9398503303527832,26.432052612304688
0,SWITCHING_TO_MPC,0.004261761903762817,0.9597997665405273,26.76766014099121
0,SWITCHING_TO_MPC,0.004261761903762817,0.979895830154419,27.107059478759766
0,SWITCHING_TO_MPC,0.004261761903762817,0.9994916915893555,27.443937301635742
