t_run_s,state,e_y_m,heading_error_rad
0.0,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
0.13798022270202637,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
0.2975037097930908,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
0.4584081172943115,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
0.6177706718444824,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
0.7775607109069824,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
0.937889575958252,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
1.097569465637207,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
1.257690191268921,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
1.417578935623169,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
1.5775890350341797,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
1.7374844551086426,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
1.8977429866790771,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
2.0576956272125244,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
2.2178304195404053,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
2.377427101135254,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
2.5400071144104004,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
2.6977131366729736,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
2.857781171798706,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
3.023045301437378,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
3.1776745319366455,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
3.337562322616577,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
3.4975287914276123,BOOTSTRAP_PP,2.6278430388602283,0.01078473595148588
3.6575140953063965,RUNNING_PP,2.62792518292433,0.01078114068401459
3.817537546157837,RUNNING_PP,2.6280418515322257,0.010766160402882696
3.9778215885162354,RUNNING_PP,2.627654563851547,0.01007526983708884
4.13791561126709,RUNNING_PP,2.6256004866295637,0.006229199169823674
4.297705411911011,RUNNING_PP,2.6199216908989555,-0.005218598512963801
4.457618474960327,RUNNING_PP,2.6079350006398974,-0.022945397676858437
4.617748022079468,RUNNING_PP,2.5826114708267323,-0.058023046605878204
4.777673721313477,RUNNING_PP,2.534657951243475,-0.09965897366720411
4.937445878982544,RUNNING_PP,2.451297618750866,-0.14283141151945133
5.097555875778198,RUNNING_PP,2.296107351286374,-0.20326965535090025
5.257452726364136,RUNNING_PP,2.024802661952976,-0.2699453795590018
5.417568206787109,RUNNING_PP,1.685696972993509,-0.3028772306505947
5.577527761459351,RUNNING_PP,1.3202236774850402,-0.3068051198332764
