stamp_sec,v_y_gt,v_y_est,omega_gt,omega_est
1788599128.4487433,0.06772375562996835,0.08532836922082947,-0.09118522949808323,-0.15701194726859918
1788599128.5147433,0.07207829204874372,0.09404781678059168,-0.0965565143444789,-0.15463368970887503
1788599128.6467433,0.08203293045067284,0.12069743622709862,-0.10504836306723508,-0.23896172231272683
1788599128.7127433,0.08442896291109925,0.11032424013926875,-0.10497659425531779,-0.16363327523701962
1788599128.7787433,0.08347057269483571,0.11041294082181749,-0.11218520962637316,-0.16222877550880271
1788599128.8447435,0.08622862541848964,0.11030307678380591,-0.11910844190015143,-0.18182345310102385
1788599128.8777435,0.08818034500465188,0.10236211528997245,-0.12114415946595888,-0.14905029820547722
1788599128.9107435,0.08738012027932385,0.10320690314095593,-0.12607555530786718,-0.154859388354777
1788599128.9767435,0.089012866418682,0.12151332121365127,-0.13383265106472592,-0.18589771887099898
1788599129.0427434,0.09262178896270701,0.12443395970970854,-0.13931999122115293,-0.20069556423203225
1788599129.0757434,0.09445899692180326,0.11209150472730008,-0.14111404740438352,-0.1687037072275701
1788599129.1747434,0.09783319705358551,0.14596732989573,-0.15237974336721874,-0.24823538969416759
1788599129.2407434,0.10105786938574202,0.13571264483919598,-0.16000239407502498,-0.23037967713104587
1788599129.3727434,0.10944729523823504,0.18208325779612455,-0.17454504444177713,-0.3143754598550509
1788599129.4387434,0.116260421989133,0.15092178936839457,-0.18179491266633366,-0.26973733211917755
1788599129.5047433,0.12292661278163486,0.16200900597925705,-0.18576633327466927,-0.2666391229637171
1788599129.5707433,0.12537555988076488,0.16344770114652113,-0.20526442400878603,-0.2899023457686994
1788599129.6367433,0.14178978246524032,0.18344860643854566,-0.21850953924129846,-0.2884608140674136
1788599129.7027433,0.15965222525834655,0.2066628748741437,-0.2246523778464041,-0.28323153817166796
1788599129.7687433,0.1673291874211955,0.214206892025932,-0.23366059618475163,-0.317803535957828
1788599129.9007435,0.18958187087019152,0.2924497276436607,-0.25322496938137123,-0.3959828821092626
1788599129.9667435,0.2033627518219392,0.254319269102097,-0.26526164075209635,-0.34628749750164184
1788599129.9997435,0.2109200611088653,0.2393984591465808,-0.270481775738198,-0.3038838234823548
1788599130.0987434,0.23462819951590141,0.32460247896902866,-0.282765666146097,-0.3842828553933355
1788599130.1647434,0.25299431819584406,0.3086997482673416,-0.2895765631794243,-0.3690466197101344
1788599130.2307434,0.26541926034371865,0.3281455850609446,-0.3010044246051851,-0.3708029115096819
1788599130.2967434,0.28136773037362595,0.3498719569801588,-0.3080014624032283,-0.3693530634189704
1788599130.3627434,0.3001392013466937,0.36141145532212304,-0.31964320053399004,-0.4002555943595415
1788599130.4287434,0.3214926623619352,0.39341277053971924,-0.329909667002146,-0.377813348172512
1788599130.4947433,0.34729423426062045,0.420496221895754,-0.33451966444192205,-0.3770978199579713
1788599130.5607433,0.370037348933252,0.43968569807824803,-0.337393585215341,-0.39707079144962026
1788599130.6267433,0.38995184322990184,0.46047330486771965,-0.34355034483223945,-0.39807488575694594
1788599130.6927433,0.4110152722909213,0.4876384282922166,-0.3444662027949269,-0.38186442923741304
1788599130.8247433,0.4444514183500372,0.6111501338915961,-0.3404942709165938,-0.4109667043292982
1788599130.8907433,0.45798406361943833,0.5318755615756582,-0.32379314932869047,-0.37677177789179106
1788599131.0227435,0.4535176365823519,0.5980800355151613,-0.3328994549841048,-0.4305952629441073
1788599131.0887434,0.46043095744117846,0.536113734108202,-0.3349782889393407,-0.3820076974192344
1788599131.1547434,0.4663273716665586,0.5482181372274646,-0.33322760980415617,-0.36681220042461804
1788599131.2207434,0.47119814816394356,0.5506986697433488,-0.3306347182157752,-0.3671586785456382
1788599131.2867434,0.4657289546364183,0.5497533416571375,-0.31442223781107115,-0.3720341963470547
1788599131.3527434,0.47045797396645117,0.5294285847757878,-0.3366511674287176,-0.3642500558461775
1788599131.4187434,0.4644135933180715,0.5563559768234034,-0.3257368642198915,-0.3611959860022015
1788599131.5177433,0.44838680561614197,0.5786798011664538,-0.31303632351601507,-0.3569757615646913
1788599131.5507433,0.44203428840627446,0.481558999162513,-0.30965428662554373,-0.3303380100765083
1788599131.6167433,0.42723576593923696,0.5040051889870052,-0.30375170577626837,-0.34625383785219155
1788599131.7157433,0.40442664360919434,0.5136323844511775,-0.29444492514753323,-0.3528583221321597
1788599131.7487433,0.3959415363276042,0.4313582832896461,-0.29180891021051664,-0.3159866309736124
1788599131.8147433,0.37775589065961857,0.4462041213722886,-0.28687675080931113,-0.3354543156372524
1788599131.8807433,0.35890802063864236,0.4266836335600436,-0.2816086325553311,-0.32908409430690144
1788599131.9467432,0.34309463131263573,0.40543594052972237,-0.2619794507958264,-0.3265999322519075
1788599132.0127435,0.3092949870268846,0.3706394904072745,-0.26595212039981625,-0.327999967057198
1788599132.0787435,0.2933985582342187,0.3466088769504621,-0.26846301203336137,-0.33915975152906924
1788599132.1447434,0.28162991936777004,0.33832485521261935,-0.26690465651463713,-0.32443721483962734
1788599132.2767434,0.2554483747616185,0.3599126708110931,-0.2595842735922972,-0.3716986403002834
1788599132.3427434,0.24074941741523181,0.2914158556180237,-0.25696226873843264,-0.3286273019872397
1788599132.4747434,0.2237347598876145,0.3069184196920771,-0.26538875421859887,-0.3740714929366875
1788599132.5407434,0.20936022268526955,0.2643189647716462,-0.2566970889748341,-0.3258524869154542
1788599132.6397433,0.18833520870916676,0.25792780771466906,-0.2543827614993515,-0.3613730865873809
1788599132.6727433,0.18186770088827187,0.2072412066085058,-0.2544491546804294,-0.29085829489955894
1788599132.7387433,0.17102918152902147,0.21464078882498436,-0.2545840079950109,-0.3443941725270455
1788599132.8047433,0.1617719669481148,0.20637809083363023,-0.258033015147956,-0.34257230129631144
1788599132.8377433,0.15824511330561064,0.1798942896919933,-0.26021990009840895,-0.3101058490921659
1788599132.8707433,0.15424362671040992,0.17771389187024209,-0.265462794517065,-0.31037825620372417
1788599132.9367433,0.15187276216617285,0.19612934356400546,-0.2711929558622935,-0.3650456158462566
1788599133.0027432,0.15023476845459127,0.19877565497094987,-0.2753249841036285,-0.3612935056419551
1788599133.0357432,0.15016944656811804,0.17161980982717243,-0.27716839069982213,-0.33297212213695493
1788599133.0687435,0.1480931696524328,0.17217038781744973,-0.2835807173807995,-0.333217734117676
1788599133.2007434,0.15030733167889054,0.24655919636982038,-0.29617994524043934,-0.4896667675709253
1788599133.2667434,0.1514573339586227,0.20224721930587322,-0.3039275351382576,-0.4098839861369043
1788599133.3987434,0.16294918557563687,0.2722395346554915,-0.3150143397959492,-0.49745943654022473
