scenario,series,alpha_rad_or_coefficient,value
(nominal),front,0.04924623115577892,696.0123622071845
(nominal),front,0.0512562814070352,713.0674456826529
(nominal),front,0.05326633165829148,729.3779253165561
(nominal),front,0.055276381909547756,744.9602470774286
(nominal),front,0.057286432160804035,759.830854682325
(nominal),front,0.059296482412060314,774.0061909432878
(nominal),front,0.06130653266331659,787.502699115834
(nominal),front,0.06331658291457287,800.3368242496331
(nominal),front,0.06532663316582915,812.525014541547
(nominal),front,0.06733668341708543,824.0837226912076
(nominal),front,0.06934673366834171,835.0294072593024
(nominal),front,0.07135678391959799,845.3785340287438
(nominal),front,0.07336683417085427,855.1475773688984
(nominal),front,0.07537688442211055,864.3530216030492
(nominal),front,0.07738693467336683,873.011362379269
(nominal),front,0.07939698492462316,881.1391080448833
(nominal),front,0.08140703517587944,888.7527810246964
(nominal),front,0.08341708542713572,895.868919203167
(nominal),front,0.085427135678392,902.5040773107054
(nominal),front,0.08743718592964828,908.6748283142791
(nominal),front,0.08944723618090455,914.3977648125057
(nominal),front,0.09145728643216083,919.6895004354175
(nominal),front,0.09346733668341711,924.566671249081
(nominal),front,0.09547738693467339,929.0459371652557
(nominal),front,0.09748743718592967,933.1439833562827
(nominal),front,0.09949748743718595,936.8775216753811
(nominal),front,0.10150753768844223,940.2632920825561
(nominal),front,0.10351758793969851,943.3180640762889
(nominal),front,0.10552763819095479,946.0586381312212
(nominal),front,0.10753768844221107,948.5018471420051
(nominal),front,0.10954773869346734,950.6645578735342
(nominal),front,0.11155778894472362,952.56367241773
(nominal),front,0.1135678391959799,954.2161296570976
(nominal),front,0.11557788944723618,955.6389067352377
(nominal),front,0.11758793969849246,956.8490205345211
(nominal),front,0.11959798994974874,957.8635291611225
(nominal),front,0.12160804020100507,958.6995334376219
(nominal),front,0.12361809045226135,959.3741784033685
(nominal),front,0.12562814070351763,959.9046548228284
(nominal),front,0.1276381909547739,960.3082007021073
(nominal),front,0.1296482412060302,960.602102813871
(nominal),front,0.13165829145728647,960.8036982308693
(nominal),front,0.13366834170854275,960.9303758682762
(nominal),front,0.13567839195979903,960.999578035065
(nominal),front,0.1376884422110553,961.0080097742479
(nominal),front,0.13969849246231159,961.0080097742479
(nominal),front,0.14170854271356786,961.0080097742479
(nominal),front,0.14371859296482414,961.0080097742479
(nominal),front,0.14572864321608042,961.0080097742479
(nominal),front,0.1477386934673367,961.0080097742479
(nominal),front,0.14974874371859298,961.0080097742479
(nominal),front,0.15175879396984926,961.0080097742479
(nominal),front,0.15376884422110554,961.0080097742479
(nominal),front,0.15577889447236182,961.0080097742479
(nominal),front,0.1577889447236181,961.0080097742479
(nominal),front,0.15979899497487438,961.0080097742479
(nominal),front,0.16180904522613065,961.0080097742479
(nominal),front,0.16381909547738693,961.0080097742479
(nominal),front,0.16582914572864327,961.0080097742479
(nominal),front,0.16783919597989955,961.0080097742479
(nominal),front,0.16984924623115583,961.0080097742479
(nominal),front,0.1718592964824121,961.0080097742479
(nominal),front,0.17386934673366838,961.0080097742479
(nominal),front,0.17587939698492466,961.0080097742479
(nominal),front,0.17788944723618094,961.0080097742479
(nominal),front,0.17989949748743722,961.0080097742479
(nominal),front,0.1819095477386935,961.0080097742479
(nominal),front,0.18391959798994978,961.0080097742479
(nominal),front,0.18592964824120606,961.0080097742479
(nominal),front,0.18793969849246234,961.0080097742479
(nominal),front,0.18994974874371862,961.0080097742479
(nominal),front,0.1919597989949749,961.0080097742479
(nominal),front,0.19396984924623117,961.0080097742479
(nominal),front,0.19597989949748745,961.0080097742479
(nominal),front,0.19798994974874373,961.0080097742479
(nominal),front,0.2,961.0080097742479
ours_mu_0.7,front,-0.2,-1385.2232052650272
ours_mu_0.7,front,-0.19798994974874373,-1385.1768179032229
ours_mu_0.7,front,-0.19597989949748745,-1385.0595274586547
ours_mu_0.7,front,-0.19396984924623117,-1384.8669804713302
ours_mu_0.7,front,-0.1919597989949749,-1384.594601371846
ours_mu_0.7,front,-0.18994974874371862,-1384.2375833013903
ours_mu_0.7,front,-0.1879396984924623,-1383.790878813146
ours_mu_0.7,front,-0.18592964824120603,-1383.249190492452
ours_mu_0.7,front,-0.18391959798994975,-1382.606961539396
ours_mu_0.7,front,-0.18190954773869347,-1381.8583663644608
ours_mu_0.7,front,-0.1798994974874372,-1380.9973012554701
ours_mu_0.7,front,-0.17788944723618091,-1380.017375182389
ours_mu_0.7,front,-0.17587939698492464,-1378.911900815579
ours_mu_0.7,front,-0.17386934673366836,-1377.6738858428566
ours_mu_0.7,front,-0.17185929648241208,-1376.2960246812186
ours_mu_0.7,front,-0.1698492462311558,-1374.7706906902945
ours_mu_0.7,front,-0.1678391959798995,-1373.0899290065215
ours_mu_0.7,front,-0.1658291457286432,-1371.2454501295852
ours_mu_0.7,front,-0.16381909547738693,-1369.2286244058305
ours_mu_0.7,front,-0.16180904522613065,-1367.0304775669847
ours_mu_0.7,front,-0.15979899497487438,-1364.6416874965325
ours_mu_0.7,front,-0.1577889447236181,-1362.0525824103072
ours_mu_0.7,front,-0.15577889447236182,-1359.2531406520727
ours_mu_0.7,front,-0.15376884422110554,-1356.2329923188577
ours_mu_0.7,front,-0.15175879396984926,-1352.9814229442618
ours_mu_0.7,front,-0.14974874371859298,-1349.4873794805308
ours_mu_0.7,front,-0.1477386934673367,-1345.739478831512
ours_mu_0.7,front,-0.14572864321608042,-1341.7260191981682
ours_mu_0.7,front,-0.14371859296482414,-1337.434994505648
ours_mu_0.7,front,-0.14170854271356784,-1332.854112185378
ours_mu_0.7,front,-0.13969849246231156,-1327.9708145866352
ours_mu_0.7,front,-0.13768844221105528,-1322.7723042888745
ours_mu_0.7,front,-0.135678391959799,-1317.2455735779681
ours_mu_0.7,front,-0.13366834170854272,-1311.3774383357238
ours_mu_0.7,front,-0.13165829145728644,-1305.1545765717447
ours_mu_0.7,front,-0.12964824120603013,-1298.5635717991213
ours_mu_0.7,front,-0.12763819095477386,-1291.5909614198338
ours_mu_0.7,front,-0.12562814070351758,-1284.2232902413518
ours_mu_0.7,front,-0.12361809045226131,-1276.4471691922088
ours_mu_0.7,front,-0.12160804020100503,-1268.2493392407423
ours_mu_0.7,front,-0.11959798994974874,-1259.6167404475239
ours_mu_0.7,front,-0.11758793969849246,-1250.536585998128
ours_mu_0.7,front,-0.11557788944723618,-1240.9964409690915
ours_mu_0.7,front,-0.1135678391959799,-1230.984305476736
ours_mu_0.7,front,-0.11155778894472362,-1220.4887017469175
ours_mu_0.7,front,-0.10954773869346734,-1209.4987645251363
ours_mu_0.7,front,-0.10753768844221105,-1198.004334122611
ours_mu_0.7,front,-0.10552763819095477,-1185.9960512672596
ours_mu_0.7,front,-0.1035175879396985,-1173.4654528018261
ours_mu_0.7,front,-0.10150753768844221,-1160.4050671479865
ours_mu_0.7,front,-0.09949748743718594,-1146.808508338859
ours_mu_0.7,front,-0.09748743718592964,-1132.6705673170252
ours_mu_0.7,front,-0.09547738693467336,-1117.9872991053053
ours_mu_0.7,front,-0.09346733668341708,-1102.7561043875683
ours_mu_0.7,front,-0.0914572864321608,-1086.9758039912558
ours_mu_0.7,front,-0.08944723618090453,-1070.6467047462659
ours_mu_0.7,front,-0.08743718592964825,-1053.7706552101847
ours_mu_0.7,front,-0.08542713567839195,-1036.3510898007196
ours_mu_0.7,front,-0.08341708542713568,-1018.3930599648986
ours_mu_0.7,front,-0.0814070351758794,-999.9032511424003
ours_mu_0.7,front,-0.07939698492462312,-980.8899844472849
ours_mu_0.7,front,-0.07738693467336684,-961.3632021970958
ours_mu_0.7,front,-0.07537688442211055,-941.3344366579784
ours_mu_0.7,front,-0.07336683417085427,-920.8167616448786
ours_mu_0.7,front,-0.07135678391959799,-899.8247269114131
ours_mu_0.7,front,-0.06934673366834171,-878.3742755776572
ours_mu_0.7,front,-0.06733668341708543,-856.4826451679564
ours_mu_0.7,front,-0.06532663316582915,-834.1682531560731
ours_mu_0.7,front,-0.06331658291457287,-811.4505682323465
ours_mu_0.7,front,-0.06130653266331659,-788.3499688077304
ours_mu_0.7,front,-0.059296482412060286,-764.8875905435517
ours_mu_0.7,front,-0.05728643216080401,-741.0851649353511
ours_mu_0.7,front,-0.05527638190954773,-716.9648511769387
ours_mu_0.7,front,-0.05326633165829145,-692.5490636810609
ours_mu_0.7,front,-0.05125628140703517,-667.8602977315616
ours_mu_0.7,front,-0.04924623115577889,-642.9209557863145
ours_mu_0.7,front,-0.04723618090452261,-617.7531769399687
ours_mu_0.7,front,-0.04522613065326633,-592.3786719920392
ours_mu_0.7,front,-0.043216080402010054,-566.8185664522242
ours_mu_0.7,front,-0.041206030150753775,-541.0932536556471
ours_mu_0.7,front,-0.03919597989949747,-515.2222599619629
ours_mu_0.7,front,-0.03718592964824119,-489.2241237808079
ours_mu_0.7,front,-0.03517587939698491,-463.11628990942086
ours_mu_0.7,front,-0.03316582914572863,-436.91502039422693
ours_mu_0.7,front,-0.031155778894472352,-410.6353228444199
ours_mu_0.7,front,-0.029145728643216073,-384.2908968394811
ours_mu_0.7,front,-0.027135678391959794,-357.8940987908074
ours_mu_0.7,front,-0.025125628140703515,-331.45592534605015
ours_mu_0.7,front,-0.023115577889447236,-304.9860151682456
ours_mu_0.7,front,-0.021105527638190957,-278.4926686841433
ours_mu_0.7,front,-0.01909547738693468,-251.98288518000777
ours_mu_0.7,front,-0.01708542713567837,-225.46241643019724
ours_mu_0.7,front,-0.015075376884422093,-198.9358358746773
ours_mu_0.7,front,-0.013065326633165814,-172.4066222160495
ours_mu_0.7,front,-0.011055276381909535,-145.87725618375742
ours_mu_0.7,front,-0.009045226130653256,-119.34932911128979
ours_mu_0.7,front,-0.0070351758793969765,-92.82366188957357
ours_mu_0.7,front,-0.0050251256281406975,-66.30043279413734
ours_mu_0.7,front,-0.0030150753768844185,-39.779312632825615
ours_mu_0.7,front,-0.0010050251256281395,-13.25960562269733
ours_mu_0.7,front,0.0010050251256281395,13.25960562269733
ours_mu_0.7,front,0.0030150753768844185,39.779312632825615
ours_mu_0.7,front,0.005025125628140725,66.3004327941377
ours_mu_0.7,front,0.007035175879397004,92.82366188957394
ours_mu_0.7,front,0.009045226130653283,119.34932911129016
ours_mu_0.7,front,0.011055276381909562,145.87725618375777
ours_mu_0.7,front,0.013065326633165841,172.40662221604984
ours_mu_0.7,front,0.01507537688442212,198.93583587467762
ours_mu_0.7,front,0.0170854271356784,225.46241643019758
ours_mu_0.7,front,0.01909547738693468,251.98288518000777
ours_mu_0.7,front,0.021105527638190957,278.4926686841433
ours_mu_0.7,front,0.023115577889447236,304.9860151682456
ours_mu_0.7,front,0.025125628140703515,331.45592534605015
ours_mu_0.7,front,0.027135678391959822,357.8940987908076
ours_mu_0.7,front,0.0291457286432161,384.2908968394814
ours_mu_0.7,front,0.03115577889447238,410.6353228444203
ours_mu_0.7,front,0.03316582914572866,436.9150203942273
ours_mu_0.7,front,0.03517587939698494,463.1162899094212
ours_mu_0.7,front,0.03718592964824122,489.22412378080844
ours_mu_0.7,front,0.039195979899497496,515.2222599619632
ours_mu_0.7,front,0.041206030150753775,541.0932536556471
ours_mu_0.7,front,0.043216080402010054,566.8185664522242
ours_mu_0.7,front,0.04522613065326633,592.3786719920392
ours_mu_0.7,front,0.04723618090452264,617.7531769399692
ours_mu_0.7,front,0.04924623115577892,642.9209557863147
ours_mu_0.7,front,0.0512562814070352,667.8602977315618
ours_mu_0.7,front,0.05326633165829148,692.5490636810615
ours_mu_0.7,front,0.055276381909547756,716.9648511769392
ours_mu_0.7,front,0.057286432160804035,741.0851649353516
ours_mu_0.7,front,0.059296482412060314,764.8875905435522
ours_mu_0.7,front,0.06130653266331659,788.3499688077304
ours_mu_0.7,front,0.06331658291457287,811.4505682323465
ours_mu_0.7,front,0.06532663316582915,834.1682531560731
ours_mu_0.7,front,0.06733668341708543,856.4826451679564
ours_mu_0.7,front,0.06934673366834171,878.3742755776572
ours_mu_0.7,front,0.07135678391959799,899.8247269114131
ours_mu_0.7,front,0.07336683417085427,920.8167616448786
ours_mu_0.7,front,0.07537688442211055,941.3344366579784
ours_mu_0.7,front,0.07738693467336683,961.3632021970958
ours_mu_0.7,front,0.07939698492462316,980.8899844472853
ours_mu_0.7,front,0.08140703517587944,999.9032511424008
ours_mu_0.7,front,0.08341708542713572,1018.3930599648991
ours_mu_0.7,front,0.085427135678392,1036.3510898007198
ours_mu_0.7,front,0.08743718592964828,1053.7706552101852
ours_mu_0.7,front,0.08944723618090455,1070.646704746266
ours_mu_0.7,front,0.09145728643216083,1086.975803991256
ours_mu_0.7,front,0.09346733668341711,1102.7561043875687
ours_mu_0.7,front,0.09547738693467339,1117.9872991053057
ours_mu_0.7,front,0.09748743718592967,1132.6705673170254
ours_mu_0.7,front,0.09949748743718595,1146.8085083388592
ours_mu_0.7,front,0.10150753768844223,1160.4050671479865
ours_mu_0.7,front,0.10351758793969851,1173.4654528018264
ours_mu_0.7,front,0.10552763819095479,1185.9960512672599
ours_mu_0.7,front,0.10753768844221107,1198.0043341226112
ours_mu_0.7,front,0.10954773869346734,1209.4987645251363
ours_mu_0.7,front,0.11155778894472362,1220.4887017469175
ours_mu_0.7,front,0.1135678391959799,1230.984305476736
ours_mu_0.7,front,0.11557788944723618,1240.9964409690915
ours_mu_0.7,front,0.11758793969849246,1250.536585998128
ours_mu_0.7,front,0.11959798994974874,1259.6167404475239
ours_mu_0.7,front,0.12160804020100507,1268.2493392407423
ours_mu_0.7,front,0.12361809045226135,1276.4471691922088
ours_mu_0.7,front,0.12562814070351763,1284.223290241352
ours_mu_0.7,front,0.1276381909547739,1291.590961419834
ours_mu_0.7,front,0.1296482412060302,1298.5635717991215
ours_mu_0.7,front,0.13165829145728647,1305.1545765717447
ours_mu_0.7,front,0.13366834170854275,1311.377438335724
ours_mu_0.7,front,0.13567839195979903,1317.2455735779681
ours_mu_0.7,front,0.1376884422110553,1322.7723042888745
ours_mu_0.7,front,0.13969849246231159,1327.9708145866352
ours_mu_0.7,front,0.14170854271356786,1332.854112185378
ours_mu_0.7,front,0.14371859296482414,1337.434994505648
ours_mu_0.7,front,0.14572864321608042,1341.7260191981682
ours_mu_0.7,front,0.1477386934673367,1345.739478831512
ours_mu_0.7,front,0.14974874371859298,1349.4873794805308
ours_mu_0.7,front,0.15175879396984926,1352.9814229442618
ours_mu_0.7,front,0.15376884422110554,1356.2329923188577
ours_mu_0.7,front,0.15577889447236182,1359.2531406520727
ours_mu_0.7,front,0.1577889447236181,1362.0525824103072
ours_mu_0.7,front,0.15979899497487438,1364.6416874965325
ours_mu_0.7,front,0.16180904522613065,1367.0304775669847
ours_mu_0.7,front,0.16381909547738693,1369.2286244058305
ours_mu_0.7,front,0.16582914572864327,1371.2454501295852
ours_mu_0.7,front,0.16783919597989955,1373.0899290065215
ours_mu_0.7,front,0.16984924623115583,1374.7706906902945
ours_mu_0.7,front,0.1718592964824121,1376.2960246812186
ours_mu_0.7,front,0.17386934673366838,1377.6738858428566
ours_mu_0.7,front,0.17587939698492466,1378.911900815579
ours_mu_0.7,front,0.17788944723618094,1380.017375182389
ours_mu_0.7,front,0.17989949748743722,1380.9973012554701
ours_mu_0.7,front,0.1819095477386935,1381.8583663644608
ours_mu_0.7,front,0.18391959798994978,1382.606961539396
ours_mu_0.7,front,0.18592964824120606,1383.249190492452
ours_mu_0.7,front,0.18793969849246234,1383.790878813146
ours_mu_0.7,front,0.18994974874371862,1384.2375833013903
ours_mu_0.7,front,0.1919597989949749,1384.594601371846
ours_mu_0.7,front,0.19396984924623117,1384.8669804713302
ours_mu_0.7,front,0.19597989949748745,1385.0595274586547
ours_mu_0.7,front,0.19798994974874373,1385.1768179032229
ours_mu_0.7,front,0.2,1385.2232052650272
Baseline-NN-MSE_mu_0.7,front,-0.2,-352.4592305009223
Baseline-NN-MSE_mu_0.7,front,-0.19798994974874373,-360.2714549540435
Baseline-NN-MSE_mu_0.7,front,-0.19597989949748745,-368.244944773643
Baseline-NN-MSE_mu_0.7,front,-0.19396984924623117,-376.38319804653855
Baseline-NN-MSE_mu_0.7,front,-0.1919597989949749,-384.68972335073187
Baseline-NN-MSE_mu_0.7,front,-0.18994974874371862,-393.16803005661836
Baseline-NN-MSE_mu_0.7,front,-0.1879396984924623,-401.8216172969403
Baseline-NN-MSE_mu_0.7,front,-0.18592964824120603,-410.65396146475933
Baseline-NN-MSE_mu_0.7,front,-0.18391959798994975,-419.66850208588863
Baseline-NN-MSE_mu_0.7,front,-0.18190954773869347,-428.8686258985207
