scenario,signal,series,t_s,value
ours,front_mu,plant_mu,13.002,1.0499999523162842
ours,front_mu,plant_mu,13.101,1.0499999523162842
ours,front_mu,plant_mu,13.2,1.0499999523162842
ours,front_mu,plant_mu,13.332,1.0499999523162842
ours,front_mu,plant_mu,13.464,1.0499999523162842
ours,front_mu,plant_mu,13.596,1.0499999523162842
ours,front_mu,plant_mu,13.728,1.0499999523162842
ours,front_mu,plant_mu,13.827,1.0499999523162842
ours,front_mu,plant_mu,13.926,1.0499999523162842
ours,front_mu,plant_mu,14.025,1.0499999523162842
ours,front_mu,plant_mu,14.124,1.0499999523162842
ours,front_mu,plant_mu,14.223,1.0499999523162842
ours,front_mu,plant_mu,14.322,1.0499999523162842
ours,front_mu,plant_mu,14.421,1.0499999523162842
ours,front_mu,plant_mu,14.52,1.0499999523162842
ours,front_mu,plant_mu,14.652,1.0499999523162842
ours,front_mu,plant_mu,14.784,1.0499999523162842
ours,front_mu,plant_mu,14.916,1.0499999523162842
ours,front_mu,plant_mu,15.048,1.0499999523162842
ours,front_mu,plant_mu,15.147,1.0499999523162842
ours,front_mu,plant_mu,15.246,1.0499999523162842
ours,front_mu,plant_mu,15.345,1.0499999523162842
ours,front_mu,plant_mu,15.444,1.0499999523162842
ours,front_mu,plant_mu,15.576,1.0499999523162842
ours,front_mu,plant_mu,15.708,1.0499999523162842
ours,front_mu,plant_mu,15.84,1.0499999523162842
ours,front_mu,plant_mu,15.972,1.0499999523162842
ours,front_mu,plant_mu,16.104,1.0499999523162842
ours,front_mu,plant_mu,16.236,1.0499999523162842
ours,front_mu,plant_mu,16.368,1.0499999523162842
ours,front_mu,plant_mu,16.467,1.0499999523162842
ours,front_mu,plant_mu,16.566,1.0499999523162842
ours,front_mu,plant_mu,16.665,1.0499999523162842
ours,front_mu,plant_mu,16.764,1.0499999523162842
ours,front_mu,plant_mu,16.863,1.0499999523162842
ours,front_mu,plant_mu,16.962,1.0499999523162842
ours,front_mu,plant_mu,17.061,1.0499999523162842
ours,front_mu,plant_mu,17.16,1.0499999523162842
ours,front_mu,plant_mu,17.292,1.0499999523162842
ours,front_mu,plant_mu,17.424,1.0499999523162842
ours,front_mu,plant_mu,17.556,1.0499999523162842
ours,front_mu,plant_mu,17.688,1.0499999523162842
ours,front_mu,plant_mu,17.82,1.0499999523162842
ours,front_mu,plant_mu,17.952,1.0499999523162842
ours,front_mu,plant_mu,18.018,1.0499999523162842
ours,front_mu,plant_mu,18.15,1.0499999523162842
ours,front_mu,plant_mu,18.216,1.0499999523162842
ours,front_mu,plant_mu,18.348,1.0499999523162842
ours,front_mu,plant_mu,18.48,1.0499999523162842
ours,front_mu,plant_mu,18.612,1.0499999523162842
ours,front_mu,plant_mu,18.744,1.0499999523162842
ours,front_mu,plant_mu,18.876,1.0499999523162842
ours,front_mu,plant_mu,19.008,1.0499999523162842
ours,front_mu,plant_mu,19.107,1.0499999523162842
ours,front_mu,plant_mu,19.206,1.0499999523162842
ours,front_mu,plant_mu,19.305,1.0499999523162842
ours,front_mu,plant_mu,19.404,1.0499999523162842
ours,front_mu,plant_mu,19.503,1.0499999523162842
ours,front_mu,plant_mu,19.602,1.0499999523162842
ours,front_mu,plant_mu,19.734,1.0499999523162842
ours,front_mu,plant_mu,19.866,1.0499999523162842
ours,front_mu,plant_mu,19.998,1.0499999523162842
ours,front_mu,plant_mu,20.13,1.0499999523162842
ours,front_mu,plant_mu,20.262,1.0499999523162842
ours,front_mu,plant_mu,20.394,1.0499999523162842
ours,front_mu,plant_mu,20.46,1.0499999523162842
ours,front_mu,plant_mu,20.592,1.0499999523162842
ours,front_mu,plant_mu,20.658,1.0499999523162842
ours,front_mu,plant_mu,20.79,1.0499999523162842
ours,front_mu,plant_mu,20.856,1.0499999523162842
ours,front_mu,plant_mu,20.988,1.0499999523162842
ours,front_mu,plant_mu,21.054,1.0499999523162842
