scenario,signal,error_gt_minus_est
ours,omega,-0.0005816524817345487
ours,omega,0.0008138448352539391
ours,omega,0.003753906254794551
ours,omega,0.0019724020243175964
ours,omega,0.003037726292768569
ours,omega,0.0011880959834221477
ours,omega,-0.0005238960455770571
ours,omega,-0.0020454753411370055
ours,omega,-0.0034771400855987625
ours,omega,-0.003608821206027837
ours,omega,0.00046790304671339746
ours,omega,0.016475719873059423
ours,omega,0.009834296266954208
ours,omega,0.014182386142184505
ours,omega,0.013294824514265002
ours,omega,0.005738123598099068
ours,omega,0.014797683400316994
ours,omega,0.0080436112048837
ours,omega,0.009010516528398585
ours,omega,0.007414987462094555
ours,omega,0.007660443870862621
ours,omega,0.004911742052802245
ours,omega,0.003740399138722872
ours,omega,0.005155063560164333
ours,omega,0.019549181233385726
ours,omega,0.01059150519826682
ours,omega,0.007180149565149063
ours,omega,0.007137530221827754
ours,omega,0.006577653698461278
ours,omega,0.00888097166716928
ours,omega,0.008024505060007375
ours,omega,0.021079032562637295
ours,omega,0.014416248471584403
ours,omega,0.00907396935073329
ours,omega,0.008162413150688275
ours,omega,0.01754568461726519
ours,omega,0.01637059650802386
ours,omega,0.03883265012548445
ours,omega,0.021279946832416463
ours,omega,0.009205605394383809
ours,omega,0.029797595783571468
ours,omega,0.007894542133636051
ours,omega,0.007928677646818233
ours,omega,-0.0076986392158232
ours,omega,-0.02569896080922196
ours,omega,-0.03139725721324302
ours,omega,-0.022961307749965604
ours,omega,0.0032028457861536797
ours,omega,0.01655403181042145
ours,omega,0.011694888260371294
ours,omega,0.025727907618834117
ours,omega,0.020669481307432458
ours,omega,0.0072301957267207895
ours,omega,-7.432419290159809e-05
ours,omega,-0.008852744167238358
ours,omega,0.0021344659121630416
ours,omega,-0.01603220760595883
ours,omega,-0.013433808852039375
ours,omega,-0.01767370816414396
ours,omega,-0.008396724703036929
ours,omega,-0.004504780158609556
ours,omega,-0.009531047546113378
ours,omega,-0.011761692119635209
ours,omega,-0.018951095136375287
ours,omega,-0.03850269468134515
ours,omega,-0.02318311899371854
ours,omega,-0.026829152740033585
ours,omega,-0.014642774362701644
