scenario,completed,failure_reason,laps,best_lap_s,mean_lap_s,rms_e_y_m,max_abs_e_y_m,itae_e_y,rms_heading_rad,max_abs_heading_rad,rms_e_y_pp_m,rms_e_y_mpc_m,transitions,emergency_halts,mpc_solve_time_rms_ms,mpc_solve_time_max_ms,front_fy_rmse_N,rear_fy_rmse_N,front_fy_r2,rear_fy_r2,front_mu_rmse,rear_mu_rmse,v_y_rmse_mps,omega_rmse_radps,v_y_persistence_rmse_mps,omega_persistence_rmse_radps,v_y_skill_vs_persistence,omega_skill_vs_persistence,front_B,front_C,front_D,front_E,rear_B,rear_C,rear_D,rear_E
ours_mu_0.7,True,,3.0,146.8624439239502,156.59737586975098,0.2611526653354304,2.628119034903321,10386.012139793113,0.01987516498993125,0.3051838539406635,0.40458337728981864,0.09714522788196364,,0.0,0.40379717903842516,3.014977,49.139,21.518,0.973,0.994,0.309,0.302,0.022,0.037,0.011,0.006,-1.0,-5.166666666666666,7.076000213623047,1.3459999561309814,1.0089999437332153,-2.0,7.873000144958496,1.3830000162124634,1.0019999742507935,-1.0240000486373901
Baseline-NN-MSE_mu_0.7,True,,3.0,140.70020055770874,149.91934219996133,0.2861903297905981,2.6281100070685603,18182.78656395855,0.020563972288523052,0.31061603677415267,0.444852710770975,0.19045777017552548,,0.0,0.3803498650652937,1.324049,59.366,54.167,0.959,0.962,1.115,1.127,0.024,0.068,0.011,0.005,-1.181818181818182,-12.600000000000001,4.977499961853027,1.3964999914169312,1.881500005722046,-1.8912999629974365,5.010200023651123,1.4200999736785889,1.8984999656677246,-1.1330000162124634
