scenario,signal,series,t_s,value
ours,v_y,ground_truth,16.665,-0.19624164983042824
ours,v_y,ground_truth,16.797,-0.17097528398311468
ours,v_y,ground_truth,16.962,-0.1494293029946654
ours,v_y,ground_truth,17.061,-0.13099902423027387
ours,v_y,ground_truth,17.16,-0.11024017848932743
ours,v_y,ground_truth,17.259,-0.0878702011508814
ours,v_y,ground_truth,17.391,-0.05710077075824316
ours,v_y,ground_truth,17.589,-0.01639816143680406
ours,v_y,ground_truth,17.787,0.01609448508747313
ours,v_y,ground_truth,17.985,0.045763148318927804
ours,v_y,ground_truth,18.084,0.06107874697808313
ours,v_y,ground_truth,18.249,0.08125055584756069
ours,v_y,ground_truth,18.381,0.09400379699989792
ours,v_y,ground_truth,18.579,0.1064709713758436
ours,v_y,ground_truth,18.777,0.11451041824495967
ours,v_y,ground_truth,18.975,0.11946582645408377
ours,v_y,ground_truth,19.173,0.12636202310761124
ours,v_y,ground_truth,19.371,0.14423189775226586
ours,v_y,ground_truth,19.437,0.15280923990509976
ours,v_y,ground_truth,19.602,0.17414595740787409
ours,v_y,ground_truth,19.701,0.17407033936972116
ours,v_y,ground_truth,19.8,0.17687230317787694
ours,v_y,ground_truth,19.899,0.18834806982737984
ours,v_y,ground_truth,19.998,0.19267039814208786
ours,v_y,ground_truth,20.163,0.2156090582188197
ours,v_y,ground_truth,20.361,0.2602455380569104
ours,v_y,ground_truth,20.493,0.29039361745943104
ours,v_y,ground_truth,20.559,0.30551575670699194
ours,v_y,ground_truth,20.691,0.3352560247553855
ours,v_y,ground_truth,20.823,0.3572567894038947
ours,v_y,ground_truth,20.922,0.37320623535162145
ours,v_y,ground_truth,21.087,0.39058709537689484
ours,v_y,ground_truth,21.219,0.4213792850626197
ours,v_y,ground_truth,21.351,0.467613695843613
ours,v_y,ground_truth,21.483,0.4747258031726016
ours,v_y,ground_truth,21.615,0.4706140360079907
ours,v_y,ground_truth,21.813,0.43727159346312483
ours,v_y,ground_truth,21.945,0.39808243672360355
ours,v_y,ground_truth,22.077,0.3593606506966118
ours,v_y,ground_truth,22.209,0.337416847684465
ours,v_y,ground_truth,22.275,0.32635962919724504
ours,v_y,ground_truth,22.407,0.30957400784610245
ours,v_y,ground_truth,22.473,0.2945623316867625
ours,v_y,ground_truth,22.671,0.24180874182234469
ours,v_y,ground_truth,22.803,0.21147571488734318
ours,v_y,ground_truth,23.001,0.17604300105972914
ours,v_y,ground_truth,23.133,0.16089781612116671
ours,v_y,ground_truth,23.265,0.15825853851249572
ours,v_y,ground_truth,23.364,0.16206663570838042
ours,v_y,ground_truth,23.529,0.1745726748390759
ours,v_y,ground_truth,23.595,0.17921334702235914
ours,v_y,ground_truth,23.793,0.20028907037162458
ours,v_y,ground_truth,23.958,0.20441073473601912
ours,v_y,ground_truth,24.123,0.2143557555902526
ours,v_y,ground_truth,24.321,0.23071855476195913
ours,v_y,ground_truth,24.486,0.23128965875974372
ours,v_y,ground_truth,24.585,0.24445749813418116
ours,v_y,ground_truth,24.717,0.2640733786968792
ours,v_y,ground_truth,24.882,0.2869965500269469
ours,v_y,ground_truth,24.981,0.31651856698225167
ours,v_y,ground_truth,25.179,0.36424165785123863
ours,v_y,ground_truth,25.377,0.40230630094968234
ours,v_y,ground_truth,25.575,0.4697204134456192
ours,v_y,ground_truth,25.773,0.5202899180339857
ours,v_y,ground_truth,25.971,0.48949074308773
ours,v_y,ground_truth,26.103,0.4690074338349888
ours,v_y,ground_truth,26.202,0.44768735357629463
ours,v_y,ground_truth,26.367,0.3869940217894685
ours,v_y,ground_truth,26.499,0.35245030323696724
ours,v_y,ground_truth,26.598,0.3275782185713956
ours,v_y,ground_truth,26.763,0.2880225608706599
ours,v_y,ground_truth,26.961,0.24929560913053805
ours,v_y,ground_truth,27.159,0.22606933953298736
ours,v_y,ground_truth,27.324,0.21747546987468613
ours,v_y,ground_truth,27.489,0.22580974289244615
ours,v_y,ground_truth,27.555,0.23232331446238952
ours,v_y,ground_truth,27.687,0.2444474319129526
ours,v_y,ground_truth,27.753,0.25751261556272986
ours,v_y,ground_truth,27.918,0.2811147412926145
ours,v_y,ground_truth,28.017,0.29417345834917885
ours,v_y,ground_truth,28.215,0.32191079758483543
ours,v_y,ground_truth,28.347,0.3511289377943383
ours,v_y,ground_truth,28.446,0.37138577024304276
ours,v_y,ground_truth,28.545,0.37938128033892404
ours,v_y,ground_truth,28.644,0.38463412282106724
ours,v_y,ground_truth,28.809,0.387873308255692
ours,v_y,ground_truth,28.941,0.387075473097104
ours,v_y,ground_truth,29.073,0.39023974718520904
ours,v_y,ground_truth,29.205,0.39245587762703416
ours,v_y,ground_truth,29.403,0.3725368031850227
ours,v_y,ground_truth,29.601,0.3558116162570215
ours,v_y,ground_truth,29.766,0.35099467193898626
ours,v_y,ground_truth,29.865,0.3410588434293462
ours,v_y,ground_truth,29.997,0.33125573043188616
ours,v_y,ground_truth,30.129,0.32832490186823904
ours,v_y,ground_truth,30.195,0.3226181840722866
ours,v_y,ground_truth,30.327,0.2937425831847307
ours,v_y,ground_truth,30.393,0.28593536599435687
ours,v_y,ground_truth,30.591,0.2771828821537259
ours,v_y,ground_truth,30.789,0.2889666322593172
ours,v_y,ground_truth,30.921,0.2893398100815858
ours,v_y,ground_truth,31.053,0.2977964903786745
ours,v_y,ground_truth,31.119,0.28576621897758336
ours,v_y,ground_truth,31.284,0.2732026397609797
ours,v_y,ground_truth,31.449,0.23320070585713815
ours,v_y,ground_truth,31.515,0.20827481012459081
ours,v_y,ground_truth,31.68,0.19058379465415243
ours,v_y,ground_truth,31.845,0.16962187223913183
ours,v_y,ground_truth,32.043,0.12428770673495038
ours,v_y,ground_truth,32.241,0.06696289212003315
ours,v_y,ground_truth,32.406,0.0420887154517402
ours,v_y,ground_truth,32.505,0.04041132920754009
ours,v_y,ground_truth,32.637,0.04476571217064418
ours,v_y,ground_truth,32.802,0.04345878460473962
ours,v_y,ground_truth,32.901,0.0634608026751966
ours,v_y,ground_truth,33.033,0.08594253985636513
ours,v_y,ground_truth,33.198,0.11470341003719042
ours,v_y,ground_truth,33.297,0.12897262025453493
ours,v_y,ground_truth,33.495,0.1538391568791173
ours,v_y,ground_truth,33.693,0.16314367204648583
ours,v_y,ground_truth,33.825,0.16281998803969344
ours,v_y,ground_truth,33.924,0.162450154646832
ours,v_y,ground_truth,34.089,0.16675755832531358
ours,v_y,ground_truth,34.221,0.1725361756091992
ours,v_y,ground_truth,34.32,0.17864852836865808
ours,v_y,ground_truth,34.485,0.19413376182070863
ours,v_y,ground_truth,34.683,0.20672394652849313
ours,v_y,ground_truth,34.881,0.2267332162095279
ours,v_y,ground_truth,35.046,0.23861571167970475
ours,v_y,ground_truth,35.211,0.25178903117006257
ours,v_y,ground_truth,35.277,0.2571664471302544
ours,v_y,ground_truth,35.442,0.27052811072498173
ours,v_y,ground_truth,35.607,0.28453460686713505
