scenario,lap,lap_time_s
ours,1,171.07852721214294
ours,2,148.59807085990906
ours,3,150.87842631340027
Baseline-NN-MSE,1,159.45953583717346
Baseline-NN-MSE,2,142.5598647594452
Baseline-NN-MSE,3,142.96024703979492
