scenario,signal,error_gt_minus_est
ours,front_sum_fy,-52.79894362140567
ours,front_sum_fy,-20.54742535977016
ours,front_sum_fy,-14.06417556081692
ours,front_sum_fy,-1.5740447670987123
ours,front_sum_fy,8.587708426000745
ours,front_sum_fy,18.46783962430294
ours,front_sum_fy,28.2721123430872
ours,front_sum_fy,29.78337969590268
ours,front_sum_fy,38.253394768139856
ours,front_sum_fy,46.18875842679233
ours,front_sum_fy,47.206532605821565
ours,front_sum_fy,47.398530964619795
ours,front_sum_fy,49.9152775335283
ours,front_sum_fy,49.319718928222755
ours,front_sum_fy,40.010686662166165
ours,front_sum_fy,44.02404156588403
ours,front_sum_fy,32.51519167185526
ours,front_sum_fy,25.252979432428873
ours,front_sum_fy,22.93117254685842
ours,front_sum_fy,19.851827654112626
ours,front_sum_fy,17.093460229506007
ours,front_sum_fy,13.498472600659277
ours,front_sum_fy,15.072986293864396
ours,front_sum_fy,11.111696616260929
ours,front_sum_fy,10.379847249608602
ours,front_sum_fy,8.958616587313756
ours,front_sum_fy,5.9596973524118795
ours,front_sum_fy,2.064044089229334
ours,front_sum_fy,-1.0177255434321002
ours,front_sum_fy,-2.894229188384685
ours,front_sum_fy,-6.316151419682054
ours,front_sum_fy,-8.696693091807731
ours,front_sum_fy,-12.404864970961441
ours,front_sum_fy,-14.901428793511158
ours,front_sum_fy,-19.47361335146502
ours,front_sum_fy,-22.21842816485014
ours,front_sum_fy,-25.53664324742084
ours,front_sum_fy,-28.167136845658035
ours,front_sum_fy,-35.820474999520115
ours,front_sum_fy,-45.185270589922254
ours,front_sum_fy,-45.69807849589307
ours,front_sum_fy,-49.14953551747851
ours,front_sum_fy,-50.05591176326868
ours,front_sum_fy,-52.305683628044676
ours,front_sum_fy,-46.17972305931289
ours,front_sum_fy,-39.06304742964721
ours,front_sum_fy,-42.25978663066917
ours,front_sum_fy,-34.996293942075226
ours,front_sum_fy,-34.04444788191694
ours,front_sum_fy,-25.619788811707735
ours,front_sum_fy,-32.274339207023104
ours,front_sum_fy,-30.752066672092724
ours,front_sum_fy,-29.321285615104898
ours,front_sum_fy,-31.569417517159422
ours,front_sum_fy,-29.323068792226252
ours,front_sum_fy,-30.339137356361505
ours,front_sum_fy,-26.786374130726244
ours,front_sum_fy,-24.173323450495104
ours,front_sum_fy,-20.889128721653606
ours,front_sum_fy,-17.10698719923107
ours,front_sum_fy,-2.4664084070082026
ours,front_sum_fy,-8.923477163743883
ours,front_sum_fy,-4.868806878792384
ours,front_sum_fy,7.890766539245419
ours,front_sum_fy,3.6318206752793003
ours,front_sum_fy,-3.2980363695627375
ours,front_sum_fy,-3.7381800199932513
ours,front_sum_fy,-6.286458262414953
ours,front_sum_fy,-6.409749599952534
ours,front_sum_fy,-14.940104464790465
ours,front_sum_fy,-13.326818949598874
ours,front_sum_fy,-20.348996035084497
ours,front_sum_fy,-24.92404957514634
ours,front_sum_fy,-31.507020274126376
ours,front_sum_fy,-40.046860122874364
ours,front_sum_fy,-46.473513371685044
ours,front_sum_fy,-50.069467593240915
ours,front_sum_fy,-48.00617114448221
ours,front_sum_fy,-49.17226467968385
ours,front_sum_fy,-46.45683357150767
ours,front_sum_fy,-44.737881857944785
ours,front_sum_fy,-38.89073209812193
ours,front_sum_fy,-37.40486154056828
ours,front_sum_fy,-33.09956751600134
ours,front_sum_fy,-29.49809219300272
ours,front_sum_fy,-25.534169516534007
ours,front_sum_fy,-24.843311037715694
ours,front_sum_fy,-18.417877787568273
ours,front_sum_fy,-15.0428116237847
ours,front_sum_fy,-15.908245174912338
ours,front_sum_fy,-12.93018997780166
ours,front_sum_fy,-7.036270649392918
ours,front_sum_fy,-6.474765016839001
ours,front_sum_fy,4.146634658964672
ours,front_sum_fy,-2.370131566940927
ours,front_sum_fy,20.85425019056686
ours,front_sum_fy,13.671032309084012
ours,front_sum_fy,19.094077570165382
ours,front_sum_fy,22.553461086010657
ours,front_sum_fy,20.620249231943944
ours,front_sum_fy,21.161767995173477
ours,front_sum_fy,23.03716613686106
ours,front_sum_fy,10.202963394371181
