scenario,signal,t_s,error_est_minus_gt
ours,v_y,18.513,0.012575516156383859
ours,v_y,18.612,0.003784174145458008
ours,v_y,18.711,0.004330123286444942
ours,v_y,18.81,-0.0018934157979796917
ours,v_y,18.975,-0.016356027340760804
ours,v_y,19.107,-0.027156398488432043
ours,v_y,19.239,-0.013029990777689293
ours,v_y,19.371,-0.014665947978260874
ours,v_y,19.503,-0.015605394284366358
ours,v_y,19.635,-0.020921239401036296
ours,v_y,19.833,-0.06348405577736232
ours,v_y,19.932,-0.013087297768014816
ours,v_y,20.097,-0.03604887266455081
ours,v_y,20.229,-0.03164174223410848
ours,v_y,20.361,-0.03391152599371361
ours,v_y,20.559,-0.06073990928590983
ours,v_y,20.757,-0.04133958308097285
ours,v_y,20.889,-0.014672731663901123
ours,v_y,21.021,-0.008443369000405057
ours,v_y,21.153,-0.008643443429723174
ours,v_y,21.285,-0.0023288948998519965
ours,v_y,21.45,-0.0014060087610497096
ours,v_y,21.549,0.00012219401441876387
ours,v_y,21.681,0.0011248983734105204
ours,v_y,21.813,0.0030116046858759613
ours,v_y,21.945,0.005291521057979134
ours,v_y,22.077,0.0074364394606784515
ours,v_y,22.275,0.01191802230460785
ours,v_y,22.473,0.01505732506046057
ours,v_y,22.572,0.006806700515897213
ours,v_y,22.671,0.018133437743725722
ours,v_y,22.77,0.008163887202920175
ours,v_y,22.935,0.027318725646470685
ours,v_y,23.001,0.011807238289345587
ours,v_y,23.199,0.024245523133673008
ours,v_y,23.331,0.025329840698493894
ours,v_y,23.463,0.036225274651476846
ours,v_y,23.595,0.03268091487620539
ours,v_y,23.727,0.023206363958759635
ours,v_y,23.892,0.014737778710460281
ours,v_y,24.057,0.028017613092910232
ours,v_y,24.123,0.013720125876282685
ours,v_y,24.255,0.0126419845296043
ours,v_y,24.321,0.011327165249915117
ours,v_y,24.453,0.018469627372219855
ours,v_y,24.585,0.027799091725392244
ours,v_y,24.717,0.02372334134105497
ours,v_y,24.849,0.02013544007805812
ours,v_y,24.981,0.020389367043167017
ours,v_y,25.113,0.024290692915909018
ours,v_y,25.245,0.018618692219841027
ours,v_y,25.377,0.011165472386187314
ours,v_y,25.509,0.012303261622740869
ours,v_y,25.641,0.003258915035069254
ours,v_y,25.773,0.01740309702289855
ours,v_y,25.905,0.018131784475087898
ours,v_y,26.037,0.017048943070237133
ours,v_y,26.169,0.01963286540600928
ours,v_y,26.301,0.018666249946976743
ours,v_y,26.367,0.011126324464557136
ours,v_y,26.499,0.008106502597406307
ours,v_y,26.565,0.008773440027395996
ours,v_y,26.73,0.008175450116179539
ours,v_y,26.829,0.014378307429121218
ours,v_y,26.928,0.009439469459364885
ours,v_y,27.093,0.01688262957845668
ours,v_y,27.225,0.010825566267127856
ours,v_y,27.357,0.013899305247151272
ours,v_y,27.489,0.010530133681377396
ours,v_y,27.687,0.013692651198852906
ours,v_y,27.819,0.018203839102868102
ours,v_y,27.951,0.021955046421992613
ours,v_y,28.083,0.015524677517524121
ours,v_y,28.248,0.032405799826295156
ours,v_y,28.347,0.020089520927667026
ours,v_y,28.479,0.011111006438163928
ours,v_y,28.611,0.01992307637003715
ours,v_y,28.809,0.059688499117317384
ours,v_y,28.941,0.018076709902034804
ours,v_y,29.007,0.00966212115496301
ours,v_y,29.139,0.0165129079045937
ours,v_y,29.205,0.007771359050412097
ours,v_y,29.37,0.0013321613474172045
ours,v_y,29.535,0.021763066515811336
ours,v_y,29.601,0.00269210342559395
ours,v_y,29.799,0.007780640771095748
ours,v_y,29.931,0.013612323620337596
ours,v_y,30.063,0.010855456995602086
ours,v_y,30.261,0.027159857769800344
ours,v_y,30.459,0.022748863049182888
ours,v_y,30.525,0.009879686557333678
ours,v_y,30.657,0.018527894194322436
ours,v_y,30.723,0.011902964376590053
ours,v_y,30.855,0.021344753791845528
ours,v_y,30.921,0.01201380996953455
ours,v_y,31.053,0.0228688710706767
ours,v_y,31.185,0.017348905879036536
ours,v_y,31.317,0.02413756025609859
ours,v_y,31.449,0.01798388091670211
ours,v_y,31.581,0.020987053110216536
ours,v_y,31.713,0.026868836823104314
ours,v_y,31.812,0.009548645064065886
ours,v_y,31.911,0.020015010692087554
ours,v_y,32.01,0.008768206668326006
ours,v_y,32.109,0.011688284617301314
ours,v_y,32.208,0.0057176159007234495
ours,v_y,32.307,0.0006519492827355422
ours,v_y,32.406,0.00165511624738085
ours,v_y,32.505,0.007836661446277815
ours,v_y,32.637,0.020469322343556917
ours,v_y,32.769,0.02969265577579827
ours,v_y,32.901,0.03508932221039063
ours,v_y,33.033,0.03132848011093059
ours,v_y,33.165,0.03947854131991635
ours,v_y,33.297,0.045972621113760215
ours,v_y,33.429,0.03972686000306053
ours,v_y,33.561,0.040086903050629674
ours,v_y,33.693,0.04011184493599235
ours,v_y,33.825,0.03638482342649607
ours,v_y,33.957,0.05191134745251952
ours,v_y,34.089,0.03720382966785313
ours,v_y,34.221,0.042841821571161565
ours,v_y,34.353,0.04635248720905205
ours,v_y,34.485,0.03770708978199733
ours,v_y,34.617,0.03646673383064952
ours,v_y,34.683,0.020534203403381024
ours,v_y,34.815,0.03870324269400671
ours,v_y,34.881,0.02114823507322433
ours,v_y,35.046,0.01762460094730428
ours,v_y,35.211,0.09786999171752764
ours,v_y,35.343,0.041065492575817764
ours,v_y,35.475,0.0328415877559583
ours,v_y,35.607,0.03070319412818373
ours,v_y,35.739,0.03350642568691159
ours,v_y,35.937,0.04695758806390546
ours,v_y,36.003,0.01154815269362433
ours,v_y,36.135,0.032272997096723516
ours,v_y,36.201,0.011607173861374526
ours,v_y,36.333,0.020086087992460894
ours,v_y,36.399,0.007937273002795536
ours,v_y,36.531,0.01863898388121696
ours,v_y,36.663,0.012875458647395449
ours,v_y,36.762,0.003017000494417846
ours,v_y,36.861,0.0051753011601250384
ours,v_y,36.993,0.006437392105931597
ours,v_y,37.125,0.002710922779312827
ours,v_y,37.191,-0.00041898038084611094
ours,v_y,37.323,0.0010123012421103528
ours,v_y,37.455,0.002124935195826419
ours,v_y,37.554,0.0006637578646597059
ours,v_y,37.653,0.0009795560141416804
ours,v_y,37.752,0.00042761035593753827
ours,v_y,37.851,0.0012453736311204694
ours,v_y,37.983,0.011865639795785227
ours,v_y,38.115,0.007202222416710646
ours,v_y,38.247,0.008244993155988478
ours,v_y,38.379,0.009020038575098088
ours,v_y,38.445,0.00511951730166868
ours,v_y,38.577,0.01097853256064052
ours,v_y,38.643,0.005815946658794313
ours,v_y,38.775,0.012692738278265364
ours,v_y,38.907,0.01332494018374461
ours,v_y,39.039,0.006832580843702668
ours,v_y,39.237,0.03289434539872288
ours,v_y,39.369,0.015935238671363705
ours,v_y,39.501,0.014845712715981174
ours,v_y,39.633,0.01418064525198548
ours,v_y,39.765,0.015234323433656993
ours,v_y,39.93,0.024263043308169197
ours,v_y,40.029,0.01834325295798539
ours,v_y,40.161,0.009767188618786227
ours,v_y,40.293,0.02614329768513174
ours,v_y,40.359,0.011628462221666247
ours,v_y,40.491,0.014907665794285152
ours,v_y,40.557,0.008078827229483665
ours,v_y,40.722,0.01119415202880697
ours,v_y,40.887,0.048689546265203554
ours,v_y,40.953,0.014136019139564082
ours,v_y,41.085,0.0354915691265455
ours,v_y,41.217,0.031702033947964336
ours,v_y,41.283,0.016429711562385207
ours,v_y,41.448,0.015633757573649765
ours,v_y,41.613,0.05920490262937056
ours,v_y,41.811,0.04899384476184898
ours,v_y,41.943,0.025258744056012306
ours,v_y,42.075,0.022892886066623652
ours,v_y,42.207,0.02029239230890134
ours,v_y,42.372,0.011447408554137672
ours,v_y,42.438,0.012999645704637242
ours,v_y,42.57,0.013704752558524214
ours,v_y,42.669,0.019650011434590997
ours,v_y,42.768,0.012203820163385837
ours,v_y,42.867,0.020374131835333542
ours,v_y,42.966,0.01236976928336031
ours,v_y,43.131,0.017021401233327516
ours,v_y,43.263,0.03987636795309313
ours,v_y,43.395,0.019024861423617145
ours,v_y,43.461,0.01205505374639182
ours,v_y,43.593,0.02844707099171595
ours,v_y,43.659,0.015108613425071415
ours,v_y,43.791,0.014540586820844914
ours,v_y,43.857,0.01760435163793983
ours,v_y,43.956,0.02889067883010288
ours,v_y,44.022,0.013360609501293808
ours,v_y,44.088,0.016323599028556623
ours,v_y,44.187,0.012723408055837382
ours,v_y,44.253,0.014228251822185789
ours,v_y,44.352,0.012343017584006355
ours,v_y,44.418,0.01264001465868747
ours,v_y,44.55,0.013159903789040528
ours,v_y,44.682,0.05551751121766313
ours,v_y,44.748,0.008114748243924885
ours,v_y,44.847,0.015183445554802999
ours,v_y,44.913,0.011430265619209345
ours,v_y,45.045,0.02353088965228567
ours,v_y,45.111,0.013645602905946297
ours,v_y,45.243,0.02245482493730122
ours,v_y,45.375,0.030346819457253926
ours,v_y,45.507,0.028159319183240883
ours,v_y,45.639,0.0274837204350189
ours,v_y,45.771,0.03252558221892554
ours,v_y,45.903,0.028960780299872146
ours,v_y,46.035,0.03463210452643706
ours,v_y,46.167,0.0471303917445558
ours,v_y,46.266,0.013289215203852733
ours,v_y,46.365,0.027704775031429818
ours,v_y,46.464,0.01017530424370372
ours,v_y,46.563,0.020240793672170687
ours,v_y,46.662,0.00820677881534998
ours,v_y,46.728,0.007072759892282787
ours,v_y,46.827,0.013104062984557685
ours,v_y,46.893,0.010777627311833293
ours,v_y,46.959,0.011120965388364268
ours,v_y,47.058,0.014383965549495059
ours,v_y,47.124,0.01842029785837529
ours,v_y,47.223,0.03377639510745534
ours,v_y,47.289,0.01800809120606517
ours,v_y,47.355,0.016491393830996848
ours,v_y,47.454,0.02208167774846681
ours,v_y,47.52,0.015202846024280459
ours,v_y,47.619,0.029414160327400796
ours,v_y,47.685,0.012763673401390285
ours,v_y,47.751,0.013740985032209996
ours,v_y,47.85,0.01159149337246329
ours,v_y,47.916,0.011997776156201012
ours,v_y,48.015,0.01899078621415512
ours,v_y,48.081,0.008668911028372306
ours,v_y,48.147,0.00795951756036728
ours,v_y,48.246,0.007187971184332287
ours,v_y,48.312,0.006341045233982101
ours,v_y,48.378,0.005987529382029455
ours,v_y,48.477,0.006171483341041534
ours,v_y,48.543,0.005789857886869559
ours,v_y,48.609,0.006087260035442021
ours,v_y,48.675,0.006332141608997421
ours,v_y,48.774,0.01328543110954511
ours,v_y,48.84,0.006858897850829604
ours,v_y,48.906,0.0069524878767976694
ours,v_y,49.005,0.014625606583617362
ours,v_y,49.071,0.010346984760229244
ours,v_y,49.137,0.007859850452575007
ours,v_y,49.203,0.0077497172062206965
ours,v_y,49.302,0.005671698128102448
ours,v_y,49.368,0.0064172211121415745
ours,v_y,49.434,0.005984846878394651
ours,v_y,49.533,0.010421883417981753
ours,v_y,49.599,0.004989351763573707
ours,v_y,49.665,0.004205752837607268
ours,v_y,49.731,0.003995818297073295
ours,v_y,49.83,0.003134205963770051
ours,v_y,49.896,0.0026155562058947646
ours,v_y,49.962,0.0024416436092653954
ours,v_y,50.028,0.0013482335835227482
ours,v_y,50.094,0.0014483446321236354
ours,v_y,50.193,0.0006848629734672873
ours,v_y,50.259,0.00012086845833347848
ours,v_y,50.325,0.0003407140075257012
ours,v_y,50.424,-0.0004163156894380765
ours,v_y,50.523,-0.0011649155568005665
ours,v_y,50.589,-0.0015090910635815538
ours,v_y,50.688,-0.0026373231414370535
ours,v_y,50.787,-0.004220373299144757
ours,v_y,50.853,-0.002818517324846781
ours,v_y,50.952,-0.0034172574333961175
ours,v_y,51.051,-0.0067163187264804355
ours,v_y,51.15,-0.003743701367880062
ours,v_y,51.216,-0.0034480409506911537
ours,v_y,51.315,-0.006717990577489466
ours,v_y,51.414,-0.0029892146366537267
ours,v_y,51.48,-0.0028781780504188656
ours,v_y,51.579,-0.008248161182404554
ours,v_y,51.645,-0.002179884739760045
ours,v_y,51.744,-0.00180939537831417
ours,v_y,51.81,-0.0016818925807538729
ours,v_y,51.909,-0.0016360964767998185
ours,v_y,52.008,-0.0019608982920306245
ours,v_y,52.074,-0.002098736806396162
ours,v_y,52.173,-0.004550607422888573
ours,v_y,52.272,-0.002076213816201034
ours,v_y,52.338,-0.0024204515810559574
ours,v_y,52.437,-0.0025973976491156445
ours,v_y,52.536,-0.0025959592084980367
ours,v_y,52.602,-0.008119902888463596
ours,v_y,52.734,-0.006347903491638447
ours,v_y,52.8,-0.002723931461657312
ours,v_y,52.866,-0.0058155829492424725
ours,v_y,52.998,-0.0027442292712836457
ours,v_y,53.064,-0.0027624742959656
ours,v_y,53.13,-0.002384101614661502
ours,v_y,53.262,-0.004168584457501026
ours,v_y,53.328,-0.0025982119358844806
ours,v_y,53.394,-0.002953641148839066
ours,v_y,53.526,-0.0025506573006954594
ours,v_y,53.592,-0.0020052257086976277
ours,v_y,53.658,-0.0019098192688985494
ours,v_y,53.757,-0.004083752426132542
ours,v_y,53.823,0.0003559580715262606
ours,v_y,53.889,-0.002065119261132127
ours,v_y,54.021,-0.003716019663726002
ours,v_y,54.087,-0.0019034704572234128
ours,v_y,54.219,-0.006034411560123711
ours,v_y,54.285,-0.001828879053275067
ours,v_y,54.384,-0.0037880385949514844
ours,v_y,54.483,-0.004223066072436232
ours,v_y,54.549,-0.0065817219641522255
ours,v_y,54.648,-0.006317103662653742
ours,v_y,54.747,-0.002663688737225632
ours,v_y,54.813,-0.0020104150500821483
ours,v_y,54.945,-0.004010605623934176
ours,v_y,55.011,-0.0023045646018055865
ours,v_y,55.077,-0.002526562130880136
ours,v_y,55.176,-0.004674611526854534
ours,v_y,55.275,-0.0023497011208838126
ours,v_y,55.341,-0.0024126829267843777
ours,v_y,55.44,-0.004851230954652924
ours,v_y,55.539,-0.005359170147844955
ours,v_y,55.605,-0.0022466338208961406
ours,v_y,55.704,-0.0016135728109726855
ours,v_y,55.803,-0.0018746882699630374
ours,v_y,55.902,-0.0037490309654798354
ours,v_y,55.968,-0.0017698743480685786
ours,v_y,56.067,-0.003704857519366944
ours,v_y,56.166,-0.0021167142628361335
ours,v_y,56.232,-0.002224988190886866
ours,v_y,56.298,-0.0022104451035490566
ours,v_y,56.397,-0.002755390318759425
ours,v_y,56.463,-0.001700461100019035
ours,v_y,56.529,-0.0019852047177327595
ours,v_y,56.661,-0.005078376714937459
ours,v_y,56.727,-0.001662886046061525
ours,v_y,56.793,-0.001873931074645549
ours,v_y,56.892,-0.0018522428828586512
ours,v_y,56.958,-0.0016867872829195302
ours,v_y,57.024,-0.001621725103583431
ours,v_y,57.123,-0.0016313232714266351
ours,v_y,57.189,-0.001260851769504981
ours,v_y,57.288,-0.0010264010742102245
ours,v_y,57.387,-0.0009054078800774731
ours,v_y,57.453,-0.0009779836829736516
ours,v_y,57.519,-0.0010642217647881813
ours,v_y,57.618,-0.001162305544106186
ours,v_y,57.684,-0.0010586337539386231
ours,v_y,57.75,-0.0012163441323876575
ours,v_y,57.816,-0.001113373192865058
ours,v_y,57.882,-0.0010601585916454569
ours,v_y,57.948,-0.001310467999494011
ours,v_y,58.014,-0.0012276087896708893
ours,v_y,58.08,-0.001510309311619558
ours,v_y,58.146,-0.0015258742888440008
ours,v_y,58.212,-0.0015409820734078386
ours,v_y,58.278,-0.0016100262735413533
ours,v_y,58.344,-0.0016883786200086598
ours,v_y,58.443,-0.0015782707402482513
ours,v_y,58.509,-0.001424299253238382
ours,v_y,58.575,-0.0013126583495139121
ours,v_y,58.641,-0.0016716078281539294
ours,v_y,58.707,-0.0019097553325882408
ours,v_y,58.773,-0.0017993068899420442
ours,v_y,58.839,-0.00198182457685165
ours,v_y,58.905,-0.001922930240713449
ours,v_y,58.971,-0.0020542486243265642
ours,v_y,59.037,-0.001913991054326769
ours,v_y,59.103,-0.0017329194903445352
ours,v_y,59.169,-0.0016275208646524732
ours,v_y,59.235,-0.0017273038897927424
ours,v_y,59.334,-0.004595711091604017
ours,v_y,59.4,-0.0024568012019654042
ours,v_y,59.466,-0.0030944259271283477
ours,v_y,59.532,-0.0029414553850099657
ours,v_y,59.598,-0.0031455086468175934
ours,v_y,59.664,-0.002767056823421963
ours,v_y,59.73,-0.0024472939323381265
ours,v_y,59.796,-0.0030722560177440378
ours,v_y,59.862,-0.002472009517347974
ours,v_y,59.928,-0.0027420015610947826
ours,v_y,59.994,-0.0019216834721780575
ours,v_y,60.06,-0.0015581466955027108
ours,v_y,60.126,-0.0015350148045581088
ours,v_y,60.192,-0.0010056869695914475
ours,v_y,60.258,-0.0012087539979089776
ours,v_y,60.324,-0.0006577775964694485
ours,v_y,60.39,-0.0006257006443569496
ours,v_y,60.456,0.0024321733145300575
ours,v_y,60.522,-0.00048019182912704267
ours,v_y,60.588,-0.001928396677098848
ours,v_y,60.654,-0.0016559781268792734
ours,v_y,60.72,-0.003235756875879167
ours,v_y,60.786,-0.003120784749305279
ours,v_y,60.852,-0.00163676371220655
ours,v_y,60.918,-0.002099060276956749
ours,v_y,60.984,-0.0005395477781111463
ours,v_y,61.05,-0.00022642813214474727
ours,v_y,61.116,0.001000205154333883
ours,v_y,61.182,0.0018294506399639948
ours,v_y,61.248,0.0013994724189767965
ours,v_y,61.314,0.002614457108105747
ours,v_y,61.38,0.0020350146840137917
ours,v_y,61.446,0.0030679885338953383
ours,v_y,61.512,0.0031058772159389125
ours,v_y,61.578,0.0037745702142595455
ours,v_y,61.644,0.004164975819747688
ours,v_y,61.71,0.003937036938684371
ours,v_y,61.776,0.004240935456970324
ours,v_y,61.842,0.003650510869269985
ours,v_y,61.908,0.003973377580059473
ours,v_y,61.974,0.004609441999259972
ours,v_y,62.04,0.004126709211138169
ours,v_y,62.106,0.005118998708337319
ours,v_y,62.172,0.004361979240573827
ours,v_y,62.238,0.005148387881496269
ours,v_y,62.304,0.005990975911688401
ours,v_y,62.37,0.0052317442995295504
ours,v_y,62.436,0.006302911573434017
ours,v_y,62.502,0.0055777729138957455
ours,v_y,62.568,0.006726853500455321
ours,v_y,62.667,0.02309702659107077
ours,v_y,62.733,0.008287249945646724
ours,v_y,62.799,0.009197002338857008
ours,v_y,62.865,0.009540020647309078
ours,v_y,62.931,0.014705078762155821
ours,v_y,63.03,0.024693087054426743
ours,v_y,63.096,0.012166206840194371
ours,v_y,63.162,0.01320506693681578
ours,v_y,63.228,0.012449571659655434
ours,v_y,63.294,0.013291444697641486
ours,v_y,63.36,0.012914860429574793
ours,v_y,63.426,0.012598111581755778
ours,v_y,63.492,0.011869495710434885
ours,v_y,63.558,0.010747460532103681
ours,v_y,63.624,0.012556824875369743
ours,v_y,63.69,0.011821699865627977
ours,v_y,63.756,0.010244491786857102
ours,v_y,63.822,0.011875300347041151
ours,v_y,63.888,0.009386175013902653
ours,v_y,63.954,0.002463647980403161
ours,v_y,64.02,0.010008077698814177
ours,v_y,64.086,0.00955968033689758
ours,v_y,64.152,0.01089482645704426
ours,v_y,64.218,0.009849674009352938
ours,v_y,64.284,0.009886847433508317
ours,v_y,64.35,0.00845635524640681
ours,v_y,64.416,0.008886613017495548
ours,v_y,64.482,0.0053627160266441765
ours,v_y,64.548,0.007995094427768912
ours,v_y,64.614,0.006444303982345967
ours,v_y,64.68,-0.0006014986529544464
ours,v_y,64.746,0.003201373552613407
ours,v_y,64.812,0.0026923850731626064
ours,v_y,64.878,0.006200514456303763
ours,v_y,64.944,0.001895705234767897
ours,v_y,65.01,-0.01597850592246519
ours,v_y,65.076,-0.0017593716595931674
ours,v_y,65.142,-0.005521719128619762
ours,v_y,65.208,0.0056701428636725115
ours,v_y,65.274,-0.005084813057137927
ours,v_y,65.34,-0.00872999696252219
ours,v_y,65.406,0.0012986480473801132
ours,v_y,65.472,-0.004127076844989586
ours,v_y,65.538,-0.0024011350095632933
ours,v_y,65.637,-0.004985154946109627
ours,v_y,65.736,-0.028567960501920897
ours,v_y,65.802,-0.0002627581257685918
ours,v_y,65.901,0.007545844850988304
ours,v_y,65.967,0.004003638240395846
ours,v_y,66.033,-0.00711460687215526
ours,v_y,66.099,0.008328475142455494
ours,v_y,66.165,0.006208394713512977
ours,v_y,66.231,0.009535917535104743
ours,v_y,66.297,0.008939663395043151
ours,v_y,66.363,0.008725676768597035
ours,v_y,66.429,0.013979801106150158
ours,v_y,66.495,0.010153633422589126
ours,v_y,66.561,0.01053434350896354
ours,v_y,66.627,0.010856364997618662
ours,v_y,66.693,0.009338095686481807
ours,v_y,66.759,0.009137976142784165
ours,v_y,66.825,0.008046558327304276
ours,v_y,66.891,0.01128790964571813
ours,v_y,66.957,0.006623518581164445
ours,v_y,67.023,0.00775993328327218
ours,v_y,67.089,0.008453474119652471
ours,v_y,67.155,0.00809848351056941
ours,v_y,67.221,0.0026451548909270928
ours,v_y,67.287,0.005812432321915639
ours,v_y,67.353,0.002938135322269164
ours,v_y,67.419,0.006219489831505998
