scenario,category,value
ours,Overall,9806.821789271424
ours,RUNNING_PP,159.28370686671684
ours,RUNNING_MPC,9621.423771315143
Baseline-NN-MSE,Overall,17846.20803949427
Baseline-NN-MSE,RUNNING_PP,109.72666335640527
Baseline-NN-MSE,RUNNING_MPC,17729.29897603982
