scenario,category,value
ours,v_y,0.027
ours,v_y_persistence,0.009
ours,omega,0.032
ours,omega_persistence,0.005
Baseline-NN-MSE,v_y,0.022
Baseline-NN-MSE,v_y_persistence,0.009
Baseline-NN-MSE,omega,0.068
Baseline-NN-MSE,omega_persistence,0.005
