scenario,category,value
ours_mu_0.7,RMS,0.40379717903842516
ours_mu_0.7,Max,3.014977
Baseline-NN-MSE_mu_0.7,RMS,0.3803498650652937
Baseline-NN-MSE_mu_0.7,Max,1.324049
