scenario,signal,t_s,error_est_minus_gt
ours,front_sum_fy,7.359,38.43226692457108
ours,front_sum_fy,7.425,37.92585084192115
ours,front_sum_fy,7.491,29.76078395835566
ours,front_sum_fy,7.524,33.69562134891157
ours,front_sum_fy,7.557,45.784981466063186
ours,front_sum_fy,7.623,38.70233600184417
ours,front_sum_fy,7.689,35.85829138418279
ours,front_sum_fy,7.722,36.17786200776055
ours,front_sum_fy,7.755,35.71905662053763
ours,front_sum_fy,7.821,34.185658558743626
ours,front_sum_fy,7.854,30.667365388291273
ours,front_sum_fy,7.887,33.16693221593357
ours,front_sum_fy,7.92,35.41193886083312
ours,front_sum_fy,8.019,36.91417284070724
ours,front_sum_fy,8.052,39.68885213613487
ours,front_sum_fy,8.085,38.988299772950086
ours,front_sum_fy,8.118,36.436204644473435
ours,front_sum_fy,8.151,38.59712120276282
ours,front_sum_fy,8.217,37.030747442949405
ours,front_sum_fy,8.25,36.030315286803216
ours,front_sum_fy,8.283,35.611483948644775
ours,front_sum_fy,8.316,31.899203220853792
ours,front_sum_fy,8.349,30.79018456696656
ours,front_sum_fy,8.415,30.225908750592794
ours,front_sum_fy,8.448,30.433953220279705
ours,front_sum_fy,8.481,29.408775157270497
ours,front_sum_fy,8.547,28.461092985204743
ours,front_sum_fy,8.613,29.315863514800526
ours,front_sum_fy,8.646,29.34803803221473
ours,front_sum_fy,8.679,28.825802229424767
ours,front_sum_fy,8.745,26.10392316957507
ours,front_sum_fy,8.91,25.704259468361386
ours,front_sum_fy,9.075,26.95281651444739
ours,front_sum_fy,9.24,22.73010736362488
ours,front_sum_fy,9.405,17.242028112959872
ours,front_sum_fy,9.57,17.274059185078272
ours,front_sum_fy,9.735,17.327565869233013
ours,front_sum_fy,9.9,19.012056488294235
ours,front_sum_fy,10.065,14.295616235686111
ours,front_sum_fy,10.23,10.818377148423139
ours,front_sum_fy,10.395,5.633135496375786
ours,front_sum_fy,10.56,1.8751810394822979
ours,front_sum_fy,10.725,0.7426749712708176
ours,front_sum_fy,10.89,1.3845843488925453
ours,front_sum_fy,11.055,0.6727543456454219
ours,front_sum_fy,11.22,4.970198368895311
ours,front_sum_fy,11.385,7.180871373532938
ours,front_sum_fy,11.55,8.280057907635438
ours,front_sum_fy,11.682,11.603896831481364
ours,front_sum_fy,11.715,16.233110069221652
ours,front_sum_fy,11.748,12.783167915160575
ours,front_sum_fy,11.781,13.016338009983343
ours,front_sum_fy,11.847,13.365869722158564
ours,front_sum_fy,11.88,12.903539162058905
ours,front_sum_fy,12.012,16.330641622852767
ours,front_sum_fy,12.045,16.444563248394843
ours,front_sum_fy,12.078,16.999593621007392
ours,front_sum_fy,12.111,17.093078761149016
ours,front_sum_fy,12.144,16.76768934145983
ours,front_sum_fy,12.21,18.127613795071568
ours,front_sum_fy,12.276,18.7411857454957
ours,front_sum_fy,12.309,19.36251968804052
ours,front_sum_fy,12.375,18.969985902322065
ours,front_sum_fy,12.408,20.123961496710464
ours,front_sum_fy,12.474,19.951797093133862
ours,front_sum_fy,12.507,21.066632368109026
ours,front_sum_fy,12.54,22.21542903136239
ours,front_sum_fy,12.573,22.13292026112363
ours,front_sum_fy,12.639,21.458353403680036
ours,front_sum_fy,12.705,23.18939413390899
ours,front_sum_fy,12.738,20.894216811759094
ours,front_sum_fy,12.837,20.860326989577885
ours,front_sum_fy,12.903,23.199899886057864
ours,front_sum_fy,12.936,23.051446484655997
ours,front_sum_fy,12.969,22.617035317891634
ours,front_sum_fy,13.035,22.832096851294168
ours,front_sum_fy,13.068,22.581813351407618
ours,front_sum_fy,13.101,22.88940902161532
ours,front_sum_fy,13.134,22.582719532744846
ours,front_sum_fy,13.167,24.207001389093136
ours,front_sum_fy,13.233,22.917174881238537
ours,front_sum_fy,13.266,22.8820840159362
ours,front_sum_fy,13.299,22.836624136662238
ours,front_sum_fy,13.332,23.035886085399767
ours,front_sum_fy,13.365,23.388630933521313
ours,front_sum_fy,13.431,22.94371380224746
ours,front_sum_fy,13.464,23.56037057011821
ours,front_sum_fy,13.497,23.00219330368725
ours,front_sum_fy,13.53,23.745984264322686
ours,front_sum_fy,13.563,25.145391389429676
ours,front_sum_fy,13.629,26.341558869768505
ours,front_sum_fy,13.662,26.698804436838827
ours,front_sum_fy,13.695,26.371535191821692
ours,front_sum_fy,13.761,27.673434676991718
ours,front_sum_fy,13.827,29.680870089689535
ours,front_sum_fy,13.86,29.438848414873235
ours,front_sum_fy,13.893,28.251924439974772
ours,front_sum_fy,13.959,31.761419928713735
ours,front_sum_fy,14.025,31.35941771419806
ours,front_sum_fy,14.058,30.029928840790035
ours,front_sum_fy,14.091,30.464620122473377
ours,front_sum_fy,14.157,29.97876589210864
ours,front_sum_fy,14.223,28.038076075269373
ours,front_sum_fy,14.289,26.77259180145691
ours,front_sum_fy,14.355,28.637386185049536
ours,front_sum_fy,14.388,29.24513317255412
ours,front_sum_fy,14.421,25.458238769269514
ours,front_sum_fy,14.487,27.439312046078612
ours,front_sum_fy,14.553,28.752386435995305
ours,front_sum_fy,14.619,30.400940859189433
ours,front_sum_fy,14.685,27.610673486136676
ours,front_sum_fy,14.751,31.875059740825435
ours,front_sum_fy,14.817,30.359765652026795
ours,front_sum_fy,14.883,27.803972325013376
ours,front_sum_fy,14.949,29.706608627661183
ours,front_sum_fy,14.982,29.945280030258914
ours,front_sum_fy,15.015,31.27735632696755
ours,front_sum_fy,15.081,32.457791084493806
ours,front_sum_fy,15.147,31.855716880907153
ours,front_sum_fy,15.18,32.76063909822187
ours,front_sum_fy,15.213,33.42418098537735
ours,front_sum_fy,15.279,31.826222731537996
ours,front_sum_fy,15.345,33.91180057835879
ours,front_sum_fy,15.378,37.21491711245261
ours,front_sum_fy,15.411,36.746167312970414
ours,front_sum_fy,15.477,36.00429137043605
ours,front_sum_fy,15.543,32.01590980586866
ours,front_sum_fy,15.576,30.80687038759379
ours,front_sum_fy,15.609,30.6822803423741
ours,front_sum_fy,15.675,32.263782315786386
ours,front_sum_fy,15.708,29.77584612463903
ours,front_sum_fy,15.741,28.90392978983806
