scenario,series,alpha_rad_or_coefficient,value
(nominal),front,0.04522613065326633,740.7728257289023
(nominal),front,0.04723618090452264,765.8988206377819
(nominal),front,0.04924623115577892,790.4215220966641
(nominal),front,0.0512562814070352,814.3482263821827
(nominal),front,0.05326633165829148,837.6862191527871
(nominal),front,0.055276381909547756,860.4427760370982
(nominal),front,0.057286432160804035,882.6251632224152
(nominal),front,0.059296482412060314,904.240638043461
(nominal),front,0.06130653266331659,925.2964495714284
(nominal),front,0.06331658291457287,945.7998392034086
(nominal),front,0.06532663316582915,965.7580412522768
(nominal),front,0.06733668341708543,985.1782835371079
(nominal),front,0.06934673366834171,1004.067787974197
(nominal),front,0.07135678391959799,1022.4337711687663
(nominal),front,0.07336683417085427,1040.2834450074251
(nominal),front,0.07537688442211055,1057.6240172514667
(nominal),front,0.07738693467336683,1074.462692131076
(nominal),front,0.07939698492462316,1090.806670940521
(nominal),front,0.08140703517587944,1106.6631526344133
(nominal),front,0.08341708542713572,1122.039334425106
(nominal),front,0.085427135678392,1136.9424123813149
(nominal),front,0.08743718592964828,1151.3795820280302
(nominal),front,0.08944723618090455,1165.3580389478116
(nominal),front,0.09145728643216083,1178.8849793835332
(nominal),front,0.09346733668341711,1191.9676008426609
(nominal),front,0.09547738693467339,1204.613102703147
(nominal),front,0.09748743718592967,1216.8286868210141
(nominal),front,0.09949748743718595,1228.6215581397148
(nominal),front,0.10150753768844223,1239.9989253013428
(nominal),front,0.10351758793969851,1250.9680012597842
(nominal),front,0.10552763819095479,1261.536003895882
(nominal),front,0.10753768844221107,1271.7101566347028
(nominal),front,0.10954773869346734,1281.4976890649866
(nominal),front,0.11155778894472362,1290.9058375608615
(nominal),front,0.1135678391959799,1299.9418459059104
(nominal),front,0.11557788944723618,1308.6129659196704
(nominal),front,0.11758793969849246,1316.926458086653
(nominal),front,0.11959798994974874,1324.889592187974
(nominal),front,0.12160804020100507,1332.5096479356664
(nominal),front,0.12361809045226135,1339.7939156097839
(nominal),front,0.12562814070351763,1346.749696698362
(nominal),front,0.1276381909547739,1353.3843045403403
(nominal),front,0.1296482412060302,1359.7050649715254
(nominal),front,0.13165829145728647,1365.7193169736915
(nominal),front,0.13366834170854275,1371.4344133269035
(nominal),front,0.13567839195979903,1376.8577212651564
(nominal),front,0.1376884422110553,1381.9966231354238
(nominal),front,0.13969849246231159,1386.8585170602073
(nominal),front,0.14170854271356786,1391.4508176036816
(nominal),front,0.14371859296482414,1395.780956441525
(nominal),front,0.14572864321608042,1399.8563830345404
(nominal),front,0.1477386934673367,1403.6845653061516
(nominal),front,0.14974874371859298,1407.2729903238846
(nominal),front,0.15175879396984926,1410.6291649849159
(nominal),front,0.15376884422110554,1413.7606167058057
(nominal),front,0.15577889447236182,1416.6748941165001
(nominal),front,0.1577889447236181,1419.3795677587104
(nominal),front,0.15979899497487438,1421.8822307887708
(nominal),front,0.16180904522613065,1424.1904996850815
(nominal),front,0.16381909547738693,1426.3120149602303
(nominal),front,0.16582914572864327,1428.254441877907
(nominal),front,0.16783919597989955,1430.0254711747168
(nominal),front,0.16984924623115583,1431.6328197869957
(nominal),front,0.1718592964824121,1433.0842315827356
(nominal),front,0.17386934673366838,1434.3874780987355
(nominal),front,0.17587939698492466,1435.5503592830864
(nominal),front,0.17788944723618094,1436.5807042430934
(nominal),front,0.17989949748743722,1437.4863719987668
(nominal),front,0.1819095477386935,1438.2752522419764
(nominal),front,0.18391959798994978,1438.9552661013988
(nominal),front,0.18592964824120606,1439.5343669133738
(nominal),front,0.18793969849246234,1440.020540998776
(nominal),front,0.18994974874371862,1440.421808446043
(nominal),front,0.1919597989949749,1440.7462239004542
(nominal),front,0.19396984924623117,1441.001877359817
(nominal),front,0.19597989949748745,1441.1968949766422
(nominal),front,0.19798994974874373,1441.3394398669823
(nominal),front,0.2,1441.4377129260174
ours,front,-0.2,-1385.2232052650272
ours,front,-0.19798994974874373,-1385.1768179032229
ours,front,-0.19597989949748745,-1385.0595274586547
ours,front,-0.19396984924623117,-1384.8669804713302
ours,front,-0.1919597989949749,-1384.594601371846
ours,front,-0.18994974874371862,-1384.2375833013903
ours,front,-0.1879396984924623,-1383.790878813146
ours,front,-0.18592964824120603,-1383.249190492452
ours,front,-0.18391959798994975,-1382.606961539396
ours,front,-0.18190954773869347,-1381.8583663644608
ours,front,-0.1798994974874372,-1380.9973012554701
ours,front,-0.17788944723618091,-1380.017375182389
ours,front,-0.17587939698492464,-1378.911900815579
ours,front,-0.17386934673366836,-1377.6738858428566
ours,front,-0.17185929648241208,-1376.2960246812186
ours,front,-0.1698492462311558,-1374.7706906902945
ours,front,-0.1678391959798995,-1373.0899290065215
ours,front,-0.1658291457286432,-1371.2454501295852
ours,front,-0.16381909547738693,-1369.2286244058305
ours,front,-0.16180904522613065,-1367.0304775669847
ours,front,-0.15979899497487438,-1364.6416874965325
ours,front,-0.1577889447236181,-1362.0525824103072
ours,front,-0.15577889447236182,-1359.2531406520727
ours,front,-0.15376884422110554,-1356.2329923188577
ours,front,-0.15175879396984926,-1352.9814229442618
ours,front,-0.14974874371859298,-1349.4873794805308
ours,front,-0.1477386934673367,-1345.739478831512
ours,front,-0.14572864321608042,-1341.7260191981682
ours,front,-0.14371859296482414,-1337.434994505648
ours,front,-0.14170854271356784,-1332.854112185378
ours,front,-0.13969849246231156,-1327.9708145866352
ours,front,-0.13768844221105528,-1322.7723042888745
ours,front,-0.135678391959799,-1317.2455735779681
ours,front,-0.13366834170854272,-1311.3774383357238
ours,front,-0.13165829145728644,-1305.1545765717447
ours,front,-0.12964824120603013,-1298.5635717991213
ours,front,-0.12763819095477386,-1291.5909614198338
ours,front,-0.12562814070351758,-1284.2232902413518
ours,front,-0.12361809045226131,-1276.4471691922088
ours,front,-0.12160804020100503,-1268.2493392407423
ours,front,-0.11959798994974874,-1259.6167404475239
ours,front,-0.11758793969849246,-1250.536585998128
ours,front,-0.11557788944723618,-1240.9964409690915
ours,front,-0.1135678391959799,-1230.984305476736
ours,front,-0.11155778894472362,-1220.4887017469175
ours,front,-0.10954773869346734,-1209.4987645251363
ours,front,-0.10753768844221105,-1198.004334122611
ours,front,-0.10552763819095477,-1185.9960512672596
ours,front,-0.1035175879396985,-1173.4654528018261
ours,front,-0.10150753768844221,-1160.4050671479865
ours,front,-0.09949748743718594,-1146.808508338859
ours,front,-0.09748743718592964,-1132.6705673170252
ours,front,-0.09547738693467336,-1117.9872991053053
ours,front,-0.09346733668341708,-1102.7561043875683
ours,front,-0.0914572864321608,-1086.9758039912558
ours,front,-0.08944723618090453,-1070.6467047462659
ours,front,-0.08743718592964825,-1053.7706552101847
ours,front,-0.08542713567839195,-1036.3510898007196
ours,front,-0.08341708542713568,-1018.3930599648986
ours,front,-0.0814070351758794,-999.9032511424003
ours,front,-0.07939698492462312,-980.8899844472849
ours,front,-0.07738693467336684,-961.3632021970958
ours,front,-0.07537688442211055,-941.3344366579784
ours,front,-0.07336683417085427,-920.8167616448786
ours,front,-0.07135678391959799,-899.8247269114131
ours,front,-0.06934673366834171,-878.3742755776572
ours,front,-0.06733668341708543,-856.4826451679564
ours,front,-0.06532663316582915,-834.1682531560731
ours,front,-0.06331658291457287,-811.4505682323465
ours,front,-0.06130653266331659,-788.3499688077304
ours,front,-0.059296482412060286,-764.8875905435517
ours,front,-0.05728643216080401,-741.0851649353511
ours,front,-0.05527638190954773,-716.9648511769387
ours,front,-0.05326633165829145,-692.5490636810609
ours,front,-0.05125628140703517,-667.8602977315616
ours,front,-0.04924623115577889,-642.9209557863145
ours,front,-0.04723618090452261,-617.7531769399687
ours,front,-0.04522613065326633,-592.3786719920392
ours,front,-0.043216080402010054,-566.8185664522242
ours,front,-0.041206030150753775,-541.0932536556471
ours,front,-0.03919597989949747,-515.2222599619629
ours,front,-0.03718592964824119,-489.2241237808079
ours,front,-0.03517587939698491,-463.11628990942086
ours,front,-0.03316582914572863,-436.91502039422693
ours,front,-0.031155778894472352,-410.6353228444199
ours,front,-0.029145728643216073,-384.2908968394811
ours,front,-0.027135678391959794,-357.8940987908074
ours,front,-0.025125628140703515,-331.45592534605015
ours,front,-0.023115577889447236,-304.9860151682456
ours,front,-0.021105527638190957,-278.4926686841433
ours,front,-0.01909547738693468,-251.98288518000777
ours,front,-0.01708542713567837,-225.46241643019724
ours,front,-0.015075376884422093,-198.9358358746773
ours,front,-0.013065326633165814,-172.4066222160495
ours,front,-0.011055276381909535,-145.87725618375742
ours,front,-0.009045226130653256,-119.34932911128979
ours,front,-0.0070351758793969765,-92.82366188957357
ours,front,-0.0050251256281406975,-66.30043279413734
ours,front,-0.0030150753768844185,-39.779312632825615
ours,front,-0.0010050251256281395,-13.25960562269733
ours,front,0.0010050251256281395,13.25960562269733
ours,front,0.0030150753768844185,39.779312632825615
ours,front,0.005025125628140725,66.3004327941377
ours,front,0.007035175879397004,92.82366188957394
ours,front,0.009045226130653283,119.34932911129016
ours,front,0.011055276381909562,145.87725618375777
ours,front,0.013065326633165841,172.40662221604984
ours,front,0.01507537688442212,198.93583587467762
ours,front,0.0170854271356784,225.46241643019758
ours,front,0.01909547738693468,251.98288518000777
ours,front,0.021105527638190957,278.4926686841433
ours,front,0.023115577889447236,304.9860151682456
ours,front,0.025125628140703515,331.45592534605015
ours,front,0.027135678391959822,357.8940987908076
ours,front,0.0291457286432161,384.2908968394814
ours,front,0.03115577889447238,410.6353228444203
ours,front,0.03316582914572866,436.9150203942273
ours,front,0.03517587939698494,463.1162899094212
ours,front,0.03718592964824122,489.22412378080844
ours,front,0.039195979899497496,515.2222599619632
ours,front,0.041206030150753775,541.0932536556471
ours,front,0.043216080402010054,566.8185664522242
ours,front,0.04522613065326633,592.3786719920392
ours,front,0.04723618090452264,617.7531769399692
ours,front,0.04924623115577892,642.9209557863147
ours,front,0.0512562814070352,667.8602977315618
ours,front,0.05326633165829148,692.5490636810615
ours,front,0.055276381909547756,716.9648511769392
ours,front,0.057286432160804035,741.0851649353516
ours,front,0.059296482412060314,764.8875905435522
ours,front,0.06130653266331659,788.3499688077304
ours,front,0.06331658291457287,811.4505682323465
ours,front,0.06532663316582915,834.1682531560731
ours,front,0.06733668341708543,856.4826451679564
ours,front,0.06934673366834171,878.3742755776572
ours,front,0.07135678391959799,899.8247269114131
ours,front,0.07336683417085427,920.8167616448786
ours,front,0.07537688442211055,941.3344366579784
ours,front,0.07738693467336683,961.3632021970958
ours,front,0.07939698492462316,980.8899844472853
ours,front,0.08140703517587944,999.9032511424008
ours,front,0.08341708542713572,1018.3930599648991
ours,front,0.085427135678392,1036.3510898007198
ours,front,0.08743718592964828,1053.7706552101852
ours,front,0.08944723618090455,1070.646704746266
ours,front,0.09145728643216083,1086.975803991256
ours,front,0.09346733668341711,1102.7561043875687
ours,front,0.09547738693467339,1117.9872991053057
ours,front,0.09748743718592967,1132.6705673170254
ours,front,0.09949748743718595,1146.8085083388592
ours,front,0.10150753768844223,1160.4050671479865
ours,front,0.10351758793969851,1173.4654528018264
ours,front,0.10552763819095479,1185.9960512672599
ours,front,0.10753768844221107,1198.0043341226112
ours,front,0.10954773869346734,1209.4987645251363
ours,front,0.11155778894472362,1220.4887017469175
ours,front,0.1135678391959799,1230.984305476736
ours,front,0.11557788944723618,1240.9964409690915
ours,front,0.11758793969849246,1250.536585998128
ours,front,0.11959798994974874,1259.6167404475239
ours,front,0.12160804020100507,1268.2493392407423
ours,front,0.12361809045226135,1276.4471691922088
ours,front,0.12562814070351763,1284.223290241352
ours,front,0.1276381909547739,1291.590961419834
ours,front,0.1296482412060302,1298.5635717991215
ours,front,0.13165829145728647,1305.1545765717447
ours,front,0.13366834170854275,1311.377438335724
ours,front,0.13567839195979903,1317.2455735779681
ours,front,0.1376884422110553,1322.7723042888745
ours,front,0.13969849246231159,1327.9708145866352
ours,front,0.14170854271356786,1332.854112185378
ours,front,0.14371859296482414,1337.434994505648
ours,front,0.14572864321608042,1341.7260191981682
ours,front,0.1477386934673367,1345.739478831512
ours,front,0.14974874371859298,1349.4873794805308
ours,front,0.15175879396984926,1352.9814229442618
ours,front,0.15376884422110554,1356.2329923188577
ours,front,0.15577889447236182,1359.2531406520727
ours,front,0.1577889447236181,1362.0525824103072
ours,front,0.15979899497487438,1364.6416874965325
ours,front,0.16180904522613065,1367.0304775669847
ours,front,0.16381909547738693,1369.2286244058305
ours,front,0.16582914572864327,1371.2454501295852
ours,front,0.16783919597989955,1373.0899290065215
ours,front,0.16984924623115583,1374.7706906902945
ours,front,0.1718592964824121,1376.2960246812186
ours,front,0.17386934673366838,1377.6738858428566
ours,front,0.17587939698492466,1378.911900815579
ours,front,0.17788944723618094,1380.017375182389
ours,front,0.17989949748743722,1380.9973012554701
ours,front,0.1819095477386935,1381.8583663644608
ours,front,0.18391959798994978,1382.606961539396
ours,front,0.18592964824120606,1383.249190492452
ours,front,0.18793969849246234,1383.790878813146
ours,front,0.18994974874371862,1384.2375833013903
ours,front,0.1919597989949749,1384.594601371846
ours,front,0.19396984924623117,1384.8669804713302
ours,front,0.19597989949748745,1385.0595274586547
ours,front,0.19798994974874373,1385.1768179032229
ours,front,0.2,1385.2232052650272
Baseline-NN-MSE,front,-0.2,-2718.5114996553016
Baseline-NN-MSE,front,-0.19798994974874373,-2714.391806204516
Baseline-NN-MSE,front,-0.19597989949748745,-2709.9203553139723
Baseline-NN-MSE,front,-0.19396984924623117,-2705.0850254038623
Baseline-NN-MSE,front,-0.1919597989949749,-2699.8735432243443
Baseline-NN-MSE,front,-0.18994974874371862,-2694.2735018593503
Baseline-NN-MSE,front,-0.1879396984924623,-2688.2723805097094
Baseline-NN-MSE,front,-0.18592964824120603,-2681.857566107044
Baseline-NN-MSE,front,-0.18391959798994975,-2675.0163768021066
Baseline-NN-MSE,front,-0.18190954773869347,-2667.7360873621224
Baseline-NN-MSE,front,-0.1798994974874372,-2660.0039565013135
Baseline-NN-MSE,front,-0.17788944723618091,-2651.8072561569256
Baseline-NN-MSE,front,-0.17587939698492464,-2643.1333027098703
Baseline-NN-MSE,front,-0.17386934673366836,-2633.9694901343883
Baseline-NN-MSE,front,-0.17185929648241208,-2624.3033250450508
Baseline-NN-MSE,front,-0.1698492462311558,-2614.122463591877
Baseline-NN-MSE,front,-0.1678391959798995,-2603.414750135487
Baseline-NN-MSE,front,-0.1658291457286432,-2592.1682576140447
Baseline-NN-MSE,front,-0.16381909547738693,-2580.371329492445
Baseline-NN-MSE,front,-0.16180904522613065,-2568.0126231618506
Baseline-NN-MSE,front,-0.15979899497487438,-2555.0811546344967
Baseline-NN-MSE,front,-0.1577889447236181,-2541.5663443548665
Baseline-NN-MSE,front,-0.15577889447236182,-2527.4580639241167
Baseline-NN-MSE,front,-0.15376884422110554,-2512.7466835103046
Baseline-NN-MSE,front,-0.15175879396984926,-2497.423119692871
Baseline-NN-MSE,front,-0.14974874371859298,-2481.478883466239
Baseline-NN-MSE,front,-0.1477386934673367,-2464.9061281048016
Baseline-NN-MSE,front,-0.14572864321608042,-2447.6976965702293
Baseline-NN-MSE,front,-0.14371859296482414,-2429.84716812255
Baseline-NN-MSE,front,-0.14170854271356784,-2411.3489037790705
Baseline-NN-MSE,front,-0.13969849246231156,-2392.198090250533
Baseline-NN-MSE,front,-0.13768844221105528,-2372.3907819722644
Baseline-NN-MSE,front,-0.135678391959799,-2351.9239408399626
Baseline-NN-MSE,front,-0.13366834170854272,-2330.795473255531
Baseline-NN-MSE,front,-0.13165829145728644,-2309.00426408846
Baseline-NN-MSE,front,-0.12964824120603013,-2286.550207162885
Baseline-NN-MSE,front,-0.12763819095477386,-2263.4342318900276
Baseline-NN-MSE,front,-0.12562814070351758,-2239.6583256803065
Baseline-NN-MSE,front,-0.12361809045226131,-2215.2255517892595
Baseline-NN-MSE,front,-0.12160804020100503,-2190.1400622764695
Baseline-NN-MSE,front,-0.11959798994974874,-2164.4071057869696
Baseline-NN-MSE,front,-0.11758793969849246,-2138.0330298999356
Baseline-NN-MSE,front,-0.11557788944723618,-2111.0252778295767
Baseline-NN-MSE,front,-0.1135678391959799,-2083.3923793077506
Baseline-NN-MSE,front,-0.11155778894472362,-2055.1439355263838
Baseline-NN-MSE,front,-0.10954773869346734,-2026.2905980698176
Baseline-NN-MSE,front,-0.10753768844221105,-1996.8440418220375
Baseline-NN-MSE,front,-0.10552763819095477,-1966.8169318906919
Baseline-NN-MSE,front,-0.1035175879396985,-1936.2228846480396
Baseline-NN-MSE,front,-0.10150753768844221,-1905.076423047707
Baseline-NN-MSE,front,-0.09949748743718594,-1873.3929264344545
Baseline-NN-MSE,front,-0.09748743718592964,-1841.1885751212023
Baseline-NN-MSE,front,-0.09547738693467336,-1808.480290062476
Baseline-NN-MSE,front,-0.09346733668341708,-1775.2856680052614
Baseline-NN-MSE,front,-0.0914572864321608,-1741.6229125463315
Baseline-NN-MSE,front,-0.08944723618090453,-1707.5107615685106
Baseline-NN-MSE,front,-0.08743718592964825,-1672.96841156653
Baseline-NN-MSE,front,-0.08542713567839195,-1638.0154394054616
Baseline-NN-MSE,front,-0.08341708542713568,-1602.6717220807054
Baseline-NN-MSE,front,-0.0814070351758794,-1566.957355067868
Baseline-NN-MSE,front,-0.07939698492462312,-1530.8925698633036
Baseline-NN-MSE,front,-0.07738693467336684,-1494.4976513215413
Baseline-NN-MSE,front,-0.07537688442211055,-1457.7928553943032
Baseline-NN-MSE,front,-0.07336683417085427,-1420.7983278675035
Baseline-NN-MSE,front,-0.07135678391959799,-1383.534024677755
Baseline-NN-MSE,front,-0.06934673366834171,-1346.0196343689083
Baseline-NN-MSE,front,-0.06733668341708543,-1308.27450322248
Baseline-NN-MSE,front,-0.06532663316582915,-1270.3175635640666
Baseline-NN-MSE,front,-0.06331658291457287,-1232.1672657115894
Baseline-NN-MSE,front,-0.06130653266331659,-1193.841513991223
Baseline-NN-MSE,front,-0.059296482412060286,-1155.3576072037679
Baseline-NN-MSE,front,-0.05728643216080401,-1116.732183878833
Baseline-NN-MSE,front,-0.05527638190954773,-1077.9811726071805
Baseline-NN-MSE,front,-0.05326633165829145,-1039.1197476937225
Baseline-NN-MSE,front,-0.05125628140703517,-1000.162290325567
Baseline-NN-MSE,front,-0.04924623115577889,-961.1223554019145
Baseline-NN-MSE,front,-0.04723618090452261,-922.0126441259974
Baseline-NN-MSE,front,-0.04522613065326633,-882.8449824142688
Baseline-NN-MSE,front,-0.043216080402010054,-843.6303051350262
Baseline-NN-MSE,front,-0.041206030150753775,-804.3786461480933
Baseline-NN-MSE,front,-0.03919597989949747,-765.0991340792905
Baseline-NN-MSE,front,-0.03718592964824119,-725.7999937285167
Baseline-NN-MSE,front,-0.03517587939698491,-686.4885529784173
Baseline-NN-MSE,front,-0.03316582914572863,-647.171255042012
Baseline-NN-MSE,front,-0.031155778894472352,-607.853675862203
Baseline-NN-MSE,front,-0.029145728643216073,-568.5405464538572
Baseline-NN-MSE,front,-0.027135678391959794,-529.2357799599663
Baseline-NN-MSE,front,-0.025125628140703515,-489.9425031771564
Baseline-NN-MSE,front,-0.023115577889447236,-450.66309229232706
Baseline-NN-MSE,front,-0.021105527638190957,-411.3992125612503
Baseline-NN-MSE,front,-0.01909547738693468,-372.1518616513185
Baseline-NN-MSE,front,-0.01708542713567837,-332.92141636402147
Baseline-NN-MSE,front,-0.015075376884422093,-293.7076824479222
Baseline-NN-MSE,front,-0.013065326633165814,-254.5099472095846
Baseline-NN-MSE,front,-0.011055276381909535,-215.32703462786773
Baseline-NN-MSE,front,-0.009045226130653256,-176.15736267592214
Baseline-NN-MSE,front,-0.0070351758793969765,-136.9990025549226
Baseline-NN-MSE,front,-0.0050251256281406975,-97.84973954378613
Baseline-NN-MSE,front,-0.0030150753768844185,-58.707135169667204
Baseline-NN-MSE,front,-0.0010050251256281395,-19.568590404716353
Baseline-NN-MSE,front,0.0010050251256281395,19.568590404716353
Baseline-NN-MSE,front,0.0030150753768844185,58.707135169667204
Baseline-NN-MSE,front,0.005025125628140725,97.84973954378667
Baseline-NN-MSE,front,0.007035175879397004,136.99900255492312
Baseline-NN-MSE,front,0.009045226130653283,176.15736267592266
Baseline-NN-MSE,front,0.011055276381909562,215.32703462786824
Baseline-NN-MSE,front,0.013065326633165841,254.50994720958514
Baseline-NN-MSE,front,0.01507537688442212,293.7076824479229
Baseline-NN-MSE,front,0.0170854271356784,332.92141636402204
Baseline-NN-MSE,front,0.01909547738693468,372.1518616513185
Baseline-NN-MSE,front,0.021105527638190957,411.3992125612503
Baseline-NN-MSE,front,0.023115577889447236,450.66309229232706
Baseline-NN-MSE,front,0.025125628140703515,489.9425031771564
Baseline-NN-MSE,front,0.027135678391959822,529.2357799599667
Baseline-NN-MSE,front,0.0291457286432161,568.5405464538578
Baseline-NN-MSE,front,0.03115577889447238,607.8536758622034
Baseline-NN-MSE,front,0.03316582914572866,647.1712550420125
Baseline-NN-MSE,front,0.03517587939698494,686.4885529784179
Baseline-NN-MSE,front,0.03718592964824122,725.7999937285172
Baseline-NN-MSE,front,0.039195979899497496,765.0991340792909
Baseline-NN-MSE,front,0.041206030150753775,804.3786461480933
Baseline-NN-MSE,front,0.043216080402010054,843.6303051350262
Baseline-NN-MSE,front,0.04522613065326633,882.8449824142688
Baseline-NN-MSE,front,0.04723618090452264,922.0126441259979
Baseline-NN-MSE,front,0.04924623115577892,961.122355401915
Baseline-NN-MSE,front,0.0512562814070352,1000.1622903255678
