scenario,signal,series,t_s,value
ours,v_y,ground_truth,13.068,0.16205180620989168
ours,v_y,ground_truth,13.134,0.16201197280848056
ours,v_y,ground_truth,13.266,0.16329732674610575
ours,v_y,ground_truth,13.332,0.16473199932495497
ours,v_y,ground_truth,13.431,0.1677025878327285
ours,v_y,ground_truth,13.497,0.1716235648561213
ours,v_y,ground_truth,13.662,0.18475995862571004
ours,v_y,ground_truth,13.794,0.19873742305001763
ours,v_y,ground_truth,13.86,0.20703985022764115
ours,v_y,ground_truth,13.992,0.22385911682821558
ours,v_y,ground_truth,14.058,0.2328925481206685
ours,v_y,ground_truth,14.19,0.24813247709165154
ours,v_y,ground_truth,14.256,0.25330659870199135
ours,v_y,ground_truth,14.388,0.2641296877779826
ours,v_y,ground_truth,14.52,0.28310718960762316
ours,v_y,ground_truth,14.718,0.3280926909038975
ours,v_y,ground_truth,14.85,0.3700459569687453
ours,v_y,ground_truth,14.982,0.39849832089265114
ours,v_y,ground_truth,15.114,0.4128910735483249
ours,v_y,ground_truth,15.246,0.3946187468625535
ours,v_y,ground_truth,15.345,0.36563511694179596
ours,v_y,ground_truth,15.51,0.32101810288315313
ours,v_y,ground_truth,15.609,0.28609167790269474
ours,v_y,ground_truth,15.708,0.25297773932228296
ours,v_y,ground_truth,15.807,0.22414507793946292
ours,v_y,ground_truth,15.939,0.20554998625376086
ours,v_y,ground_truth,16.005,0.20246066885959202
ours,v_y,ground_truth,16.137,0.20507970533853914
ours,v_y,ground_truth,16.236,0.21973242472762777
ours,v_y,ground_truth,16.335,0.23334572791253372
ours,v_y,ground_truth,16.434,0.25835573263132794
ours,v_y,ground_truth,16.566,0.297882145438086
ours,v_y,ground_truth,16.698,0.32797956056141686
ours,v_y,ground_truth,16.863,0.3775863010891456
ours,v_y,ground_truth,16.962,0.40468395110378275
ours,v_y,ground_truth,17.094,0.41938489351743335
ours,v_y,ground_truth,17.226,0.4615837655618371
ours,v_y,ground_truth,17.292,0.4889208611039422
ours,v_y,ground_truth,17.424,0.5060698266431363
ours,v_y,ground_truth,17.49,0.492598964032096
ours,v_y,ground_truth,17.622,0.49643901328767903
ours,v_y,ground_truth,17.688,0.5034952418448464
ours,v_y,ground_truth,17.82,0.5025612690672538
ours,v_y,ground_truth,17.886,0.48460520712736255
ours,v_y,ground_truth,17.985,0.4752721423796151
ours,v_y,ground_truth,18.051,0.4566342552107763
ours,v_y,ground_truth,18.15,0.450474365253136
ours,v_y,ground_truth,18.216,0.44044990915728377
ours,v_y,ground_truth,18.282,0.4298831294312935
ours,v_y,ground_truth,18.381,0.4291844916686589
ours,v_y,ground_truth,18.447,0.4332463179124977
ours,v_y,ground_truth,18.513,0.43833059342092895
ours,v_y,ground_truth,18.645,0.4560666950411507
ours,v_y,ground_truth,18.711,0.4678176015500348
ours,v_y,ground_truth,18.843,0.4959476707316597
ours,v_y,ground_truth,18.942,0.49060164923687477
ours,v_y,ground_truth,19.041,0.5115055154032548
ours,v_y,ground_truth,19.14,0.5294761888382427
ours,v_y,ground_truth,19.239,0.5392986927935413
ours,v_y,ground_truth,19.338,0.5366679419026363
ours,v_y,ground_truth,19.47,0.5288705991671545
ours,v_y,ground_truth,19.536,0.5153840693190634
ours,v_y,ground_truth,19.668,0.479067910240655
ours,v_y,ground_truth,19.734,0.4645330084149437
ours,v_y,ground_truth,19.866,0.4430867819756843
ours,v_y,ground_truth,19.932,0.4308639824781597
ours,v_y,ground_truth,20.031,0.41496617879799214
ours,v_y,ground_truth,20.097,0.4173239509165363
ours,v_y,ground_truth,20.229,0.42037951397439066
ours,v_y,ground_truth,20.295,0.42003495562669
ours,v_y,ground_truth,20.394,0.4215058635615616
ours,v_y,ground_truth,20.46,0.4200114116561888
ours,v_y,ground_truth,20.526,0.4181921275803253
ours,v_y,ground_truth,20.625,0.4092502299737619
ours,v_y,ground_truth,20.691,0.4058939344870831
ours,v_y,ground_truth,20.823,0.38423291722397046
ours,v_y,ground_truth,20.889,0.38058429671164884
ours,v_y,ground_truth,20.955,0.3801842985633366
ours,v_y,ground_truth,21.087,0.3781486629582176
ours,v_y,ground_truth,21.153,0.39566671229474526
ours,v_y,ground_truth,21.252,0.40528228387919096
ours,v_y,ground_truth,21.351,0.4398257993915182
ours,v_y,ground_truth,21.45,0.465953690013007
ours,v_y,ground_truth,21.516,0.4809582920308153
ours,v_y,ground_truth,21.582,0.4805540024959143
ours,v_y,ground_truth,21.681,0.45104874511131055
ours,v_y,ground_truth,21.747,0.41874352302414497
ours,v_y,ground_truth,21.813,0.3722395968997425
ours,v_y,ground_truth,21.945,0.2921583848934066
ours,v_y,ground_truth,22.011,0.26069288775380794
ours,v_y,ground_truth,22.11,0.21876772704741487
ours,v_y,ground_truth,22.176,0.1950193098915025
ours,v_y,ground_truth,22.275,0.16783154111207121
ours,v_y,ground_truth,22.341,0.15599134553589522
ours,v_y,ground_truth,22.407,0.1481711677541231
ours,v_y,ground_truth,22.473,0.1459899743042996
ours,v_y,ground_truth,22.572,0.14773460234870273
ours,v_y,ground_truth,22.671,0.15695533869988987
ours,v_y,ground_truth,22.737,0.16698534353145833
ours,v_y,ground_truth,22.836,0.1819785870271584
ours,v_y,ground_truth,22.902,0.19088408812988256
ours,v_y,ground_truth,22.968,0.19945587577649926
ours,v_y,ground_truth,23.067,0.210558727361148
ours,v_y,ground_truth,23.166,0.21745998144972134
ours,v_y,ground_truth,23.232,0.21850900808825013
ours,v_y,ground_truth,23.331,0.214751874322765
ours,v_y,ground_truth,23.397,0.21116623121580158
ours,v_y,ground_truth,23.463,0.2059949376629353
ours,v_y,ground_truth,23.529,0.19994186012010418
ours,v_y,ground_truth,23.628,0.1892476305636872
ours,v_y,ground_truth,23.694,0.1744613150458656
ours,v_y,ground_truth,23.76,0.16623333959614328
ours,v_y,ground_truth,23.859,0.16042045648775605
ours,v_y,ground_truth,23.958,0.1481433511932928
ours,v_y,ground_truth,24.024,0.14026189077691575
ours,v_y,ground_truth,24.09,0.13033150196068655
ours,v_y,ground_truth,24.156,0.12217648645800816
ours,v_y,ground_truth,24.222,0.11085971175757825
ours,v_y,ground_truth,24.288,0.09997205004249188
ours,v_y,ground_truth,24.354,0.09038419194256386
ours,v_y,ground_truth,24.42,0.07964929241089158
ours,v_y,ground_truth,24.486,0.06904887794321235
ours,v_y,ground_truth,24.552,0.058894963282283275
ours,v_y,ground_truth,24.618,0.050247808978550745
ours,v_y,ground_truth,24.684,0.04280055411837558
ours,v_y,ground_truth,24.783,0.03165985430177676
ours,v_y,ground_truth,24.849,0.025997277730831714
ours,v_y,ground_truth,24.915,0.02051627911763587
ours,v_y,ground_truth,24.981,0.016216662953544292
ours,v_y,ground_truth,25.047,0.013186424267719099
ours,v_y,ground_truth,25.146,0.010789358944876426
ours,v_y,ground_truth,25.212,0.010342576460090402
ours,v_y,ground_truth,25.278,0.01196684006125781
ours,v_y,ground_truth,25.344,0.014619164375562876
ours,v_y,ground_truth,25.443,0.020623433094490773
ours,v_y,ground_truth,25.542,0.028654299610499256
ours,v_y,ground_truth,25.641,0.035888180940241154
ours,v_y,ground_truth,25.707,0.041012291824896074
ours,v_y,ground_truth,25.773,0.04514131527596321
ours,v_y,ground_truth,25.872,0.04784536609451928
ours,v_y,ground_truth,25.938,0.04955582312444151
ours,v_y,ground_truth,26.037,0.05000564903057736
ours,v_y,ground_truth,26.103,0.04976984512780769
ours,v_y,ground_truth,26.169,0.048772244349517546
ours,v_y,ground_truth,26.268,0.04498696020750814
ours,v_y,ground_truth,26.334,0.04272879816752839
ours,v_y,ground_truth,26.4,0.0402900652335858
ours,v_y,ground_truth,26.466,0.03747786878667125
ours,v_y,ground_truth,26.565,0.03321387842038104
ours,v_y,ground_truth,26.631,0.030309993330721152
ours,v_y,ground_truth,26.73,0.02570293239327759
ours,v_y,ground_truth,26.796,0.024068460025110427
ours,v_y,ground_truth,26.862,0.025311579044362542
ours,v_y,ground_truth,26.928,0.023953296678391522
ours,v_y,ground_truth,26.994,0.022480975452929153
ours,v_y,ground_truth,27.06,0.019919048292069252
ours,v_y,ground_truth,27.159,0.014729968100149149
ours,v_y,ground_truth,27.225,0.01209043371277585
ours,v_y,ground_truth,27.291,0.010313936155299297
ours,v_y,ground_truth,27.357,0.008756993399071655
ours,v_y,ground_truth,27.456,0.0027454102486401677
ours,v_y,ground_truth,27.522,0.002959984980118735
ours,v_y,ground_truth,27.588,0.002358629167693138
ours,v_y,ground_truth,27.654,0.0035643634710409433
ours,v_y,ground_truth,27.72,0.00634078000863969
ours,v_y,ground_truth,27.786,0.008869134153084879
ours,v_y,ground_truth,27.852,0.012337010206892485
ours,v_y,ground_truth,27.918,0.016532383082067614
ours,v_y,ground_truth,27.984,0.020788968241914008
ours,v_y,ground_truth,28.05,0.024731286595226942
ours,v_y,ground_truth,28.116,0.027751410584394787
ours,v_y,ground_truth,28.182,0.03235755246606664
ours,v_y,ground_truth,28.248,0.0373615872689117
ours,v_y,ground_truth,28.314,0.04159474700310595
ours,v_y,ground_truth,28.38,0.04572926842312608
ours,v_y,ground_truth,28.446,0.04975350628677977
ours,v_y,ground_truth,28.512,0.051774689314821654
ours,v_y,ground_truth,28.578,0.051878718622027975
ours,v_y,ground_truth,28.644,0.05134102465177426
ours,v_y,ground_truth,28.71,0.0503755966893209
ours,v_y,ground_truth,28.776,0.04909103924710756
ours,v_y,ground_truth,28.842,0.04671759232058892
ours,v_y,ground_truth,28.908,0.04690755922821155
ours,v_y,ground_truth,28.974,0.04565843741255349
ours,v_y,ground_truth,29.04,0.04255460614572293
ours,v_y,ground_truth,29.106,0.03932473098050804
ours,v_y,ground_truth,29.172,0.035960260273231626
