scenario,signal,error_gt_minus_est
ours,v_y,-0.022711005817424912
ours,v_y,-0.01776107579384567
ours,v_y,-0.011087212541526392
ours,v_y,-0.008932534086549204
ours,v_y,-0.03184975245764926
ours,v_y,-0.012300283149912106
ours,v_y,-0.027134314014770677
ours,v_y,-0.012012989197323909
ours,v_y,-0.009783267556302655
ours,v_y,-0.010996777561775861
ours,v_y,-0.010134805954188142
ours,v_y,-0.02957850096397363
ours,v_y,-0.007351212473621471
ours,v_y,-0.006429760378811766
ours,v_y,-0.01162567972927947
ours,v_y,0.0009062358901850143
ours,v_y,-0.008333369499969101
ours,v_y,-0.007299959717529114
ours,v_y,-0.0320119689237649
ours,v_y,-0.016301476370713053
ours,v_y,-0.01728147522493373
ours,v_y,-0.014009867792269592
ours,v_y,-0.014652988560358793
ours,v_y,-0.015051320297081394
ours,v_y,-0.009674707161811402
ours,v_y,-0.007785048531019134
ours,v_y,-0.011572580434950186
ours,v_y,-0.004013701810284376
ours,v_y,-0.005144480963765408
ours,v_y,-0.0017643180532122271
ours,v_y,-0.0021675098304016482
ours,v_y,-0.001997185754209929
ours,v_y,-0.0026445348447464434
ours,v_y,-0.003795816216053488
ours,v_y,-0.0031948622981729236
ours,v_y,-0.003017332136916351
ours,v_y,-0.0039204749925659255
ours,v_y,-0.004382192339369484
ours,v_y,-0.0095481475612324
ours,v_y,-0.004970595891895108
ours,v_y,-0.0057994240397361285
ours,v_y,-0.012935899505767817
ours,v_y,-0.005383209508000364
ours,v_y,-0.004687665473507574
ours,v_y,-0.005378831447004961
ours,v_y,-0.0038482074053292348
ours,v_y,-0.006369294940728881
ours,v_y,-0.0036763757529830465
ours,v_y,-0.0063867997908592655
ours,v_y,-0.003686456799400578
ours,v_y,-0.0023741861805439968
ours,v_y,-0.001782709794972498
ours,v_y,-0.002935336003037692
ours,v_y,-0.0011430238048003166
ours,v_y,-0.0017458539349926722
ours,v_y,-0.0008949161903632624
ours,v_y,-0.0006860975988457196
ours,v_y,-0.0015070456047180103
ours,v_y,-0.00031449151720172597
ours,v_y,-0.00023663233307142512
ours,v_y,0.0008625670042102934
ours,v_y,0.0008722507494147297
ours,v_y,0.0012448989794817643
ours,v_y,0.001957671117712872
ours,v_y,0.0023022589872066443
ours,v_y,0.0026531303669602747
ours,v_y,0.0026151395258071416
ours,v_y,0.002884087166059474
ours,v_y,0.0027490986736471296
ours,v_y,0.002974067710348343
ours,v_y,0.002470380678919623
