scenario,signal,series,t_s,value
ours,front_mu,plant_mu,6.402,1.0499999523162842
ours,front_mu,plant_mu,6.435,1.0499999523162842
ours,front_mu,plant_mu,6.501,1.0499999523162842
ours,front_mu,plant_mu,6.567,1.0499999523162842
ours,front_mu,plant_mu,6.6,1.0499999523162842
ours,front_mu,plant_mu,6.633,1.0499999523162842
ours,front_mu,plant_mu,6.699,1.0499999523162842
ours,front_mu,plant_mu,6.732,1.0499999523162842
ours,front_mu,plant_mu,6.765,1.0499999523162842
ours,front_mu,plant_mu,6.798,1.0499999523162842
ours,front_mu,plant_mu,6.831,1.0499999523162842
ours,front_mu,plant_mu,6.897,1.0499999523162842
ours,front_mu,plant_mu,6.93,1.0499999523162842
ours,front_mu,plant_mu,6.996,1.0499999523162842
ours,front_mu,plant_mu,7.029,1.0499999523162842
ours,front_mu,plant_mu,7.095,1.0499999523162842
ours,front_mu,plant_mu,7.128,1.0499999523162842
ours,front_mu,plant_mu,7.161,1.0499999523162842
ours,front_mu,plant_mu,7.227,1.0499999523162842
ours,front_mu,plant_mu,7.293,1.0499999523162842
ours,front_mu,plant_mu,7.326,1.0499999523162842
ours,front_mu,plant_mu,7.359,1.0499999523162842
ours,front_mu,plant_mu,7.425,1.0499999523162842
ours,front_mu,plant_mu,7.491,1.0499999523162842
ours,front_mu,plant_mu,7.524,1.0499999523162842
ours,front_mu,plant_mu,7.557,1.0499999523162842
ours,front_mu,plant_mu,7.623,1.0499999523162842
ours,front_mu,plant_mu,7.689,1.0499999523162842
ours,front_mu,plant_mu,7.722,1.0499999523162842
ours,front_mu,plant_mu,7.755,1.0499999523162842
ours,front_mu,plant_mu,7.821,1.0499999523162842
ours,front_mu,plant_mu,7.854,1.0499999523162842
ours,front_mu,plant_mu,7.887,1.0499999523162842
ours,front_mu,plant_mu,7.92,1.0499999523162842
ours,front_mu,plant_mu,8.019,1.0499999523162842
ours,front_mu,plant_mu,8.052,1.0499999523162842
ours,front_mu,plant_mu,8.085,1.0499999523162842
ours,front_mu,plant_mu,8.118,1.0499999523162842
ours,front_mu,plant_mu,8.151,1.0499999523162842
ours,front_mu,plant_mu,8.217,1.0499999523162842
ours,front_mu,plant_mu,8.25,1.0499999523162842
ours,front_mu,plant_mu,8.283,1.0499999523162842
ours,front_mu,plant_mu,8.316,1.0499999523162842
ours,front_mu,plant_mu,8.349,1.0499999523162842
ours,front_mu,plant_mu,8.415,1.0499999523162842
ours,front_mu,plant_mu,8.448,1.0499999523162842
ours,front_mu,plant_mu,8.481,1.0499999523162842
ours,front_mu,plant_mu,8.547,1.0499999523162842
ours,front_mu,plant_mu,8.613,1.0499999523162842
ours,front_mu,plant_mu,8.646,1.0499999523162842
ours,front_mu,plant_mu,8.679,1.0499999523162842
ours,front_mu,plant_mu,8.745,1.0499999523162842
ours,front_mu,plant_mu,8.91,1.0499999523162842
ours,front_mu,plant_mu,9.075,1.0499999523162842
ours,front_mu,plant_mu,9.24,1.0499999523162842
ours,front_mu,plant_mu,9.405,1.0499999523162842
ours,front_mu,plant_mu,9.57,1.0499999523162842
ours,front_mu,plant_mu,9.735,1.0499999523162842
ours,front_mu,plant_mu,9.9,1.0499999523162842
ours,front_mu,plant_mu,10.065,1.0499999523162842
ours,front_mu,plant_mu,10.23,1.0499999523162842
ours,front_mu,plant_mu,10.395,1.0499999523162842
ours,front_mu,plant_mu,10.56,1.0499999523162842
ours,front_mu,plant_mu,10.725,1.0499999523162842
ours,front_mu,plant_mu,10.89,1.0499999523162842
ours,front_mu,plant_mu,11.055,1.0499999523162842
ours,front_mu,plant_mu,11.22,1.0499999523162842
