scenario,signal,t_s,error_est_minus_gt
ours,v_y,0.0,0.024775663203600917
ours,v_y,0.099,0.014554816031944418
ours,v_y,0.198,0.02084045543030194
ours,v_y,0.297,0.013868848818076818
ours,v_y,0.396,0.027895491308681297
ours,v_y,0.495,0.011362919266897059
ours,v_y,0.594,0.027393628754877275
ours,v_y,0.66,0.011506111642158035
ours,v_y,0.792,0.025844855645771103
ours,v_y,0.858,0.010126208276186432
ours,v_y,0.99,0.02346641414296302
ours,v_y,1.056,0.008842588699193077
ours,v_y,1.188,0.023156729100078044
ours,v_y,1.32,0.018255905550232376
ours,v_y,1.452,0.03156656685446074
ours,v_y,1.584,0.021335188926758564
ours,v_y,1.716,0.016123299541116742
ours,v_y,1.848,0.03392002789189541
ours,v_y,1.98,0.03893322728333648
ours,v_y,2.112,0.01584885772070732
ours,v_y,2.244,0.032813376088187574
ours,v_y,2.376,0.03233537534908715
ours,v_y,2.508,0.019385378071773762
ours,v_y,2.706,0.027883210223736077
ours,v_y,2.838,0.023784680423129145
ours,v_y,2.97,0.023742976212241862
ours,v_y,3.069,0.007954145526464729
ours,v_y,3.234,0.024604536612484407
ours,v_y,3.366,0.04230038780169754
ours,v_y,3.498,0.02698835609072653
ours,v_y,3.63,0.026671689193192516
ours,v_y,3.762,0.01963515515948372
ours,v_y,3.96,0.020554716066221446
ours,v_y,4.158,0.02385556751460552
ours,v_y,4.356,0.023511963254284174
ours,v_y,4.488,0.030070603105170735
ours,v_y,4.62,0.0246683074894134
ours,v_y,4.785,0.036409396958781814
ours,v_y,4.884,0.02609679832891676
ours,v_y,5.016,0.01551983534914736
ours,v_y,5.148,0.02658857592816133
ours,v_y,5.28,0.026099081803699686
ours,v_y,5.412,0.030501121377908336
ours,v_y,5.61,0.027402586838121468
ours,v_y,5.808,0.027694799216945787
ours,v_y,5.907,0.020017224279156753
ours,v_y,6.006,0.027162805672029666
ours,v_y,6.105,0.017971556862466764
ours,v_y,6.204,0.03788658610319462
ours,v_y,6.303,0.01648375498875121
ours,v_y,6.369,0.020073949511248634
ours,v_y,6.501,0.01751739739647712
ours,v_y,6.567,0.01864592254472086
ours,v_y,6.699,0.01740560224402815
ours,v_y,6.798,0.03564639750905979
ours,v_y,6.897,0.017888562064394126
ours,v_y,7.029,0.046464540158840884
ours,v_y,7.095,0.01687853821983154
ours,v_y,7.227,0.015536871962743115
ours,v_y,7.293,0.015872865757471766
ours,v_y,7.425,0.016551239724404365
ours,v_y,7.524,0.03426331793880083
ours,v_y,7.623,0.01772894553566262
ours,v_y,7.722,0.03583937347114968
ours,v_y,7.821,0.020699381536272737
ours,v_y,7.92,0.02408234863307257
ours,v_y,8.019,0.017715024171290228
ours,v_y,8.118,0.016888788068616212
ours,v_y,8.217,0.015201289578088029
ours,v_y,8.316,0.02014463874654654
ours,v_y,8.448,0.04328492060887662
ours,v_y,8.547,0.017485017041508538
ours,v_y,8.646,0.04752299136373439
ours,v_y,8.745,0.03862128823199598
ours,v_y,8.844,0.01743822317534699
ours,v_y,8.91,0.01567010874647551
ours,v_y,9.009,0.0432532599419391
ours,v_y,9.075,0.015019593790873309
ours,v_y,9.174,0.02911690797563013
ours,v_y,9.273,0.012641144302004192
ours,v_y,9.372,0.0480730376934356
ours,v_y,9.438,0.010238194556343422
ours,v_y,9.537,0.02298115381634086
ours,v_y,9.603,0.010808763493056206
ours,v_y,9.669,0.009446784618023951
ours,v_y,9.801,0.0088840382861948
ours,v_y,9.9,0.0326108763803338
ours,v_y,9.966,0.00959496274041649
ours,v_y,10.032,0.008582453393741057
ours,v_y,10.131,0.008326265237379754
ours,v_y,10.197,0.0071780024137108045
