scenario,lap,lap_time_s
ours,1,165.78517246246338
ours,2,153.78211879730225
ours,3,145.36147093772888
Baseline-NN-MSE,1,155.80096054077148
Baseline-NN-MSE,2,140.2595498561859
Baseline-NN-MSE,3,139.78013849258423
