scenario,signal,error_gt_minus_est
ours,omega,-0.01152865395568102
ours,omega,-0.01646445657977602
ours,omega,-0.007418911091887775
ours,omega,-0.01365720306205865
ours,omega,-0.005279191200648084
ours,omega,-0.004690610633290168
ours,omega,-0.0010199714982561184
ours,omega,-0.001242343706371711
ours,omega,0.004634863439526099
ours,omega,0.008579220619365127
ours,omega,0.00852534136793369
ours,omega,0.006664410611114668
ours,omega,0.007375676223186758
ours,omega,0.006793784797866714
ours,omega,0.015762298295759557
ours,omega,0.005514842412455027
ours,omega,0.006181047598948081
ours,omega,0.002957725302868329
ours,omega,0.0023524396011338905
ours,omega,-0.00016704760389563839
ours,omega,-0.002633751259624416
ours,omega,-0.0040413460991483435
ours,omega,-0.01182371783555744
ours,omega,-0.005150983724001558
ours,omega,-0.003996595273835113
ours,omega,-0.00840937442521518
ours,omega,-0.004953627357582875
ours,omega,-0.005363250115036338
ours,omega,-0.00464822603648106
ours,omega,-0.016396866294555168
ours,omega,-0.013158438122906492
ours,omega,-0.005632313853920951
ours,omega,-0.006257840296877152
ours,omega,-0.009645834463673127
ours,omega,-0.005860925774429673
ours,omega,-0.008956732750649152
ours,omega,-0.004590657603624386
ours,omega,-0.004275610724913346
ours,omega,-0.006016672515950654
ours,omega,-0.003154184036360919
ours,omega,-0.004101776581861893
ours,omega,-0.0006165138600077978
ours,omega,-0.0005256098304295004
ours,omega,-0.0005397576467633916
ours,omega,0.0011217520532892332
ours,omega,0.0017289708860120038
ours,omega,0.002494308565390131
ours,omega,0.002141569035840447
ours,omega,0.0028747086564891574
ours,omega,0.0024574717677990888
ours,omega,0.003485661945522369
ours,omega,0.001136113939326987
ours,omega,0.0018974740088223722
ours,omega,-0.0017289209918382713
ours,omega,-0.0013272538537198505
ours,omega,-0.002533695767414788
ours,omega,-0.003108309793229463
ours,omega,-0.00433403658866636
ours,omega,-0.0043262539076284546
ours,omega,-0.0072598149305645315
ours,omega,-0.005213519164242656
ours,omega,-0.014928113868211156
ours,omega,-0.005440173546476761
ours,omega,-0.005397632191322841
ours,omega,-0.006896765072913629
ours,omega,-0.012432855580502073
ours,omega,-0.008922027168663492
ours,omega,-0.013158460587272443
ours,omega,-0.008782040917687963
ours,omega,-0.006010004197315645
ours,omega,-0.0063648953673142794
ours,omega,-0.004845884965701017
ours,omega,-0.0063815915839275355
ours,omega,-0.007997971346627358
ours,omega,-0.003910154492228132
ours,omega,-0.003865188950022384
ours,omega,-0.0027989879210757384
ours,omega,-0.002216656390829408
ours,omega,-5.764280947368784e-05
ours,omega,0.0012333768461666398
ours,omega,0.0014193627235190814
ours,omega,0.0012157999925676726
ours,omega,0.003177265395185035
ours,omega,0.0021609163402095113
ours,omega,0.002843579432974031
ours,omega,0.0018445615418143297
ours,omega,0.0011715192023547278
ours,omega,0.0018026612070880764
ours,omega,0.0005999842311082415
ours,omega,-0.0006256988452385806
ours,omega,-0.0007124209524554045
ours,omega,-0.002859150655606729
ours,omega,-0.0073094376148563935
ours,omega,-0.0029263992397938424
ours,omega,-0.003907205557479051
ours,omega,-0.004382442684565556
ours,omega,-0.006013655837370955
ours,omega,-0.005392439078192559
ours,omega,-0.0015897276482622817
ours,omega,-0.007724418913919014
ours,omega,-0.006342926183125873
ours,omega,-0.006547776400415699
ours,omega,-0.006832184629189139
ours,omega,-0.007102232780366305
ours,omega,-0.005472533853928108
ours,omega,-0.006708027518640653
ours,omega,-0.0048715939846103295
ours,omega,-0.005070918727893553
ours,omega,-0.005615324624790423
ours,omega,-0.009135150454854767
ours,omega,-0.004618407978479622
ours,omega,-0.0013331873719293558
ours,omega,-0.001974912947782617
ours,omega,-0.0022053706854570565
ours,omega,-0.0008514303728915048
ours,omega,-0.0006515639729555809
ours,omega,0.0002092788554595755
ours,omega,0.0005286519849554008
ours,omega,0.000921887891460484
ours,omega,0.0016900434465558878
ours,omega,0.0013776186870711952
ours,omega,0.0009249830471945494
ours,omega,0.0012117442599229866
ours,omega,0.0005157480603830769
ours,omega,0.0004246116939798511
ours,omega,-0.0011291643295951257
ours,omega,-0.0010730303676366642
ours,omega,-0.0018935928947362455
ours,omega,-0.0032677592065959195
ours,omega,-0.004238376045039226
ours,omega,-0.004096337531197402
ours,omega,-0.003898703142165216
ours,omega,-0.0048490961435346865
ours,omega,-0.004720333596003739
ours,omega,-0.006405011775256576
ours,omega,-0.005143205526338279
ours,omega,-0.005301453300425945
ours,omega,-0.005897027609532238
ours,omega,-0.004847119061477828
ours,omega,-0.006535260171373304
ours,omega,-0.00465924305476936
ours,omega,-0.004317193175009271
ours,omega,-0.004521638892813308
ours,omega,-0.0027669608378937827
ours,omega,-0.0030390527057889602
ours,omega,-0.0015858538675265987
ours,omega,-0.001783154841273844
ours,omega,-0.001647469184705359
ours,omega,-0.0006224147857647095
ours,omega,-0.0002088001915291919
ours,omega,0.0009041153393666792
ours,omega,0.0007934471248031348
ours,omega,0.0005452893276397123
ours,omega,0.0014426231591312373
ours,omega,0.0006376400953882039
ours,omega,0.001924542664570249
ours,omega,0.00015168301162585187
ours,omega,0.0004737346069330342
ours,omega,-0.0006183503723554461
ours,omega,-0.0012194086607144935
ours,omega,-0.0014149562312167482
ours,omega,-0.0015875793137164994
ours,omega,-0.0032363796960203552
ours,omega,-0.0029122523516783554
ours,omega,-0.003887798597623229
ours,omega,-0.004037100679359373
ours,omega,-0.00607547282244669
ours,omega,-0.005179861961058755
ours,omega,-0.00622445898223994
ours,omega,-0.004747251596923712
ours,omega,-0.004955050043130444
ours,omega,-0.006754588064070765
ours,omega,-0.004959615420227045
ours,omega,-0.006826967218556561
ours,omega,-0.003744304128275081
ours,omega,-0.005262346137582803
ours,omega,-0.003034320910771113
ours,omega,-0.004071280104841575
ours,omega,-0.0025835419832929813
ours,omega,-0.0025423042307732143
ours,omega,-0.0002274037536084488
ours,omega,-0.0008826454392794579
ours,omega,0.0008910974681149556
ours,omega,0.0003818346287309856
ours,omega,0.001157207391548525
ours,omega,0.0006153747313379887
ours,omega,0.0005840168250721592
ours,omega,0.002404466300498169
ours,omega,0.0020725141442837973
ours,omega,0.0008707774723265924
ours,omega,0.0004306358983674199
ours,omega,0.0005852077327007542
ours,omega,-0.0004263810451923967
ours,omega,-0.0004224343358659229
ours,omega,-0.0010924296878026974
ours,omega,-0.0011944575812898612
ours,omega,-0.0014427911075319787
ours,omega,-0.0013603409588495569
ours,omega,-0.0014199458319247588
ours,omega,-0.000690894015464091
ours,omega,-0.0008022530394418883
ours,omega,0.0009535711903724334
ours,omega,0.009720506324758228
ours,omega,0.015372645352626453
