scenario,laps,best_lap_s,mean_lap_s,rms_e_y_m,max_abs_e_y_m,itae_e_y,rms_heading_rad,max_abs_heading_rad,rms_e_y_pp_m,rms_e_y_mpc_m,transitions,emergency_halts,mpc_solve_time_rms_ms,mpc_solve_time_max_ms,front_fy_rmse_N,rear_fy_rmse_N,front_fy_r2,rear_fy_r2,front_mu_rmse,rear_mu_rmse,v_y_rmse_mps,omega_rmse_radps,v_y_persistence_rmse_mps,omega_persistence_rmse_radps,v_y_skill_vs_persistence,omega_skill_vs_persistence,front_B,front_C,front_D,front_E,rear_B,rear_C,rear_D,rear_E
ours,3.0,145.36147093772888,154.9762540658315,0.25511132071529663,2.7111182740828843,10434.87905269362,0.019285739694725117,0.32522067903409246,0.34547980851019494,0.09805605815266007,,0.0,0.4050981630586216,3.736886,67.254,39.008,0.949,0.981,0.071,0.051,0.028,0.036,0.01,0.005,-1.7999999999999998,-6.199999999999999,7.076000213623047,1.3459999561309814,1.0089999437332153,-2.0,7.873000144958496,1.3830000162124634,1.0019999742507935,-1.0240000486373901
Baseline-NN-MSE,3.0,139.78013849258423,145.28021629651388,0.2914121977333648,2.630545319074227,17593.82915451477,0.01960825105673515,0.3114974765159415,0.45603474877778005,0.1769433078365045,,0.0,0.4007941102451256,2.557307,51.037,57.292,0.971,0.959,0.803,0.801,0.027,0.074,0.01,0.006,-1.6999999999999997,-11.333333333333332,4.7621002197265625,1.4890999794006348,2.0,-2.4902000427246094,4.815100193023682,1.5082000494003296,2.0,-1.5937999486923218
