scenario,category,value
ours,Overall,10434.87905269362
ours,RUNNING_PP,194.79568468599535
ours,RUNNING_MPC,10205.23827211841
Baseline-NN-MSE,Overall,17593.82915451477
Baseline-NN-MSE,RUNNING_PP,113.96738577667738
Baseline-NN-MSE,RUNNING_MPC,17468.843373976237
