stamp_sec,v_y_gt,v_y_est,omega_gt,omega_est
1788561087.1638885,0.00978205028624668,0.008551120594711196,0.006768158258519835,0.01948784871341766
1788561087.2298884,0.008285376721440585,0.005850973748904929,0.0075131148158706675,0.03239760872893681
1788561087.2628884,0.0074538183309273975,0.0062274771585564825,0.007920713558332949,0.01977677689655779
1788561087.3288884,0.005989365314375661,0.0034361929469490446,0.008247030596848804,0.032858235204000746
1788561087.3618886,0.005807240679838621,0.004124430627835953,0.00837467439131287,0.02049622228288884
1788561087.4278886,0.005167515100620079,0.0019402908031985826,0.008687242884038703,0.03279130827835565
1788561087.4608886,0.00496541268710704,0.0025371751336248543,0.00884864313838768,0.018201581893364287
1788561087.5268886,0.004585293916830047,-0.0004777257940877097,0.00846552330382443,0.02775006224865493
1788561087.5598886,0.00451882959476535,0.002280770846156582,0.008215569753987498,0.018618235888532897
1788561087.5928886,0.004917296469787225,0.002372483261215255,0.007755446599787175,0.018581013432114126
1788561087.6918886,0.005733803412434568,-0.00287850833038016,0.007434169276343538,0.033035254520912855
1788561087.7248886,0.0056840773937345546,0.0031368958751633686,0.006711119793325421,0.01611769835496073
1788561087.7578886,0.006000534923092715,0.002943205022036654,0.006125558694076282,0.013540819461889276
1788561087.7908885,0.006329800495774585,0.003559543200013179,0.005012742371303235,0.01339874351815765
1788561087.8568885,0.007903638090650311,0.0027331010945302573,0.003531541245322592,0.021228407267603017
1788561087.8898885,0.008924535528898048,0.006759939646614263,0.0031208807462837335,0.012843170670919887
1788561087.9228885,0.009944208652447273,0.007820154078142714,0.002793247780397066,0.012733242232531071
1788561087.9888885,0.010993923673249029,0.006404198786446675,0.0014533366738295821,0.017407440770577157
1788561088.0878885,0.013929120304989162,0.007370100023604522,-0.00021195714437580285,0.024778675629478233
1788561088.1208885,0.015188116724978329,0.01321688213289703,-0.000599262243130479,0.008717378614329118
1788561088.1868885,0.017837565493016072,0.013912764432012548,-0.0005475873478535086,0.018243188931488484
1788561088.2528884,0.020451710031558434,0.015383999423676091,-0.0010051946594301865,0.01820885960910256
1788561088.3188884,0.022482969046060397,0.016434975467815978,-0.002031485576931289,0.013929568897488002
1788561088.3848884,0.02499141572935848,0.01961905499854582,-0.002684129548314687,0.016179049534134463
1788561088.4178886,0.02625667194938064,0.023508886878761334,-0.0027044704668226305,0.006848312921542855
1788561088.4508886,0.02724483882478612,0.024545453161569565,-0.0025511793112100766,0.006832409118755301
1788561088.5828886,0.030353474250412127,0.017219225440750843,-0.003494215154759433,0.02583940084473529
1788561088.6488886,0.03233256934051543,0.025536150930701582,-0.004604290011606653,0.011893482189684303
1788561088.7808886,0.03500104816345306,0.0257272406619818,-0.004156967406384482,0.03204740309546861
1788561088.8138885,0.02545364559405261,0.03250465401678129,6.477537948055916e-05,0.0047046485630887905
1788561088.8468885,0.03089155854431258,0.021787374898229555,-0.008784965463931567,0.0062461003176638805
1788561088.9788885,0.03949216980799353,0.04200318617674231,-0.003696924484741075,0.049477946827933654
