t_s,commanded_tire_friction,schedule
14.900,1.500000,constant
14.933,1.500000,constant
14.967,1.500000,constant
15.000,1.500000,constant
15.033,1.500000,constant
15.066,1.500000,constant
15.100,1.500000,constant
15.133,1.500000,constant
15.166,1.500000,constant
15.200,1.500000,constant
15.233,1.500000,constant
15.267,1.500000,constant
15.300,1.500000,constant
15.333,1.500000,constant
15.367,1.500000,constant
15.400,1.500000,constant
15.433,1.500000,constant
15.467,1.500000,constant
15.500,1.500000,constant
15.533,1.500000,constant
15.566,1.500000,constant
15.600,1.500000,constant
15.633,1.500000,constant
15.667,1.500000,constant
15.700,1.500000,constant
15.733,1.500000,constant
15.767,1.500000,constant
15.800,1.500000,constant
15.833,1.500000,constant
15.867,1.500000,constant
15.900,1.500000,constant
15.933,1.500000,constant
15.967,1.500000,constant
16.000,1.500000,constant
16.033,1.500000,constant
16.067,1.500000,constant
16.100,1.500000,constant
16.133,1.500000,constant
16.167,1.500000,constant
16.200,1.500000,constant
16.233,1.500000,constant
16.267,1.500000,constant
16.300,1.500000,constant
16.333,1.500000,constant
16.367,1.500000,constant
16.400,1.500000,constant
16.433,1.500000,constant
16.467,1.500000,constant
16.500,1.500000,constant
16.533,1.500000,constant
16.567,1.500000,constant
16.600,1.500000,constant
16.633,1.500000,constant
16.667,1.500000,constant
16.700,1.500000,constant
16.733,1.500000,constant
16.767,1.500000,constant
16.800,1.500000,constant
16.833,1.500000,constant
16.866,1.500000,constant
16.900,1.500000,constant
16.933,1.500000,constant
16.967,1.500000,constant
17.000,1.500000,constant
17.033,1.500000,constant
17.067,1.500000,constant
17.100,1.500000,constant
17.133,1.500000,constant
17.167,1.500000,constant
17.200,1.500000,constant
17.233,1.500000,constant
17.267,1.500000,constant
17.300,1.500000,constant
17.333,1.500000,constant
17.367,1.500000,constant
17.400,1.500000,constant
17.433,1.500000,constant
17.467,1.500000,constant
17.500,1.500000,constant
17.533,1.500000,constant
17.567,1.500000,constant
17.600,1.500000,constant
17.633,1.500000,constant
17.667,1.500000,constant
17.700,1.500000,constant
17.733,1.500000,constant
17.767,1.500000,constant
17.800,1.500000,constant
17.833,1.500000,constant
17.867,1.500000,constant
17.900,1.500000,constant
17.933,1.500000,constant
17.966,1.500000,constant
18.000,1.500000,constant
18.033,1.500000,constant
18.066,1.500000,constant
18.100,1.500000,constant
18.133,1.500000,constant
18.167,1.500000,constant
18.200,1.500000,constant
18.233,1.500000,constant
18.266,1.500000,constant
18.300,1.500000,constant
18.333,1.500000,constant
18.367,1.500000,constant
18.400,1.500000,constant
18.433,1.500000,constant
18.467,1.500000,constant
18.500,1.500000,constant
18.533,1.500000,constant
18.567,1.500000,constant
18.600,1.500000,constant
18.633,1.500000,constant
18.666,1.500000,constant
18.700,1.500000,constant
18.733,1.500000,constant
18.767,1.500000,constant
18.800,1.500000,constant
18.833,1.500000,constant
18.866,1.500000,constant
18.900,1.500000,constant
18.933,1.500000,constant
18.966,1.500000,constant
19.000,1.500000,constant
19.033,1.500000,constant
19.067,1.500000,constant
19.100,1.500000,constant
19.133,1.500000,constant
19.167,1.500000,constant
19.200,1.500000,constant
19.233,1.500000,constant
19.266,1.500000,constant
19.300,1.500000,constant
19.333,1.500000,constant
19.367,1.500000,constant
19.400,1.500000,constant
19.433,1.500000,constant
19.467,1.500000,constant
19.500,1.500000,constant
19.533,1.500000,constant
19.566,1.500000,constant
19.600,1.500000,constant
19.633,1.500000,constant
19.666,1.500000,constant
19.700,1.500000,constant
19.733,1.500000,constant
19.766,1.500000,constant
19.800,1.500000,constant
19.833,1.500000,constant
19.867,1.500000,constant
19.900,1.500000,constant
19.933,1.500000,constant
19.967,1.500000,constant
20.000,1.500000,constant
20.033,1.500000,constant
20.066,1.500000,constant
20.100,1.500000,constant
20.133,1.500000,constant
20.166,1.500000,constant
20.200,1.500000,constant
20.233,1.500000,constant
20.267,1.500000,constant
20.300,1.500000,constant
20.333,1.500000,constant
20.367,1.500000,constant
20.400,1.500000,constant
20.433,1.500000,constant
20.466,1.500000,constant
20.500,1.500000,constant
20.533,1.500000,constant
20.567,1.500000,constant
20.600,1.500000,constant
20.633,1.500000,constant
20.667,1.500000,constant
20.700,1.500000,constant
20.733,1.500000,constant
20.767,1.500000,constant
20.800,1.500000,constant
20.833,1.500000,constant
20.867,1.500000,constant
20.900,1.500000,constant
20.936,1.500000,constant
20.966,1.500000,constant
21.000,1.500000,constant
21.033,1.500000,constant
21.067,1.500000,constant
21.100,1.500000,constant
21.134,1.500000,constant
21.167,1.500000,constant
21.200,1.500000,constant
21.233,1.500000,constant
21.267,1.500000,constant
21.300,1.500000,constant
21.333,1.500000,constant
21.367,1.500000,constant
21.400,1.500000,constant
21.434,1.500000,constant
21.467,1.500000,constant
21.500,1.500000,constant
21.533,1.500000,constant
21.567,1.500000,constant
21.600,1.500000,constant
21.633,1.500000,constant
21.667,1.500000,constant
21.700,1.500000,constant
21.733,1.500000,constant
21.767,1.500000,constant
21.800,1.500000,constant
21.833,1.500000,constant
21.867,1.500000,constant
21.900,1.500000,constant
21.933,1.500000,constant
21.967,1.500000,constant
22.000,1.500000,constant
22.033,1.500000,constant
22.067,1.500000,constant
22.100,1.500000,constant
22.133,1.500000,constant
22.167,1.500000,constant
22.200,1.500000,constant
22.233,1.500000,constant
22.267,1.500000,constant
22.300,1.500000,constant
22.333,1.500000,constant
22.367,1.500000,constant
22.400,1.500000,constant
22.434,1.500000,constant
22.467,1.500000,constant
22.500,1.500000,constant
22.533,1.500000,constant
22.567,1.500000,constant
22.600,1.500000,constant
22.633,1.500000,constant
22.667,1.500000,constant
22.700,1.500000,constant
22.733,1.500000,constant
22.766,1.500000,constant
22.800,1.500000,constant
22.833,1.500000,constant
22.866,1.500000,constant
22.900,1.500000,constant
22.933,1.500000,constant
22.967,1.500000,constant
23.000,1.500000,constant
23.033,1.500000,constant
23.067,1.500000,constant
23.100,1.500000,constant
23.133,1.500000,constant
23.166,1.500000,constant
23.200,1.500000,constant
23.233,1.500000,constant
23.267,1.500000,constant
23.300,1.500000,constant
23.333,1.500000,constant
23.367,1.500000,constant
23.400,1.500000,constant
23.433,1.500000,constant
23.467,1.500000,constant
23.500,1.500000,constant
23.533,1.500000,constant
23.567,1.500000,constant
23.600,1.500000,constant
23.633,1.500000,constant
23.667,1.500000,constant
23.700,1.500000,constant
23.733,1.500000,constant
23.766,1.500000,constant
23.800,1.500000,constant
23.833,1.500000,constant
23.867,1.500000,constant
23.900,1.500000,constant
23.933,1.500000,constant
23.966,1.500000,constant
24.000,1.500000,constant
24.033,1.500000,constant
24.066,1.500000,constant
24.100,1.500000,constant
24.133,1.500000,constant
24.167,1.500000,constant
24.200,1.500000,constant
24.233,1.500000,constant
24.267,1.500000,constant
24.300,1.500000,constant
24.333,1.500000,constant
24.366,1.500000,constant
24.400,1.500000,constant
24.433,1.500000,constant
24.467,1.500000,constant
24.500,1.500000,constant
24.533,1.500000,constant
24.567,1.500000,constant
24.600,1.500000,constant
24.633,1.500000,constant
24.667,1.500000,constant
24.700,1.500000,constant
24.733,1.500000,constant
24.767,1.500000,constant
24.800,1.500000,constant
24.833,1.500000,constant
24.867,1.500000,constant
24.900,1.500000,constant
24.933,1.500000,constant
24.967,1.500000,constant
25.000,1.500000,constant
25.033,1.500000,constant
25.067,1.500000,constant
25.100,1.500000,constant
25.133,1.500000,constant
