D_true,v_rollout_mps,mu_reach,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
1.4,8.0,1.7018,1,1,1.3889,1.332,0,,
1.4,8.0,1.7018,1,2,1.3903,1.3372,0,,
1.4,8.0,1.7018,1,3,1.3903,1.3373,0,,
1.4,8.0,1.7018,1,4,1.3894,1.3365,0,,
1.4,10.0,2.6591,0,0,1.4118,1.3254,1,,C
1.4,10.0,2.6591,1,0,1.4113,1.3226,1,,C
1.4,10.0,2.6591,1,1,1.4126,1.3267,1,,C
1.4,10.0,2.6591,1,2,1.4127,1.3281,1,,C
1.4,10.0,2.6591,1,3,1.4119,1.3244,1,,C
1.4,10.0,2.6591,1,4,1.4115,1.3254,1,,C
1.4,13.0,4.4939,0,0,1.4596,1.3075,1,,C
1.4,13.0,4.4939,1,0,1.4591,1.3069,0,,
1.4,13.0,4.4939,1,1,1.4607,1.3085,0,,
1.4,13.0,4.4939,1,2,1.4597,1.3094,1,,C
1.4,13.0,4.4939,1,3,1.4606,1.308,1,,C
1.4,13.0,4.4939,1,4,1.4627,1.3087,0,,
1.4,15.0,5.983,0,0,1.4772,1.3056,0,,
1.4,15.0,5.983,1,0,1.4803,1.3046,0,,
1.4,15.0,5.983,1,1,1.4792,1.3057,0,,
1.4,15.0,5.983,1,2,1.4736,1.3071,0,,
1.4,15.0,5.983,1,3,1.4795,1.307,0,,
1.4,15.0,5.983,1,4,1.4748,1.3053,0,,
1.4,20.0,10.6364,0,0,1.5276,1.3354,0,,
1.4,20.0,10.6364,1,0,1.5192,1.3365,0,,
1.4,20.0,10.6364,1,1,1.5289,1.3352,0,,
1.4,20.0,10.6364,1,2,1.521,1.3411,0,,
1.4,20.0,10.6364,1,3,1.5321,1.3298,0,,
1.4,20.0,10.6364,1,4,1.5254,1.3308,0,,
1.8,4.0,0.4255,0,0,0.4,0.6084,7,B|C|D|E,B|C|E
1.8,4.0,0.4255,1,0,0.4,0.6088,7,B|C|D|E,B|C|E
1.8,4.0,0.4255,1,1,0.4,0.6062,7,B|C|D|E,B|C|E
1.8,4.0,0.4255,1,2,0.4,0.6093,7,B|C|D|E,B|C|E
1.8,4.0,0.4255,1,3,0.4,0.6081,7,B|C|D|E,B|C|E
1.8,4.0,0.4255,1,4,0.4,0.6071,7,B|C|D|E,B|C|E
1.8,6.0,0.9573,0,0,1.4401,1.5264,2,C,C
1.8,6.0,0.9573,1,0,1.3339,1.1781,1,C,
1.8,6.0,0.9573,1,1,1.3651,1.3958,2,C,C
1.8,6.0,0.9573,1,2,1.363,1.1696,2,C,C
1.8,6.0,0.9573,1,3,1.2044,1.1738,2,C,C
1.8,6.0,0.9573,1,4,1.2278,1.1558,3,C,C|E
1.8,8.0,1.7018,0,0,1.8263,1.852,2,C,C
1.8,8.0,1.7018,1,0,1.8154,1.7353,1,C,
1.8,8.0,1.7018,1,1,1.8198,1.837,2,C,C
1.8,8.0,1.7018,1,2,1.8239,1.7442,1,C,
1.8,8.0,1.7018,1,3,1.83,1.7495,1,C,
1.8,8.0,1.7018,1,4,1.8371,1.7398,1,C,
1.8,10.0,2.6591,0,0,1.7933,1.7111,0,,
1.8,10.0,2.6591,1,0,1.7925,1.7088,0,,
1.8,10.0,2.6591,1,1,1.7937,1.7114,0,,
1.8,10.0,2.6591,1,2,1.7951,1.7157,0,,
1.8,10.0,2.6591,1,3,1.7936,1.7114,0,,
1.8,10.0,2.6591,1,4,1.793,1.7123,0,,
1.8,13.0,4.4939,0,0,1.8403,1.6929,1,,C
1.8,13.0,4.4939,1,0,1.84,1.6947,0,,
