stamp_sec,v_y_gt,v_y_est,omega_gt,omega_est
1788714228.2024934,0.012529801394217444,0.01017371335640841,0.0003556105008031735,0.008890418221258408
1788714228.2354934,0.012883422085146812,0.010358374231831585,0.0003076337180981738,0.008872093297632472
1788714228.3014934,0.013618697967744176,0.008424091503365077,0.0008125353011169745,0.017425680609755488
1788714228.3344934,0.013739466407767686,0.01119862623900689,0.0008830215934425068,0.009834586801229629
1788714228.4004934,0.014190935286649164,0.008848080857325798,0.0011479662482031044,0.018797228936076486
1788714228.4334936,0.014267032179758665,0.011430868554827691,0.0012814124030081087,0.009562377736964979
1788714228.4994936,0.015070411890875768,0.008669599020384175,0.0014441138221602326,0.01786288883601794
1788714228.5324936,0.015143252718790023,0.01194501854040229,0.0016248619733165719,0.009523316805247662
1788714228.5654936,0.015080835744400112,0.012157673607792473,0.0015119777981503428,0.010392386747430734
1788714228.6314936,0.015918110915713157,0.009355681860727976,0.001412450717976135,0.01934963880534896
1788714228.6644936,0.015922906817475102,0.012692483194106416,0.0013981695650524288,0.00979898398090065
1788714228.7304935,0.016325272333372,0.00958650398837378,0.001227059731857997,0.018254618164856788
1788714228.7634935,0.016390697841541346,0.013166297874884374,0.0013178883167134245,0.009952997099242774
1788714228.8294935,0.016865158155474624,0.010049765199944053,0.0012062286021426805,0.018628770886827756
1788714228.8624935,0.01708004911191985,0.013800150816675193,0.001223859315778077,0.010655032672524191
1788714228.8954935,0.017223978869489898,0.013964491772976161,0.001318682306547989,0.010654576759880508
1788714228.9944935,0.017108959018934833,0.008332654634531405,0.0011554654893716158,0.031315539248257813
1788714229.0274935,0.01719129253817453,0.014289723199465407,0.0015525369127995774,0.011333290063164124
1788714229.0604935,0.017125321891117373,0.014055432593486948,0.0017180977539240996,0.01088876883289345
1788714229.0934935,0.01714258062467877,0.01395259699509145,0.0016835562343606558,0.010912466994902259
1788714229.1594934,0.01652380362144168,0.01092185052359253,0.0013464001339842954,0.020195223412185024
1788714229.1924934,0.01661131366575752,0.014035629713823848,0.0008568531845293721,0.011887143474917705
1788714229.2254934,0.016374869219942134,0.01437278904563448,0.010602125507046065,0.011866816610461605
1788714229.2584934,0.0025686923542815876,0.009054034927543324,0.0028607442460640677,0.011948380548170656
1788714229.2914934,0.0026295015444848246,0.003440844806523115,0.000717234508076717,0.012268037498611117
1788714229.3904934,0.011895685088666674,0.009325518365198238,3.9900587862524976e-05,0.037969226723658746
1788714229.4234934,0.014318221264845832,0.011752492901322242,0.0005269782256083993,0.012568235537542403
1788714229.4564934,0.015665093575903732,0.013239462065499199,0.0008498089778298203,0.012550461655651433
